episode_id,pressure_ceiling_Pa,molecule_id,component_id,split,record_id,episode_role,episode_temperature_level_id,temperature_level_representative_K
ep_0014ffba948d6037,20000,mol_6a2881146cb0a319,grp_5dea7427c65d07c7,train,10.1016/j.tca.2017.12.006#d3#p1#r10,anchor,ep_0014ffba948d6037#T0009,342.8
ep_0014ffba948d6037,20000,mol_6a2881146cb0a319,grp_5dea7427c65d07c7,train,10.1016/j.tca.2017.12.006#d3#p1#r11,anchor,ep_0014ffba948d6037#T0010,347.8
ep_0014ffba948d6037,20000,mol_6a2881146cb0a319,grp_5dea7427c65d07c7,train,10.1016/j.tca.2017.12.006#d3#p1#r9,anchor,ep_0014ffba948d6037#T0008,337.8
ep_0014ffba948d6037,20000,mol_6a2881146cb0a319,grp_5dea7427c65d07c7,train,10.1016/j.tca.2017.12.006#d3#p1#r1,cold_target,ep_0014ffba948d6037#T0000,298.2
ep_0014ffba948d6037,20000,mol_6a2881146cb0a319,grp_5dea7427c65d07c7,train,10.1016/j.tca.2017.12.006#d3#p1#r2,cold_target,ep_0014ffba948d6037#T0001,303.2
ep_0014ffba948d6037,20000,mol_6a2881146cb0a319,grp_5dea7427c65d07c7,train,10.1016/j.tca.2017.12.006#d3#p1#r3,cold_target,ep_0014ffba948d6037#T0002,308.1
ep_0014ffba948d6037,20000,mol_6a2881146cb0a319,grp_5dea7427c65d07c7,train,10.1016/j.tca.2017.12.006#d3#p1#r4,cold_target,ep_0014ffba948d6037#T0003,313
ep_0049c415897a8c74,5000,mol_d0131e7bbb5402ea,grp_d0131e7bbb5402ea,test,10.1021/je200128y#d2#p1#r12,anchor,ep_0049c415897a8c74#T0011,360.2
ep_0049c415897a8c74,5000,mol_d0131e7bbb5402ea,grp_d0131e7bbb5402ea,test,10.1021/je200128y#d2#p1#r16,anchor,ep_0049c415897a8c74#T0014,368.1
ep_0049c415897a8c74,5000,mol_d0131e7bbb5402ea,grp_d0131e7bbb5402ea,test,10.1021/je200128y#d2#p1#r19,anchor,ep_0049c415897a8c74#T0017,373.1
ep_0049c415897a8c74,5000,mol_d0131e7bbb5402ea,grp_d0131e7bbb5402ea,test,10.1021/je200128y#d2#p1#r1,cold_target,ep_0049c415897a8c74#T0000,328.3
ep_0049c415897a8c74,5000,mol_d0131e7bbb5402ea,grp_d0131e7bbb5402ea,test,10.1021/je200128y#d2#p1#r2,cold_target,ep_0049c415897a8c74#T0001,332.2
ep_0049c415897a8c74,5000,mol_d0131e7bbb5402ea,grp_d0131e7bbb5402ea,test,10.1021/je200128y#d2#p1#r3,cold_target,ep_0049c415897a8c74#T0002,335.4
ep_0049c415897a8c74,5000,mol_d0131e7bbb5402ea,grp_d0131e7bbb5402ea,test,10.1021/je200128y#d2#p1#r4,cold_target,ep_0049c415897a8c74#T0003,338.1
ep_0049c415897a8c74,5000,mol_d0131e7bbb5402ea,grp_d0131e7bbb5402ea,test,10.1021/je200128y#d2#p1#r5,cold_target,ep_0049c415897a8c74#T0004,341.2
ep_0063ae303c19d968,10000,mol_6a2881146cb0a319,grp_5dea7427c65d07c7,train,10.1016/j.tca.2017.12.006#d3#p1#r10,anchor,ep_0063ae303c19d968#T0009,342.8
ep_0063ae303c19d968,10000,mol_6a2881146cb0a319,grp_5dea7427c65d07c7,train,10.1016/j.tca.2017.12.006#d3#p1#r11,anchor,ep_0063ae303c19d968#T0010,347.8
ep_0063ae303c19d968,10000,mol_6a2881146cb0a319,grp_5dea7427c65d07c7,train,10.1016/j.tca.2017.12.006#d3#p1#r9,anchor,ep_0063ae303c19d968#T0008,337.8
ep_0063ae303c19d968,10000,mol_6a2881146cb0a319,grp_5dea7427c65d07c7,train,10.1016/j.tca.2017.12.006#d3#p1#r1,cold_target,ep_0063ae303c19d968#T0000,298.2
ep_0063ae303c19d968,10000,mol_6a2881146cb0a319,grp_5dea7427c65d07c7,train,10.1016/j.tca.2017.12.006#d3#p1#r2,cold_target,ep_0063ae303c19d968#T0001,303.2
ep_0063ae303c19d968,10000,mol_6a2881146cb0a319,grp_5dea7427c65d07c7,train,10.1016/j.tca.2017.12.006#d3#p1#r3,cold_target,ep_0063ae303c19d968#T0002,308.1
ep_0063ae303c19d968,10000,mol_6a2881146cb0a319,grp_5dea7427c65d07c7,train,10.1016/j.tca.2017.12.006#d3#p1#r4,cold_target,ep_0063ae303c19d968#T0003,313
ep_00caa6d593f9dcb2,10000,mol_354c60c5de252d85,grp_5ed1239f1de5ca2c,validation,10.1016/j.fluid.2016.11.010#d1#p1#r10,anchor,ep_00caa6d593f9dcb2#T0008,343.2
ep_00caa6d593f9dcb2,10000,mol_354c60c5de252d85,grp_5ed1239f1de5ca2c,validation,10.1016/j.fluid.2016.11.010#d1#p1#r11,anchor,ep_00caa6d593f9dcb2#T0009,348.2
ep_00caa6d593f9dcb2,10000,mol_354c60c5de252d85,grp_5ed1239f1de5ca2c,validation,10.1016/j.fluid.2016.11.010#d1#p1#r12,anchor,ep_00caa6d593f9dcb2#T0010,353.1
ep_00caa6d593f9dcb2,10000,mol_354c60c5de252d85,grp_5ed1239f1de5ca2c,validation,10.1016/j.fluid.2016.11.010#d1#p1#r2,cold_target,ep_00caa6d593f9dcb2#T0000,308.6
ep_00caa6d593f9dcb2,10000,mol_354c60c5de252d85,grp_5ed1239f1de5ca2c,validation,10.1016/j.fluid.2016.11.010#d1#p1#r3,cold_target,ep_00caa6d593f9dcb2#T0001,313.5
ep_00caa6d593f9dcb2,10000,mol_354c60c5de252d85,grp_5ed1239f1de5ca2c,validation,10.1016/j.fluid.2016.11.010#d1#p1#r4,cold_target,ep_00caa6d593f9dcb2#T0002,318.4
ep_00caa6d593f9dcb2,10000,mol_354c60c5de252d85,grp_5ed1239f1de5ca2c,validation,10.1016/j.fluid.2016.11.010#d1#p1#r5,cold_target,ep_00caa6d593f9dcb2#T0003,319.1
ep_01415ee3af8448b2,10000,mol_f032c9190b133ea0,grp_4099771604350c09,test,10.1021/je200336c#d6#p1#r28,anchor,ep_01415ee3af8448b2#T0024,343.1
ep_01415ee3af8448b2,10000,mol_f032c9190b133ea0,grp_4099771604350c09,test,10.1021/je200336c#d6#p1#r30,anchor,ep_01415ee3af8448b2#T0026,348.1
ep_01415ee3af8448b2,10000,mol_f032c9190b133ea0,grp_4099771604350c09,test,10.1021/je200336c#d6#p1#r32,anchor,ep_01415ee3af8448b2#T0028,363
ep_01415ee3af8448b2,10000,mol_f032c9190b133ea0,grp_4099771604350c09,test,10.1021/je200336c#d6#p1#r1,cold_target,ep_01415ee3af8448b2#T0000,293.5
ep_01415ee3af8448b2,10000,mol_f032c9190b133ea0,grp_4099771604350c09,test,10.1021/je200336c#d6#p1#r10,cold_target,ep_01415ee3af8448b2#T0009,307.2
ep_01415ee3af8448b2,10000,mol_f032c9190b133ea0,grp_4099771604350c09,test,10.1021/je200336c#d6#p1#r11,cold_target,ep_01415ee3af8448b2#T0010,308.3
ep_01415ee3af8448b2,10000,mol_f032c9190b133ea0,grp_4099771604350c09,test,10.1021/je200336c#d6#p1#r12,cold_target,ep_01415ee3af8448b2#T0011,310.3
ep_01415ee3af8448b2,10000,mol_f032c9190b133ea0,grp_4099771604350c09,test,10.1021/je200336c#d6#p1#r13,cold_target,ep_01415ee3af8448b2#T0012,313.25
ep_01415ee3af8448b2,10000,mol_f032c9190b133ea0,grp_4099771604350c09,test,10.1021/je200336c#d6#p1#r14,cold_target,ep_01415ee3af8448b2#T0012,313.25
ep_01415ee3af8448b2,10000,mol_f032c9190b133ea0,grp_4099771604350c09,test,10.1021/je200336c#d6#p1#r2,cold_target,ep_01415ee3af8448b2#T0001,294.3
ep_01415ee3af8448b2,10000,mol_f032c9190b133ea0,grp_4099771604350c09,test,10.1021/je200336c#d6#p1#r3,cold_target,ep_01415ee3af8448b2#T0002,295.8
ep_01415ee3af8448b2,10000,mol_f032c9190b133ea0,grp_4099771604350c09,test,10.1021/je200336c#d6#p1#r4,cold_target,ep_01415ee3af8448b2#T0003,297.4
ep_01415ee3af8448b2,10000,mol_f032c9190b133ea0,grp_4099771604350c09,test,10.1021/je200336c#d6#p1#r5,cold_target,ep_01415ee3af8448b2#T0004,298.4
ep_01415ee3af8448b2,10000,mol_f032c9190b133ea0,grp_4099771604350c09,test,10.1021/je200336c#d6#p1#r6,cold_target,ep_01415ee3af8448b2#T0005,300.8
ep_01415ee3af8448b2,10000,mol_f032c9190b133ea0,grp_4099771604350c09,test,10.1021/je200336c#d6#p1#r7,cold_target,ep_01415ee3af8448b2#T0006,301.4
ep_01415ee3af8448b2,10000,mol_f032c9190b133ea0,grp_4099771604350c09,test,10.1021/je200336c#d6#p1#r8,cold_target,ep_01415ee3af8448b2#T0007,303.3
ep_01415ee3af8448b2,10000,mol_f032c9190b133ea0,grp_4099771604350c09,test,10.1021/je200336c#d6#p1#r9,cold_target,ep_01415ee3af8448b2#T0008,304.2
ep_016e8287ab4ba3bf,10000,mol_0f0591160b233804,grp_0f0591160b233804,train,10.1016/j.tca.2018.07.026#d3#p1#r11,anchor,ep_016e8287ab4ba3bf#T0010,343.2
ep_016e8287ab4ba3bf,10000,mol_0f0591160b233804,grp_0f0591160b233804,train,10.1016/j.tca.2018.07.026#d3#p1#r13,anchor,ep_016e8287ab4ba3bf#T0012,348.1
ep_016e8287ab4ba3bf,10000,mol_0f0591160b233804,grp_0f0591160b233804,train,10.1016/j.tca.2018.07.026#d3#p1#r15,anchor,ep_016e8287ab4ba3bf#T0014,353.2
ep_016e8287ab4ba3bf,10000,mol_0f0591160b233804,grp_0f0591160b233804,train,10.1016/j.tca.2018.07.026#d3#p1#r1,cold_target,ep_016e8287ab4ba3bf#T0000,317.4
ep_016e8287ab4ba3bf,10000,mol_0f0591160b233804,grp_0f0591160b233804,train,10.1016/j.tca.2018.07.026#d3#p1#r2,cold_target,ep_016e8287ab4ba3bf#T0001,321.3
ep_016e8287ab4ba3bf,10000,mol_0f0591160b233804,grp_0f0591160b233804,train,10.1016/j.tca.2018.07.026#d3#p1#r3,cold_target,ep_016e8287ab4ba3bf#T0002,323.2
ep_016e8287ab4ba3bf,10000,mol_0f0591160b233804,grp_0f0591160b233804,train,10.1016/j.tca.2018.07.026#d3#p1#r4,cold_target,ep_016e8287ab4ba3bf#T0003,326.3
ep_0175ca3bb2b88e05,5000,mol_165439913dffe7c0,grp_642c5927dec37b59,validation,10.1016/j.fluid.2011.07.007#d2#p1#r12,anchor,ep_0175ca3bb2b88e05#T0011,318.45
ep_0175ca3bb2b88e05,5000,mol_165439913dffe7c0,grp_642c5927dec37b59,validation,10.1016/j.fluid.2011.07.007#d2#p1#r15,anchor,ep_0175ca3bb2b88e05#T0013,322.4
ep_0175ca3bb2b88e05,5000,mol_165439913dffe7c0,grp_642c5927dec37b59,validation,10.1016/j.fluid.2011.07.007#d2#p1#r18,anchor,ep_0175ca3bb2b88e05#T0016,330.5
ep_0175ca3bb2b88e05,5000,mol_165439913dffe7c0,grp_642c5927dec37b59,validation,10.1016/j.fluid.2011.07.007#d2#p1#r1,cold_target,ep_0175ca3bb2b88e05#T0000,287.5
ep_0175ca3bb2b88e05,5000,mol_165439913dffe7c0,grp_642c5927dec37b59,validation,10.1016/j.fluid.2011.07.007#d2#p1#r2,cold_target,ep_0175ca3bb2b88e05#T0001,290.4
ep_0175ca3bb2b88e05,5000,mol_165439913dffe7c0,grp_642c5927dec37b59,validation,10.1016/j.fluid.2011.07.007#d2#p1#r3,cold_target,ep_0175ca3bb2b88e05#T0002,293.3
ep_0175ca3bb2b88e05,5000,mol_165439913dffe7c0,grp_642c5927dec37b59,validation,10.1016/j.fluid.2011.07.007#d2#p1#r4,cold_target,ep_0175ca3bb2b88e05#T0003,297.3
ep_0175ca3bb2b88e05,5000,mol_165439913dffe7c0,grp_642c5927dec37b59,validation,10.1016/j.fluid.2011.07.007#d2#p1#r5,cold_target,ep_0175ca3bb2b88e05#T0004,300.3
ep_01797b70428c076a,10000,mol_65b637e94cd66c7e,grp_69e3066d23c835df,test,10.1021/je025634v#d10#p1#r11,anchor,ep_01797b70428c076a#T0008,310.41
ep_01797b70428c076a,10000,mol_65b637e94cd66c7e,grp_69e3066d23c835df,test,10.1021/je025634v#d10#p1#r7,anchor,ep_01797b70428c076a#T0006,300.19
ep_01797b70428c076a,10000,mol_65b637e94cd66c7e,grp_69e3066d23c835df,test,10.1021/je025634v#d10#p1#r9,anchor,ep_01797b70428c076a#T0007,305.23
ep_01797b70428c076a,10000,mol_65b637e94cd66c7e,grp_69e3066d23c835df,test,10.1021/je025634v#d10#p1#r1,cold_target,ep_01797b70428c076a#T0000,273.17
ep_01797b70428c076a,10000,mol_65b637e94cd66c7e,grp_69e3066d23c835df,test,10.1021/je025634v#d10#p1#r2,cold_target,ep_01797b70428c076a#T0001,282.9
ep_018140b5906f2123,5000,mol_1e9d2e26a6ddc23d,grp_5dea7427c65d07c7,train,10.1021/je100231g#d2#p1#r10,anchor,ep_018140b5906f2123#T0009,307.3
ep_018140b5906f2123,5000,mol_1e9d2e26a6ddc23d,grp_5dea7427c65d07c7,train,10.1021/je100231g#d2#p1#r11,anchor,ep_018140b5906f2123#T0010,310.2
ep_018140b5906f2123,5000,mol_1e9d2e26a6ddc23d,grp_5dea7427c65d07c7,train,10.1021/je100231g#d2#p1#r13,anchor,ep_018140b5906f2123#T0012,316.3
ep_018140b5906f2123,5000,mol_1e9d2e26a6ddc23d,grp_5dea7427c65d07c7,train,10.1021/je100231g#d2#p1#r1,cold_target,ep_018140b5906f2123#T0000,283.8
ep_018140b5906f2123,5000,mol_1e9d2e26a6ddc23d,grp_5dea7427c65d07c7,train,10.1021/je100231g#d2#p1#r2,cold_target,ep_018140b5906f2123#T0001,286.2
ep_018140b5906f2123,5000,mol_1e9d2e26a6ddc23d,grp_5dea7427c65d07c7,train,10.1021/je100231g#d2#p1#r3,cold_target,ep_018140b5906f2123#T0002,289.2
ep_018140b5906f2123,5000,mol_1e9d2e26a6ddc23d,grp_5dea7427c65d07c7,train,10.1021/je100231g#d2#p1#r4,cold_target,ep_018140b5906f2123#T0003,292.3
ep_018c29d558a82c4a,5000,mol_2e302d909c9e5e5c,grp_5dea7427c65d07c7,train,10.1016/j.jct.2014.07.004#d5#p1#r10,anchor,ep_018c29d558a82c4a#T0009,318.15
ep_018c29d558a82c4a,5000,mol_2e302d909c9e5e5c,grp_5dea7427c65d07c7,train,10.1016/j.jct.2014.07.004#d5#p1#r8,anchor,ep_018c29d558a82c4a#T0007,306.64
ep_018c29d558a82c4a,5000,mol_2e302d909c9e5e5c,grp_5dea7427c65d07c7,train,10.1016/j.jct.2014.07.004#d5#p1#r9,anchor,ep_018c29d558a82c4a#T0008,310.74
ep_018c29d558a82c4a,5000,mol_2e302d909c9e5e5c,grp_5dea7427c65d07c7,train,10.1016/j.jct.2014.07.004#d5#p1#r1,cold_target,ep_018c29d558a82c4a#T0000,277.96
ep_018c29d558a82c4a,5000,mol_2e302d909c9e5e5c,grp_5dea7427c65d07c7,train,10.1016/j.jct.2014.07.004#d5#p1#r2,cold_target,ep_018c29d558a82c4a#T0001,282.06
ep_018c29d558a82c4a,5000,mol_2e302d909c9e5e5c,grp_5dea7427c65d07c7,train,10.1016/j.jct.2014.07.004#d5#p1#r3,cold_target,ep_018c29d558a82c4a#T0002,286.15
ep_018c29d558a82c4a,5000,mol_2e302d909c9e5e5c,grp_5dea7427c65d07c7,train,10.1016/j.jct.2014.07.004#d5#p1#r4,cold_target,ep_018c29d558a82c4a#T0003,288.15
ep_019d30ed600bee39,5000,mol_1bb253e99b0e831f,grp_5dea7427c65d07c7,train,10.1021/je0602418#d7#p1#r12,anchor,ep_019d30ed600bee39#T0011,305.3
ep_019d30ed600bee39,5000,mol_1bb253e99b0e831f,grp_5dea7427c65d07c7,train,10.1021/je0602418#d7#p1#r13,anchor,ep_019d30ed600bee39#T0012,308.4
ep_019d30ed600bee39,5000,mol_1bb253e99b0e831f,grp_5dea7427c65d07c7,train,10.1021/je0602418#d7#p1#r15,anchor,ep_019d30ed600bee39#T0014,314.3
ep_019d30ed600bee39,5000,mol_1bb253e99b0e831f,grp_5dea7427c65d07c7,train,10.1021/je0602418#d7#p1#r1,cold_target,ep_019d30ed600bee39#T0000,278.2
ep_019d30ed600bee39,5000,mol_1bb253e99b0e831f,grp_5dea7427c65d07c7,train,10.1021/je0602418#d7#p1#r2,cold_target,ep_019d30ed600bee39#T0001,281.2
ep_019d30ed600bee39,5000,mol_1bb253e99b0e831f,grp_5dea7427c65d07c7,train,10.1021/je0602418#d7#p1#r3,cold_target,ep_019d30ed600bee39#T0002,284.3
ep_019d30ed600bee39,5000,mol_1bb253e99b0e831f,grp_5dea7427c65d07c7,train,10.1021/je0602418#d7#p1#r4,cold_target,ep_019d30ed600bee39#T0003,287.2
ep_01a69de7ec0321a8,10000,mol_916b454c615e7792,grp_fd910654208f838e,validation,10.1016/j.jct.2014.06.002#d5#p1#r14,anchor,ep_01a69de7ec0321a8#T0013,412
ep_01a69de7ec0321a8,10000,mol_916b454c615e7792,grp_fd910654208f838e,validation,10.1016/j.jct.2014.06.002#d5#p1#r17,anchor,ep_01a69de7ec0321a8#T0016,417.8
ep_01a69de7ec0321a8,10000,mol_916b454c615e7792,grp_fd910654208f838e,validation,10.1016/j.jct.2014.06.002#d5#p1#r20,anchor,ep_01a69de7ec0321a8#T0019,423.7
ep_01a69de7ec0321a8,10000,mol_916b454c615e7792,grp_fd910654208f838e,validation,10.1016/j.jct.2014.06.002#d5#p1#r1,cold_target,ep_01a69de7ec0321a8#T0000,382.7
