episode_id,molecule_id,component_id,split,source_doi,series_id,pressure_ceiling_Pa,T_min_K,T_max_K,T_span_K,temperature_levels,warm_levels,cold_levels,episode_eligible,anchor_record_ids_json,cold_target_record_ids_json,anchor_count,cold_record_count,cold_temperature_level_count
ep_0049c415897a8c74,mol_d0131e7bbb5402ea,grp_d0131e7bbb5402ea,test,10.1021/je200128y,10.1021/je200128y#d2#p1,5000,328.3,373.1,44.8,18,7,5,True,"[""10.1021/je200128y#d2#p1#r12"",""10.1021/je200128y#d2#p1#r16"",""10.1021/je200128y#d2#p1#r19""]","[""10.1021/je200128y#d2#p1#r1"",""10.1021/je200128y#d2#p1#r2"",""10.1021/je200128y#d2#p1#r3"",""10.1021/je200128y#d2#p1#r4"",""10.1021/je200128y#d2#p1#r5""]",3,5,5
ep_0175ca3bb2b88e05,mol_165439913dffe7c0,grp_642c5927dec37b59,validation,10.1016/j.fluid.2011.07.007,10.1016/j.fluid.2011.07.007#d2#p1,5000,287.5,330.5,43,17,6,5,True,"[""10.1016/j.fluid.2011.07.007#d2#p1#r12"",""10.1016/j.fluid.2011.07.007#d2#p1#r15"",""10.1016/j.fluid.2011.07.007#d2#p1#r18""]","[""10.1016/j.fluid.2011.07.007#d2#p1#r1"",""10.1016/j.fluid.2011.07.007#d2#p1#r2"",""10.1016/j.fluid.2011.07.007#d2#p1#r3"",""10.1016/j.fluid.2011.07.007#d2#p1#r4"",""10.1016/j.fluid.2011.07.007#d2#p1#r5""]",3,5,5
ep_018140b5906f2123,mol_1e9d2e26a6ddc23d,grp_5dea7427c65d07c7,train,10.1021/je100231g,10.1021/je100231g#d2#p1,5000,283.8,316.3,32.5,13,4,4,True,"[""10.1021/je100231g#d2#p1#r10"",""10.1021/je100231g#d2#p1#r11"",""10.1021/je100231g#d2#p1#r13""]","[""10.1021/je100231g#d2#p1#r1"",""10.1021/je100231g#d2#p1#r2"",""10.1021/je100231g#d2#p1#r3"",""10.1021/je100231g#d2#p1#r4""]",3,4,4
ep_018c29d558a82c4a,mol_2e302d909c9e5e5c,grp_5dea7427c65d07c7,train,10.1016/j.jct.2014.07.004,10.1016/j.jct.2014.07.004#d5#p1,5000,277.96,318.15,40.19,10,3,4,True,"[""10.1016/j.jct.2014.07.004#d5#p1#r8"",""10.1016/j.jct.2014.07.004#d5#p1#r9"",""10.1016/j.jct.2014.07.004#d5#p1#r10""]","[""10.1016/j.jct.2014.07.004#d5#p1#r1"",""10.1016/j.jct.2014.07.004#d5#p1#r2"",""10.1016/j.jct.2014.07.004#d5#p1#r3"",""10.1016/j.jct.2014.07.004#d5#p1#r4""]",3,4,4
ep_019d30ed600bee39,mol_1bb253e99b0e831f,grp_5dea7427c65d07c7,train,10.1021/je0602418,10.1021/je0602418#d7#p1,5000,278.2,314.3,36.1,15,4,4,True,"[""10.1021/je0602418#d7#p1#r12"",""10.1021/je0602418#d7#p1#r13"",""10.1021/je0602418#d7#p1#r15""]","[""10.1021/je0602418#d7#p1#r1"",""10.1021/je0602418#d7#p1#r2"",""10.1021/je0602418#d7#p1#r3"",""10.1021/je0602418#d7#p1#r4""]",3,4,4
ep_021e12f5e7f8dfc1,mol_5810135448f6321f,grp_5dea7427c65d07c7,train,10.1016/j.fluid.2012.08.003,10.1016/j.fluid.2012.08.003#d3#p1,5000,276.1,316.4,40.3,13,4,5,True,"[""10.1016/j.fluid.2012.08.003#d3#p1#r13"",""10.1016/j.fluid.2012.08.003#d3#p1#r14"",""10.1016/j.fluid.2012.08.003#d3#p1#r16""]","[""10.1016/j.fluid.2012.08.003#d3#p1#r1"",""10.1016/j.fluid.2012.08.003#d3#p1#r2"",""10.1016/j.fluid.2012.08.003#d3#p1#r3"",""10.1016/j.fluid.2012.08.003#d3#p1#r4"",""10.1016/j.fluid.2012.08.003#d3#p1#r5""]",3,5,5
ep_0243d821ff93faf4,mol_d6ae19349f751551,grp_5dea7427c65d07c7,train,10.1016/j.fluid.2012.08.003,10.1016/j.fluid.2012.08.003#d2#p1,5000,275.4,313.4,38,9,3,3,True,"[""10.1016/j.fluid.2012.08.003#d2#p1#r10"",""10.1016/j.fluid.2012.08.003#d2#p1#r11"",""10.1016/j.fluid.2012.08.003#d2#p1#r13""]","[""10.1016/j.fluid.2012.08.003#d2#p1#r1"",""10.1016/j.fluid.2012.08.003#d2#p1#r2"",""10.1016/j.fluid.2012.08.003#d2#p1#r3""]",3,3,3
ep_028d87e3fb7820c5,mol_757f79c7ac5d216c,grp_5dea7427c65d07c7,train,10.1021/je100231g,10.1021/je100231g#d5#p1,5000,303.5,352.2,48.7,15,6,3,True,"[""10.1021/je100231g#d5#p1#r10"",""10.1021/je100231g#d5#p1#r12"",""10.1021/je100231g#d5#p1#r15""]","[""10.1021/je100231g#d5#p1#r1"",""10.1021/je100231g#d5#p1#r2"",""10.1021/je100231g#d5#p1#r3""]",3,3,3
ep_02aca8bf291da6d3,mol_15c27366f9af4374,grp_5dea7427c65d07c7,train,10.1021/je049823k,10.1021/je049823k#d2#p1,5000,277.8,308,30.2,24,5,7,True,"[""10.1021/je049823k#d2#p1#r20"",""10.1021/je049823k#d2#p1#r22"",""10.1021/je049823k#d2#p1#r25""]","[""10.1021/je049823k#d2#p1#r1"",""10.1021/je049823k#d2#p1#r2"",""10.1021/je049823k#d2#p1#r3"",""10.1021/je049823k#d2#p1#r4"",""10.1021/je049823k#d2#p1#r5"",""10.1021/je049823k#d2#p1#r6"",""10.1021/je049823k#d2#p1#r7""]",3,7,7
ep_0342343671516ceb,mol_582f643aeadf8be3,grp_5085cd785cc4c7f4,test,10.1016/j.jct.2013.05.047,10.1016/j.jct.2013.05.047#d16#p1,5000,275.44,331.02,55.58,29,9,9,True,"[""10.1016/j.jct.2013.05.047#d16#p1#r22"",""10.1016/j.jct.2013.05.047#d16#p1#r26"",""10.1016/j.jct.2013.05.047#d16#p1#r30""]","[""10.1016/j.jct.2013.05.047#d16#p1#r10"",""10.1016/j.jct.2013.05.047#d16#p1#r2"",""10.1016/j.jct.2013.05.047#d16#p1#r3"",""10.1016/j.jct.2013.05.047#d16#p1#r4"",""10.1016/j.jct.2013.05.047#d16#p1#r5"",""10.1016/j.jct.2013.05.047#d16#p1#r6"",""10.1016/j.jct.2013.05.047#d16#p1#r7"",""10.1016/j.jct.2013.05.047#d16#p1#r8"",""10.1016/j.jct.2013.05.047#d16#p1#r9""]",3,9,9
