series_id,molecule_id,inchi,source_doi,T_min_K,T_max_K,T_span_K,temperature_levels,warm_levels,cold_levels,episode_eligible,monotonicity_flag,monotonicity_used_to_select_series
10.1007/s10765-018-2361-8#d2#p1,mol_83a135e5c50b66c1,"InChI=1S/C3H8O/c1-3(2)4/h3-4H,1-2H3",10.1007/s10765-018-2361-8,297.9,303.7,5.8,2,1,1,False,False,False
10.1016/j.fluid.2004.02.021#d1#p1,mol_69df6d03bf2d6749,InChI=1S/C2H2Cl4/c3-1(4)2(5)6/h1-2H,10.1016/j.fluid.2004.02.021,283.15,323.15,40,9,3,3,True,False,False
10.1016/j.fluid.2004.02.021#d2#p1,mol_520d932204fca4b7,InChI=1S/C2Cl4/c3-1(4)2(5)6,10.1016/j.fluid.2004.02.021,283.15,323.15,40,9,3,3,True,False,False
10.1016/j.fluid.2004.02.021#d3#p1,mol_b1820f534fb61402,InChI=1S/C6H6/c1-2-4-6-5-3-1/h1-6H,10.1016/j.fluid.2004.02.021,283.15,308.15,25,6,2,2,False,False,False
10.1016/j.fluid.2004.10.022#d12#p1,mol_754b018a16a84522,"InChI=1S/C6H12O2/c1-5(7)8-6(2,3)4/h1-4H3",10.1016/j.fluid.2004.10.022,307.53,325.46,17.93,6,2,2,False,False,False
10.1016/j.fluid.2004.10.022#d3#p1,mol_8b6a2383c538f690,"InChI=1S/C4H10O/c1-4(2)3-5/h4-5H,3H2,1-2H3",10.1016/j.fluid.2004.10.022,342.52,342.52,0,1,1,1,False,False,False
10.1016/j.fluid.2004.10.022#d6#p1,mol_f47a1833e8cb8ad4,"InChI=1S/C6H12O2/c1-5(2)4-8-6(3)7/h5H,4H2,1-3H3",10.1016/j.fluid.2004.10.022,307.43,342.95,35.52,7,3,2,True,False,False
10.1016/j.fluid.2004.10.022#d9#p1,mol_c30b4ae49b848357,"InChI=1S/C4H10O/c1-4(2,3)5/h5H,1-3H3",10.1016/j.fluid.2004.10.022,300.93,320.17,19.24,6,2,2,False,False,False
10.1016/j.fluid.2004.10.025#d1#p1,mol_c555c47fe3d2bf7e,"InChI=1S/CCl4/c2-1(3,4)5",10.1016/j.fluid.2004.10.025,283.15,303.15,20,5,2,2,False,False,False
10.1016/j.fluid.2004.10.025#d2#p1,mol_69df6d03bf2d6749,InChI=1S/C2H2Cl4/c3-1(4)2(5)6/h1-2H,10.1016/j.fluid.2004.10.025,283.15,323.15,40,9,3,3,True,False,False
10.1016/j.fluid.2004.10.025#d3#p1,mol_520d932204fca4b7,InChI=1S/C2Cl4/c3-1(4)2(5)6,10.1016/j.fluid.2004.10.025,283.15,323.15,40,9,3,3,True,False,False
10.1016/j.fluid.2004.11.024#d1#p1,mol_ddc649f61c120dd1,"InChI=1S/C10H13BrO/c1-8(2)7-12-10-6-4-3-5-9(10)11/h3-6,8H,7H2,1-2H3",10.1016/j.fluid.2004.11.024,293.3,323.2,29.9,13,4,4,False,False,False
10.1016/j.fluid.2004.11.024#d2#p1,mol_595c30aafafcc9d0,"InChI=1S/C10H13BrO/c1-8(2)7-12-10-5-3-4-9(11)6-10/h3-6,8H,7H2,1-2H3",10.1016/j.fluid.2004.11.024,290.2,323.2,33,14,4,4,True,False,False
10.1016/j.fluid.2004.11.024#d3#p1,mol_d4ef113b8d2f1614,"InChI=1S/C10H13BrO/c1-8(2)7-12-10-5-3-9(11)4-6-10/h3-6,8H,7H2,1-2H3",10.1016/j.fluid.2004.11.024,293.2,333.2,40,16,6,4,True,False,False
10.1016/j.fluid.2004.11.024#d4#p1,mol_63bef98299ee7018,"InChI=1S/C11H15BrO/c1-8(2)7-13-11-5-4-9(3)6-10(11)12/h4-6,8H,7H2,1-3H3",10.1016/j.fluid.2004.11.024,298.3,328.2,29.9,17,4,6,False,True,False
10.1016/j.fluid.2005.01.013#d1#p1,mol_2465ec339bda2cbb,"InChI=1S/C3H8O/c1-2-3-4/h4H,2-3H2,1H3",10.1016/j.fluid.2005.01.013,293.15,318.15,25,6,2,2,False,False,False
10.1016/j.fluid.2005.01.013#d3#p1,mol_cdea8ee7666036ab,"InChI=1S/C6H15N/c1-3-5-7-6-4-2/h7H,3-6H2,1-2H3",10.1016/j.fluid.2005.01.013,293.15,318.15,25,6,2,2,False,False,False
10.1016/j.fluid.2005.02.015#d11#p1,mol_301adda8d033e6ed,"InChI=1S/C6H12O3/c1-4(2)9-6(8)5(3)7/h4-5,7H,1-3H3/t5-/m0/s1",10.1016/j.fluid.2005.02.015,355,380,25,6,2,2,False,False,False
