record_id,csv_line_1based,source_row_index,inchi,name,H_reported_kJ_mol,T_reported_K,H_corrected_298_kJ_mol,method,source_reference_codes,notes,reported_experimental_T_range,deviation_reported,original_row_json,C_candidate,source_verification_status,measurement_vs_reference_T_status,same_identity_T_H_method_reference_count,has_primary_pressure_match
rdr250199#csvline2,2,0,"InChI=1S/CBrClF2/c2-1(3,4)5",bromochlorodifluoromethane,23.0,283.0,22.580993131246323,A,['1987STE/MAL'],,"[268.0, 324.0]",,"{"""":""0"",""Vap_temp_H"":""-0.4190068687536772"",""formula"":""CBrClF2"",""name"":""bromochlorodifluoromethane"",""Hvap_298"":""22.580993131246323"",""Cp_liq"":""113.1"",""Cp_sol"":""102.2"",""Cp_vap"":""77.30999999999999"",""Deviation"":"""",""Enthalpy"":""23.0"",""InChI"":""InChI=1S/CBrClF2/c2-1(3,4)5"",""Method"":""A"",""Notes"":"""",""Reference"":""['1987STE/MAL']"",""T_high"":""3000.0"",""T_low"":""10.0"",""T_mid"":""481.63"",""Temp. range (K)"":""[268.0, 324.0]"",""Tm (K)"":""283.0""}",False,not_primary_paper_verified,reported_T_inside_listed_range,1,False
rdr250199#csvline3,3,1,"InChI=1S/CBrClF2/c2-1(3,4)5",bromochlorodifluoromethane,23.1,272.0,22.355497109768685,A,['1987STE/MAL'],,"[194.0, 287.0]",,"{"""":""1"",""Vap_temp_H"":""-0.744502890231316"",""formula"":""CBrClF2"",""name"":""bromochlorodifluoromethane"",""Hvap_298"":""22.355497109768685"",""Cp_liq"":""113.1"",""Cp_sol"":""102.2"",""Cp_vap"":""77.30999999999999"",""Deviation"":"""",""Enthalpy"":""23.1"",""InChI"":""InChI=1S/CBrClF2/c2-1(3,4)5"",""Method"":""A"",""Notes"":"""",""Reference"":""['1987STE/MAL']"",""T_high"":""3000.0"",""T_low"":""10.0"",""T_mid"":""481.63"",""Temp. range (K)"":""[194.0, 287.0]"",""Tm (K)"":""272.0""}",False,not_primary_paper_verified,reported_T_inside_listed_range,1,False
rdr250199#csvline4,4,2,"InChI=1S/CBrClF2/c2-1(3,4)5",bromochlorodifluoromethane,22.4,336.0,23.34421115112884,A,['1987STE/MAL'],,"[321.0, 403.0]",,"{"""":""2"",""Vap_temp_H"":""0.944211151128842"",""formula"":""CBrClF2"",""name"":""bromochlorodifluoromethane"",""Hvap_298"":""23.34421115112884"",""Cp_liq"":""113.1"",""Cp_sol"":""102.2"",""Cp_vap"":""77.30999999999999"",""Deviation"":"""",""Enthalpy"":""22.4"",""InChI"":""InChI=1S/CBrClF2/c2-1(3,4)5"",""Method"":""A"",""Notes"":"""",""Reference"":""['1987STE/MAL']"",""T_high"":""3000.0"",""T_low"":""10.0"",""T_mid"":""481.63"",""Temp. range (K)"":""[321.0, 403.0]"",""Tm (K)"":""336.0""}",False,not_primary_paper_verified,reported_T_inside_listed_range,1,False
rdr250199#csvline5,5,3,"InChI=1S/CBrClF2/c2-1(3,4)5",bromochlorodifluoromethane,23.1,415.0,25.574784464344987,A,['1987STE/MAL'],,"[403.0, 427.0]",,"{"""":""3"",""Vap_temp_H"":""2.4747844643449852"",""formula"":""CBrClF2"",""name"":""bromochlorodifluoromethane"",""Hvap_298"":""25.574784464344987"",""Cp_liq"":""113.1"",""Cp_sol"":""102.2"",""Cp_vap"":""77.30999999999999"",""Deviation"":"""",""Enthalpy"":""23.1"",""InChI"":""InChI=1S/CBrClF2/c2-1(3,4)5"",""Method"":""A"",""Notes"":"""",""Reference"":""['1987STE/MAL']"",""T_high"":""3000.0"",""T_low"":""10.0"",""T_mid"":""481.63"",""Temp. range (K)"":""[403.0, 427.0]"",""Tm (K)"":""415.0""}",False,not_primary_paper_verified,reported_T_inside_listed_range,1,False
rdr250199#csvline6,6,4,"InChI=1S/CBrClF2/c2-1(3,4)5",bromochlorodifluoromethane,26.0,193.0,22.408365323076275,,['1979KUD/KUD'],,"[178.0, 283.0]",,"{"""":""4"",""Vap_temp_H"":""-3.591634676923727"",""formula"":""CBrClF2"",""name"":""bromochlorodifluoromethane"",""Hvap_298"":""22.408365323076275"",""Cp_liq"":""113.1"",""Cp_sol"":""102.2"",""Cp_vap"":""77.30999999999999"",""Deviation"":"""",""Enthalpy"":""26.0"",""InChI"":""InChI=1S/CBrClF2/c2-1(3,4)5"",""Method"":"""",""Notes"":"""",""Reference"":""['1979KUD/KUD']"",""T_high"":""3000.0"",""T_low"":""10.0"",""T_mid"":""481.63"",""Temp. range (K)"":""[178.0, 283.0]"",""Tm (K)"":""193.0""}",False,not_primary_paper_verified,reported_T_inside_listed_range,1,False
rdr250199#csvline7,7,5,"InChI=1S/CBrClF2/c2-1(3,4)5",bromochlorodifluoromethane,18.7,268.0,17.83316322999101,,"['1960GLE', '1984BOU/FRI']",,"[178.0, 283.0]",,"{"""":""5"",""Vap_temp_H"":""-0.8668367700089923"",""formula"":""CBrClF2"",""name"":""bromochlorodifluoromethane"",""Hvap_298"":""17.83316322999101"",""Cp_liq"":""113.1"",""Cp_sol"":""102.2"",""Cp_vap"":""77.30999999999999"",""Deviation"":"""",""Enthalpy"":""18.7"",""InChI"":""InChI=1S/CBrClF2/c2-1(3,4)5"",""Method"":"""",""Notes"":"""",""Reference"":""['1960GLE', '1984BOU/FRI']"",""T_high"":""3000.0"",""T_low"":""10.0"",""T_mid"":""481.63"",""Temp. range (K)"":""[178.0, 283.0]"",""Tm (K)"":""268.0""}",False,not_primary_paper_verified,reported_T_inside_listed_range,1,False
rdr250199#csvline8,8,6,"InChI=1S/CBrCl3/c2-1(3,4)5",bromotrichloromethane,35.0,288.0,34.75837342315769,,['1979KUD/KUD'],,"[273.0, 387.0]",,"{"""":""6"",""Vap_temp_H"":""-0.24162657684230548"",""formula"":""CBrCl3"",""name"":""bromotrichloromethane"",""Hvap_298"":""34.75837342315769"",""Cp_liq"":""140.9"",""Cp_sol"":""110.6"",""Cp_vap"":""86.13"",""Deviation"":"""",""Enthalpy"":""35.0"",""InChI"":""InChI=1S/CBrCl3/c2-1(3,4)5"",""Method"":"""",""Notes"":"""",""Reference"":""['1979KUD/KUD']"",""T_high"":""3000.0"",""T_low"":""10.0"",""T_mid"":""415.94"",""Temp. range (K)"":""[273.0, 387.0]"",""Tm (K)"":""288.0""}",False,not_primary_paper_verified,reported_T_inside_listed_range,1,True
rdr250199#csvline9,9,7,"InChI=1S/CBrCl3/c2-1(3,4)5",bromotrichloromethane,36.1,309.0,36.35386845599959,A,"['1970DYK', '1987STE/MAL']",,"[294.0, 443.0]",,"{"""":""7"",""Vap_temp_H"":""0.2538684559995871"",""formula"":""CBrCl3"",""name"":""bromotrichloromethane"",""Hvap_298"":""36.35386845599959"",""Cp_liq"":""140.9"",""Cp_sol"":""110.6"",""Cp_vap"":""86.13"",""Deviation"":"""",""Enthalpy"":""36.1"",""InChI"":""InChI=1S/CBrCl3/c2-1(3,4)5"",""Method"":""A"",""Notes"":"""",""Reference"":""['1970DYK', '1987STE/MAL']"",""T_high"":""3000.0"",""T_low"":""10.0"",""T_mid"":""415.94"",""Temp. range (K)"":""[294.0, 443.0]"",""Tm (K)"":""309.0""}",False,not_primary_paper_verified,reported_T_inside_listed_range,1,True
rdr250199#csvline10,10,8,"InChI=1S/CBrF3/c2-1(3,4)5",bromotrifluoromethane,17.8,291.0,17.593264196337945,A,['1987STE/MAL'],,"[276.0, 340.0]",,"{"""":""8"",""Vap_temp_H"":""-0.20673580366205696"",""formula"":""CBrF3"",""name"":""bromotrifluoromethane"",""Hvap_298"":""17.593264196337945"",""Cp_liq"":""99.2"",""Cp_sol"":""98.0"",""Cp_vap"":""72.9"",""Deviation"":"""",""Enthalpy"":""17.8"",""InChI"":""InChI=1S/CBrF3/c2-1(3,4)5"",""Method"":""A"",""Notes"":"""",""Reference"":""['1987STE/MAL']"",""T_high"":""3000.0"",""T_low"":""10.0"",""T_mid"":""533.18"",""Temp. range (K)"":""[276.0, 340.0]"",""Tm (K)"":""291.0""}",False,not_primary_paper_verified,reported_T_inside_listed_range,1,False
rdr250199#csvline11,11,9,"InChI=1S/CBrF3/c2-1(3,4)5",bromotrifluoromethane,17.7,252.0,16.22704425686522,A,['1987STE/MAL'],,"[160.0, 267.0]",,"{"""":""9"",""Vap_temp_H"":""-1.4729557431347802"",""formula"":""CBrF3"",""name"":""bromotrifluoromethane"",""Hvap_298"":""16.22704425686522"",""Cp_liq"":""99.2"",""Cp_sol"":""98.0"",""Cp_vap"":""72.9"",""Deviation"":"""",""Enthalpy"":""17.7"",""InChI"":""InChI=1S/CBrF3/c2-1(3,4)5"",""Method"":""A"",""Notes"":"""",""Reference"":""['1987STE/MAL']"",""T_high"":""3000.0"",""T_low"":""10.0"",""T_mid"":""533.18"",""Temp. range (K)"":""[160.0, 267.0]"",""Tm (K)"":""252.0""}",False,not_primary_paper_verified,reported_T_inside_listed_range,1,False
