record_id,molecule_id,primary_name,split,T_C,T_K_historical_absolute,T_K_nominal_modern_metadata,molar_mass_g_mol,molar_volume_25C_mL_mol,density_25C_g_mL,specific_volume_25C_cm3_g,volume_derivation,volume_source_key,volume_source_locator,vapor_pressure_source_key,vapor_pressure_source_locator,vapor_pressure_source_directly_in_cited_beta_pair,archival_lineage_complete,antoine_equation,antoine_A,antoine_B,antoine_C_C,p_sat_25C_mmHg,dp_sat_dT_25C_mmHg_K,beta_equation,reconstructed_beta_int_J_g,published_beta_int_J_g,signed_difference_reconstructed_minus_published_int_J_g,absolute_difference_int_J_g,nearest_0.01_half_up_int_J_g,nearest_0.01_matches_published,within_unrounded_half_cent,truncated_0.01_int_J_g,truncation_matches_published,reconstruction_status,lineage_note
rdr250199#csvline10004,mol_3fd637a4d667fe51,n-Nonane,train,25,298.16,298.15,128.259,179.662,,1.400774994347375,printed_molar_volume,NBS_CIRCULAR_461,"Table 4b (Part 1), printed p.89, PDF p.107",WILLINGHAM_1945,"Table 3, printed p.239, PDF p.21",False,False,log10(p_mmHg)=A-B/(C+t_C),6.94495,1435.158,202.331,4.284236854307,0.273950156617,beta=T*v_liquid*dp_sat/dT,0.015254301760887,0.02,-0.004745698239113,0.004745698239113,0.02,True,True,0.01,False,numerically_reproduced_with_surrogate_slope_source,"API Project 6 correlation is a primary accessible surrogate; the 1947 beta paragraph cites API Project 44 and ICT, not this paper."
rdr250199#csvline11064,mol_a3ab0bd2d4d80422,n-Decane,train,25,298.16,298.15,142.286,195.707053557382,0.727035625,1.375448417675544,molar_mass_divided_by_archival_density_equation,ICT_VOL3,"Density equation and n-decane row: printed pp.27 and 30, PDF pp.40 and 43",WILLINGHAM_1945,"Table 3, printed p.239, PDF p.21",False,False,log10(p_mmHg)=A-B/(C+t_C),6.95367,1501.268,194.480,1.298844039376,0.093205388039,beta=T*v_liquid*dp_sat/dT,0.005096097480504,0.01,-0.004903902519496,0.004903902519496,0.01,True,True,0,False,numerically_reproduced_with_surrogate_slope_source,Volume is from cited ICT; API Project 6 pressure correlation is an accessible surrogate for the unavailable per-compound API/ICT slope lineage.
rdr250199#csvline5075,mol_b1820f534fb61402,Benzene,train,25,298.16,298.15,78.114,89.401,,1.14449394474742,printed_molar_volume,NBS_CIRCULAR_461,"Table 5b, printed p.91, PDF p.109",NBS_CIRCULAR_461,"Table 5k (Part 1), printed p.126, PDF p.144",True,True,log10(p_mmHg)=A-B/(C+t_C),6.89745,1206.350,220.237,95.13294554119,4.393877770779,beta=T*v_liquid*dp_sat/dT,0.199900495518515,0.2,-0.000099504481485,0.000099504481485,0.2,True,True,0.19,False,reproduced_at_printed_precision,Bound API Research Project 44 table cited by the 1947 paper.
rdr250199#csvline5568,mol_e983a25bd52a944d,Cyclohexane,train,25,298.16,298.15,84.162,108.744,,1.292079560846938,printed_molar_volume,NBS_CIRCULAR_461,"Table 7b, printed p.93, PDF p.111",NBS_CIRCULAR_461,"Table 7k (Part 1), printed p.129, PDF p.147",True,True,log10(p_mmHg)=A-B/(C+t_C),6.84498,1203.526,222.863,97.58211972713,4.401675371371,beta=T*v_liquid*dp_sat/dT,0.226078709812149,0.24,-0.013921290187851,0.013921290187851,0.23,False,False,0.22,False,not_reproduced_at_printed_precision,Bound API Research Project 44 table cited by the 1947 paper.
rdr250199#csvline6038,mol_2ea49b3823ebd7ad,n-Hexane,train,25,298.16,298.15,86.178,131.596,,1.527025458933835,printed_molar_volume,NBS_CIRCULAR_461,"Table 2b (Part 1), printed p.86, PDF p.104",NBS_CIRCULAR_461,"Table 2k (Part 1), printed p.122, PDF p.140",True,True,log10(p_mmHg)=A-B/(C+t_C),6.87773,1171.530,224.366,151.25013997055,6.561307780454,beta=T*v_liquid*dp_sat/dT,0.398280540611091,0.39,0.008280540611091,0.008280540611091,0.4,False,False,0.39,True,not_reproduced_at_printed_precision,Bound API Research Project 44 table cited by the 1947 paper.
rdr250199#csvline6924,mol_b44b37c017007981,Toluene,train,25,298.16,298.15,92.141,106.846,,1.159592363877101,printed_molar_volume,NBS_CIRCULAR_461,"Table 5b, printed p.91, PDF p.109",NBS_CIRCULAR_461,"Table 5k (Part 1), printed p.126, PDF p.144",True,True,log10(p_mmHg)=A-B/(C+t_C),6.95334,1343.943,219.377,28.436360476781,1.473499155074,beta=T*v_liquid*dp_sat/dT,0.067921557769252,0.15,-0.082078442230748,0.082078442230748,0.07,False,False,0.06,False,not_reproduced_at_printed_precision,Bound API Research Project 44 table cited by the 1947 paper.
rdr250199#csvline8244,mol_af4829eb52c939fe,o-Xylene,train,25,298.16,298.15,106.168,121.193,,1.141520985607716,printed_molar_volume,NBS_CIRCULAR_461,"Table 5b, printed p.91, PDF p.109",NBS_CIRCULAR_461,"Table 5k (Part 1), printed p.126, PDF p.144",True,True,log10(p_mmHg)=A-B/(C+t_C),7.00289,1477.519,214.024,6.628616094716,0.394719525621,beta=T*v_liquid*dp_sat/dT,0.017911209348673,0.03,-0.012088790651327,0.012088790651327,0.02,False,False,0.01,False,not_reproduced_at_printed_precision,Bound API Research Project 44 table cited by the 1947 paper.
rdr250199#csvline8257,mol_d40206d67276aa8c,m-Xylene,train,25,298.16,298.15,106.168,123.456,,1.162836259513224,printed_molar_volume,NBS_CIRCULAR_461,"Table 5b, printed p.91, PDF p.109",NBS_CIRCULAR_461,"Table 5k (Part 1), printed p.126, PDF p.144",True,True,log10(p_mmHg)=A-B/(C+t_C),7.00659,1460.498,214.889,8.286399414802,0.484241326061,beta=T*v_liquid*dp_sat/dT,0.022383748397761,0.02,0.002383748397761,0.002383748397761,0.02,True,True,0.02,True,reproduced_at_printed_precision,Bound API Research Project 44 table cited by the 1947 paper.
rdr250199#csvline8284,mol_eb0e7cd1593e34a5,p-Xylene,train,25,298.16,298.15,106.168,123.919,,1.167197272247758,printed_molar_volume,NBS_CIRCULAR_461,"Table 5b, printed p.91, PDF p.109",NBS_CIRCULAR_461,"Table 5k (Part 1), printed p.126, PDF p.144",True,True,log10(p_mmHg)=A-B/(C+t_C),6.99099,1453.840,215.367,8.761377073233,0.507639009467,beta=T*v_liquid*dp_sat/dT,0.023553293930253,0.03,-0.006446706069747,0.006446706069747,0.02,False,False,0.02,False,not_reproduced_at_printed_precision,Bound API Research Project 44 table cited by the 1947 paper.
rdr250199#csvline8303,mol_b94bab3d5b62c755,Ethylbenzene (pure),train,25,298.16,298.15,106.168,123.064,,1.159143998191545,printed_molar_volume,NBS_CIRCULAR_461,"Table 5b, printed p.91, PDF p.109",NBS_CIRCULAR_461,"Table 5k (Part 1), printed p.126, PDF p.144",True,True,log10(p_mmHg)=A-B/(C+t_C),6.95366,1421.914,212.931,9.495084718839,0.549143444111,beta=T*v_liquid*dp_sat/dT,0.02530320848942,0.05,-0.02469679151058,0.02469679151058,0.03,False,False,0.02,False,not_reproduced_at_printed_precision,Bound API Research Project 44 table cited by the 1947 paper.
