record_id,primary_name,mean_gamma_intJ_g,beta_intJ_g,L_intJ_g,gamma_minus_beta_exact,beta_fraction_of_L,molar_mass_g_mol,energy_conversion_factor,normalized_H_kJ_mol,beta_kJ_mol,training_allowed
rdr250199#csvline10004,n-Nonane,362.04,0.02,362.02,True,0.00005524556654328490138666372024,128.259,1.000165,46.43998451332470,0.00256560325470,False
rdr250199#csvline11064,n-Decane,360.97,0.01,360.96,True,0.00002770390070921985815602836879,142.286,1.000165,51.3680288865024,0.0014230947719,False
rdr250199#csvline5075,Benzene,433.47,0.20,433.27,True,0.0004616059270201029381217254830,78.114,1.000165,33.8500371147087,0.0156253777620,False
rdr250199#csvline5568,Cyclohexane,392.72,0.24,392.48,True,0.0006114961271911944557684467998,84.162,1.000165,33.0373520237904,0.0202022128152,False
rdr250199#csvline6038,n-Hexane,366.44,0.39,366.05,True,0.001065428220188498838956426718,86.178,1.000165,31.5506619003885,0.0336149655543,False
rdr250199#csvline6924,Toluene,412.41,0.15,412.26,True,0.0003638480570513753456556541988,92.141,1.000165,37.99231635802890,0.01382343048975,False
rdr250199#csvline8244,o-Xylene,409.10,0.03,409.07,True,0.00007333708167306328990148385362,106.168,1.000165,43.4373097337204,0.0031855655316,False
rdr250199#csvline8257,m-Xylene,401.77,0.02,401.75,True,0.00004978220286247666459240821406,106.168,1.000165,42.6600317440100,0.0021237103544,False
rdr250199#csvline8284,p-Xylene,399.14,0.03,399.11,True,0.00007516724712485279747438049660,106.168,1.000165,42.3797019772292,0.0031855655316,False
rdr250199#csvline8303,Ethylbenzene (pure),397.94,0.05,397.89,True,0.0001256628716479428987911231747,106.168,1.000165,42.2501556456108,0.0053092758860,False
rdr250199#csvline8700,Ethylcyclohexane,360.68,0.05,360.63,True,0.0001386462579374982669217757813,112.216,1.000165,40.4751333752532,0.0056117257820,False
rdr250199#csvline9038,n-Octane,363.16,0.05,363.11,True,0.0001376993197653603591198259481,114.232,1.000165,41.4856255189508,0.0057125424140,False
rdr250199#csvline9070,"2,2,4-Trimethylpentane",307.62,0.14,307.48,True,0.0004553141667750748016131130480,114.232,1.000165,35.1298508291344,0.0159951187592,False
rdr250199#csvline9607,"1,2,4-Trimethylbenzene",398.78,0.01,398.77,True,0.00002507711211976828748401334102,120.195,1.000165,47.93806862642475,0.00120214832175,False
