record_id,gamma_minus_published_beta_equals_published_L,gamma_abs_kJ_mol,published_beta_abs_kJ_mol,published_L_abs_kJ_mol,converted_gamma_minus_beta_equals_converted_L,volume_input_traced,constraint_ready,direct_H_training_allowed
rdr250199#csvline10004,True,46.4425501165794,0.0025656032547,46.4399845133247,True,True,True,False
rdr250199#csvline11064,True,51.3694519812743,0.0014230947719,51.3680288865024,True,True,True,False
rdr250199#csvline5075,True,33.8656624924707,0.015625377762,33.8500371147087,True,True,True,False
rdr250199#csvline5568,True,33.0575542366056,0.0202022128152,33.0373520237904,True,True,True,False
rdr250199#csvline6038,True,31.5842768659428,0.0336149655543,31.5506619003885,True,True,True,False
rdr250199#csvline6924,True,38.00613978851865,0.01382343048975,37.9923163580289,True,True,True,False
rdr250199#csvline8244,True,43.440495299252,0.0031855655316,43.4373097337204,True,True,True,False
rdr250199#csvline8257,True,42.6621554543644,0.0021237103544,42.66003174401,True,True,True,False
rdr250199#csvline8284,True,42.3828875427608,0.0031855655316,42.3797019772292,True,True,True,False
rdr250199#csvline8303,True,42.2554649214968,0.005309275886,42.2501556456108,True,True,True,False
rdr250199#csvline8700,True,40.4807451010352,0.005611725782,40.4751333752532,True,True,True,False
rdr250199#csvline9038,True,41.4913380613648,0.005712542414,41.4856255189508,True,True,True,False
rdr250199#csvline9070,True,35.1458459478936,0.0159951187592,35.1298508291344,True,True,True,False
rdr250199#csvline9607,True,47.9392707747465,0.00120214832175,47.93806862642475,True,True,True,False
