record_id,molecule_id,inchi,name,split,component_id,reference_code,H_kJ_mol,T_K,method_code_from_compendium,reported_measurement_T_min_K,reported_measurement_T_max_K,temperature_window_status,inside_reported_measurement_window,source_role_assessment,bibliographic_identity_resolved,primary_full_text_obtained,exact_primary_numeric_table_verified,full_primary_methods_verified,pressure_correction_lineage_verified,uncertainty_or_precision_verified,training_allowed,decision,approval_blocker
rdr250199#csvline11044,mol_a3ab0bd2d4d80422,"InChI=1S/C10H22/c1-3-5-7-9-10-8-6-4-2/h3-10H2,1-2H3",decane,train,grp_5dea7427c65d07c7,1996VIT/CHA,51.5,299,C,313,344,outside_reported_measurement_window_below,False,outside_officially_reported_experimental_window_role_unresolved,True,False,False,False,False,False,False,hold_primary_table_and_method_unverified,"Candidate temperature lies outside the official abstract's 313-344 K measurement interval; full source is required to distinguish measurement, literature value, interpolation, correlation, or extrapolation."
rdr250199#csvline11045,mol_a3ab0bd2d4d80422,"InChI=1S/C10H22/c1-3-5-7-9-10-8-6-4-2/h3-10H2,1-2H3",decane,train,grp_5dea7427c65d07c7,1996VIT/CHA,50.5,314,C,313,344,within_reported_measurement_window,True,plausibly_experimental_by_official_abstract_and_compendium_method_code_but_primary_table_unverified,True,False,False,False,False,False,False,hold_primary_table_and_method_unverified,"Exact primary numeric table, row identity, uncertainty/precision, and correction lineage not verified."
rdr250199#csvline11046,mol_a3ab0bd2d4d80422,"InChI=1S/C10H22/c1-3-5-7-9-10-8-6-4-2/h3-10H2,1-2H3",decane,train,grp_5dea7427c65d07c7,1996VIT/CHA,50.1,324,C,313,344,within_reported_measurement_window,True,plausibly_experimental_by_official_abstract_and_compendium_method_code_but_primary_table_unverified,True,False,False,False,False,False,False,hold_primary_table_and_method_unverified,"Exact primary numeric table, row identity, uncertainty/precision, and correction lineage not verified."
rdr250199#csvline11047,mol_a3ab0bd2d4d80422,"InChI=1S/C10H22/c1-3-5-7-9-10-8-6-4-2/h3-10H2,1-2H3",decane,train,grp_5dea7427c65d07c7,1996VIT/CHA,49.2,334,C,313,344,within_reported_measurement_window,True,plausibly_experimental_by_official_abstract_and_compendium_method_code_but_primary_table_unverified,True,False,False,False,False,False,False,hold_primary_table_and_method_unverified,"Exact primary numeric table, row identity, uncertainty/precision, and correction lineage not verified."
rdr250199#csvline11599,mol_58c591d9024d1c78,"InChI=1S/C11H24/c1-3-5-7-9-11-10-8-6-4-2/h3-11H2,1-2H3",Undecane,train,grp_5dea7427c65d07c7,1996VIT/CHA,56.2,299,C,313,344,outside_reported_measurement_window_below,False,outside_officially_reported_experimental_window_role_unresolved,True,False,False,False,False,False,False,hold_primary_table_and_method_unverified,"Candidate temperature lies outside the official abstract's 313-344 K measurement interval; full source is required to distinguish measurement, literature value, interpolation, correlation, or extrapolation."
rdr250199#csvline11600,mol_58c591d9024d1c78,"InChI=1S/C11H24/c1-3-5-7-9-11-10-8-6-4-2/h3-11H2,1-2H3",Undecane,train,grp_5dea7427c65d07c7,1996VIT/CHA,55.4,314,C,313,344,within_reported_measurement_window,True,plausibly_experimental_by_official_abstract_and_compendium_method_code_but_primary_table_unverified,True,False,False,False,False,False,False,hold_primary_table_and_method_unverified,"Exact primary numeric table, row identity, uncertainty/precision, and correction lineage not verified."
rdr250199#csvline11601,mol_58c591d9024d1c78,"InChI=1S/C11H24/c1-3-5-7-9-11-10-8-6-4-2/h3-11H2,1-2H3",Undecane,train,grp_5dea7427c65d07c7,1996VIT/CHA,54.5,324,C,313,344,within_reported_measurement_window,True,plausibly_experimental_by_official_abstract_and_compendium_method_code_but_primary_table_unverified,True,False,False,False,False,False,False,hold_primary_table_and_method_unverified,"Exact primary numeric table, row identity, uncertainty/precision, and correction lineage not verified."
rdr250199#csvline11602,mol_58c591d9024d1c78,"InChI=1S/C11H24/c1-3-5-7-9-11-10-8-6-4-2/h3-11H2,1-2H3",Undecane,train,grp_5dea7427c65d07c7,1996VIT/CHA,54,334,C,313,344,within_reported_measurement_window,True,plausibly_experimental_by_official_abstract_and_compendium_method_code_but_primary_table_unverified,True,False,False,False,False,False,False,hold_primary_table_and_method_unverified,"Exact primary numeric table, row identity, uncertainty/precision, and correction lineage not verified."
rdr250199#csvline11603,mol_58c591d9024d1c78,"InChI=1S/C11H24/c1-3-5-7-9-11-10-8-6-4-2/h3-11H2,1-2H3",Undecane,train,grp_5dea7427c65d07c7,1996VIT/CHA,53.1,344,C,313,344,within_reported_measurement_window,True,plausibly_experimental_by_official_abstract_and_compendium_method_code_but_primary_table_unverified,True,False,False,False,False,False,False,hold_primary_table_and_method_unverified,"Exact primary numeric table, row identity, uncertainty/precision, and correction lineage not verified."
rdr250199#csvline12349,mol_7a77950532c8e700,"InChI=1S/C12H26/c1-3-5-7-9-11-12-10-8-6-4-2/h3-12H2,1-2H3",Dodecane,train,grp_5dea7427c65d07c7,1996VIT/CHA,61.4,299,C,313,344,outside_reported_measurement_window_below,False,outside_officially_reported_experimental_window_role_unresolved,True,False,False,False,False,False,False,hold_primary_table_and_method_unverified,"Candidate temperature lies outside the official abstract's 313-344 K measurement interval; full source is required to distinguish measurement, literature value, interpolation, correlation, or extrapolation."
