record_id,origin,molecule_id,inchi,name,H_kJ_mol,T_K,H_J_mol,method,source_doi,reference_codes_json,source_locator,reported_deviation,uncertainty_kind,uncertainty_confidence_percent,uncertainty_coverage_factor,experimental_temperature_range,temperature_status,thermodynamic_state,raw_row_verified,archive_XML_verified,full_primary_methods_verified,calorimetry_candidate,has_pressure_join,inside_pressure_temperature_envelope,decision,decision_reasons,independent_of_pressure_verified,training_allowed,corrected_298_field_excluded,duplicate_family,linked_record_ids_json,split,component_id,review_wave,review_date,original_H_kJ_mol,original_T_K,original_reported_deviation,original_decision,previous_v0_2_decision,review_reference_code,primary_source_url,source_review_status,reference_code,primary_compound_name,primary_H,primary_deviation,primary_unit,unit_multiplier_to_kJ,primary_temperature_C,primary_temperature_K,primary_page,primary_table,calorimeter,structure_smiles_from_primary_name,systematic_error_bound_kJ_mol,quality_flags,table_image_visually_checked,pressure_slope_ancillary_correction,reported_replicates_minimum,reported_replicates_exact,temperature_scale_note,source_role,overall_uncertainty_relation,overall_uncertainty_value_kJ_mol,ancillary_reference_notes,source_temperature_adjustment,moisture_treatment,mean_gamma_intJ_g,beta_intJ_g,estimated_relative_error_fraction,energy_conversion_factor_to_abs_J,primary_document_sha256,molar_mass_g_mol,random_standard_error_kJ_mol,standard_error_multiplier,author_estimated_total_error_kJ_mol,primary_numeric_table_verified,primary_identity_verified,measurement_or_reference_temperature,temperature_correction_applied,ideal_gas_state_conversion_applied,ancillary_apparatus_pressure_used,pressure_curve_used_to_derive_label,benchmark_pressure_used_for_label,minimum_replicates_in_reported_mean,measurement_lineage_id,reviewed_by,v0_4_tier,v0_4_gamma_constraint_ready,v0_4_beta_reconstruction_status,v0_4_review_note
10.1016/j.jct.2008.02.004#d1#p1#r1,thermoml,mol_c6feabb4edc72193,InChI=1S/C5H4OS/c6-4-5-2-1-3-7-5/h1-4H,2-thiophenealdehyde,54.9,298.15,54900,calvet microcalorimetry,10.1016/j.jct.2008.02.004,[],10.1016/j.jct.2008.02.004.json; data 1; property 1; row 1,2.2,combined_expanded,95,,,reported_T_from_numeric_variable_or_constraint,liquid_gas_metadata_standard_vs_saturation_requires_primary_methods,True,True,False,True,True,False,quarantine_archive_calorimetry,full_methods_state_corrections_and_independence_unverified,False,False,True,,[],validation,grp_4b1804fb3acb405a,not_reviewed,,54.9,298.15,2.2,quarantine_archive_calorimetry,quarantine_archive_calorimetry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,inherited_hold_or_quarantine,False,not_applicable,Inherited unchanged from v0.3 scientific decision.
10.1016/j.jct.2008.04.010#d4#p1#r1,thermoml,mol_4446e9b31e59fba3,InChI=1S/C16H12/c1-2-7-13(8-3-1)16-12-6-10-14-9-4-5-11-15(14)16/h1-12H,1-phenylnaphthalene,81,298.15,81000,Calvet microcalorimetry,10.1016/j.jct.2008.04.010,[],10.1016/j.jct.2008.04.010.json; data 4; property 1; row 1,3.6,combined_expanded,95,,,reported_T_from_numeric_variable_or_constraint,liquid_gas_metadata_standard_vs_saturation_requires_primary_methods,True,True,False,True,True,False,quarantine_archive_calorimetry,full_methods_state_corrections_and_independence_unverified,False,False,True,,[],train,grp_d957e784c854093b,not_reviewed,,81,298.15,3.6,quarantine_archive_calorimetry,quarantine_archive_calorimetry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,inherited_hold_or_quarantine,False,not_applicable,Inherited unchanged from v0.3 scientific decision.
10.1016/j.jct.2008.08.004#d3#p1#r1,thermoml,mol_fa6014b0e97e2afc,"InChI=1S/C6H6O2/c1-5(7)6-3-2-4-8-6/h2-4H,1H3",2-acetylfuran,53,298.15,53000,Static calorimetry,10.1016/j.jct.2008.08.004,[],10.1016/j.jct.2008.08.004.json; data 3; property 1; row 1,1.2,combined_expanded,95,,,reported_T_from_numeric_variable_or_constraint,liquid_gas_metadata_standard_vs_saturation_requires_primary_methods,True,True,False,True,True,False,quarantine_archive_calorimetry,full_methods_state_corrections_and_independence_unverified,False,False,True,,[],train,grp_5dea7427c65d07c7,not_reviewed,,53,298.15,1.2,quarantine_archive_calorimetry,quarantine_archive_calorimetry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,inherited_hold_or_quarantine,False,not_applicable,Inherited unchanged from v0.3 scientific decision.
10.1016/j.jct.2008.12.015#d6#p1#r1,thermoml,mol_65b0a8e37b1d0b65,"InChI=1S/C16H18/c1-16(2,3)15-11-9-14(10-12-15)13-7-5-4-6-8-13/h4-12H,1-3H3","4-(1,1-dimethylethyl)-1,1'-biphenyl",76.97,334,76970,Static calorimetry,10.1016/j.jct.2008.12.015,[],10.1016/j.jct.2008.12.015.json; data 6; property 1; row 1,0.86,combined_expanded,95,,,reported_T_from_numeric_variable_or_constraint,liquid_gas_metadata_standard_vs_saturation_requires_primary_methods,True,True,False,True,True,True,quarantine_archive_calorimetry,full_methods_state_corrections_and_independence_unverified,False,False,True,,[],validation,grp_9a6e5ce866866615,not_reviewed,,76.97,334,0.86,quarantine_archive_calorimetry,quarantine_archive_calorimetry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,inherited_hold_or_quarantine,False,not_applicable,Inherited unchanged from v0.3 scientific decision.
10.1016/j.jct.2013.01.009#d18#p1#r1,thermoml,mol_bbdd71ed3a3275f5,"InChI=1S/C10H14O/c1-6-4-9(11)8-5-7(6)10(8,2)3/h4,7-8H,5H2,1-3H3/t7-,8+/m0/s1",(-)-verbenone,58.9,298.15,58900,Static calorimetry,10.1016/j.jct.2013.01.009,[],10.1016/j.jct.2013.01.009.json; data 18; property 1; row 1,1.5,combined_expanded,95,,,reported_T_from_numeric_variable_or_constraint,liquid_gas_metadata_standard_vs_saturation_requires_primary_methods,True,True,False,True,True,True,quarantine_archive_calorimetry,full_methods_state_corrections_and_independence_unverified,False,False,True,lineage_67f38b5227f1d5a4,"[""rdr250199#csvline10618""]",validation,grp_ee24c20719261d11,not_reviewed,,58.9,298.15,1.5,quarantine_archive_calorimetry,quarantine_archive_calorimetry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,inherited_hold_or_quarantine,False,not_applicable,Inherited unchanged from v0.3 scientific decision.
10.1016/j.jct.2015.07.028#d3#p1#r1,thermoml,mol_3ff2b6ab243e2db7,"InChI=1S/C5H10O/c1-4-5(2,3)6/h4,6H,1H2,2-3H3",2-methyl-3-buten-2-ol,46.9,305.12,46900,Static calorimetry,10.1016/j.jct.2015.07.028,[],10.1016/j.jct.2015.07.028.json; data 3; property 1; row 1,1.6,combined_expanded,95,,,reported_T_from_numeric_variable_or_constraint,liquid_gas_metadata_standard_vs_saturation_requires_primary_methods,True,True,False,True,True,True,quarantine_archive_calorimetry,full_methods_state_corrections_and_independence_unverified;abstract_discusses_gas_phase_association,False,False,True,,[],test,grp_3ff2b6ab243e2db7,not_reviewed,,46.9,305.12,1.6,quarantine_archive_calorimetry,quarantine_archive_calorimetry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,inherited_hold_or_quarantine,False,not_applicable,Inherited unchanged from v0.3 scientific decision.
10.1016/j.jct.2019.02.001#d5#p1#r1,thermoml,mol_a3ab0bd2d4d80422,"InChI=1S/C10H22/c1-3-5-7-9-10-8-6-4-2/h3-10H2,1-2H3",decane,49.89,298.15,49890,Static calorimetry,10.1016/j.jct.2019.02.001,[],10.1016/j.jct.2019.02.001.json; data 5; property 1; row 1,2.2,combined_expanded,95,,,reported_T_from_numeric_variable_or_constraint,liquid_gas_metadata_standard_vs_saturation_requires_primary_methods,True,True,False,True,True,True,quarantine_same_source_conflict,full_methods_state_corrections_and_independence_unverified;two_values_same_T_source_sample_require_table_lineage_review,False,False,True,,[],train,grp_5dea7427c65d07c7,not_reviewed,,49.89,298.15,2.2,quarantine_same_source_conflict,quarantine_same_source_conflict,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,inherited_hold_or_quarantine,False,not_applicable,Inherited unchanged from v0.3 scientific decision.
10.1016/j.jct.2019.02.001#d6#p1#r1,thermoml,mol_a3ab0bd2d4d80422,"InChI=1S/C10H22/c1-3-5-7-9-10-8-6-4-2/h3-10H2,1-2H3",decane,52.24,298.15,52240,Static calorimetry,10.1016/j.jct.2019.02.001,[],10.1016/j.jct.2019.02.001.json; data 6; property 1; row 1,1.42,combined_expanded,95,,,reported_T_from_numeric_variable_or_constraint,liquid_gas_metadata_standard_vs_saturation_requires_primary_methods,True,True,False,True,True,True,quarantine_same_source_conflict,full_methods_state_corrections_and_independence_unverified;two_values_same_T_source_sample_require_table_lineage_review,False,False,True,,[],train,grp_5dea7427c65d07c7,not_reviewed,,52.24,298.15,1.42,quarantine_same_source_conflict,quarantine_same_source_conflict,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,inherited_hold_or_quarantine,False,not_applicable,Inherited unchanged from v0.3 scientific decision.
10.1021/je025634v#d1#p1#r1,thermoml,mol_ad64c2cfe3c93488,"InChI=1S/C8H14O2/c1-7(9)10-8-5-3-2-4-6-8/h8H,2-6H2,1H3",cyclohexyl ethanoate,52.16,300.11,52160,Static calorimetry,10.1021/je025634v,[],10.1021/je025634v.json; data 1; property 1; row 1,0.36,combined_expanded,95,,,reported_T_from_numeric_variable_or_constraint,liquid_gas_metadata_standard_vs_saturation_requires_primary_methods,True,True,False,True,True,True,quarantine_archive_calorimetry,full_methods_state_corrections_and_independence_unverified;abstract_reports_cross_method_refinement,False,False,True,lineage_e315ce2beedff1d3,"[""rdr250199#csvline8559""]",test,grp_69e3066d23c835df,not_reviewed,,52.16,300.11,0.36,quarantine_archive_calorimetry,quarantine_archive_calorimetry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,inherited_hold_or_quarantine,False,not_applicable,Inherited unchanged from v0.3 scientific decision.
10.1021/je025634v#d12#p1#r1,thermoml,mol_17a72fa1b6a75538,"InChI=1S/C11H20O2/c1-2-3-9-11(12)13-10-7-5-4-6-8-10/h10H,2-9H2,1H3","pentanoic acid, cyclohexyl ester",63.6,299.54,63600,Static calorimetry,10.1021/je025634v,[],10.1021/je025634v.json; data 12; property 1; row 1,0.33,combined_expanded,95,,,reported_T_from_numeric_variable_or_constraint,liquid_gas_metadata_standard_vs_saturation_requires_primary_methods,True,True,False,True,True,True,quarantine_archive_calorimetry,full_methods_state_corrections_and_independence_unverified;abstract_reports_cross_method_refinement,False,False,True,lineage_22c65d86c1a9332d,"[""rdr250199#csvline11453""]",test,grp_69e3066d23c835df,not_reviewed,,63.6,299.54,0.33,quarantine_archive_calorimetry,quarantine_archive_calorimetry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,inherited_hold_or_quarantine,False,not_applicable,Inherited unchanged from v0.3 scientific decision.
