record_id,origin,molecule_id,inchi,name,H_kJ_mol,T_K,H_J_mol,method,source_doi,reference_codes_json,source_locator,reported_deviation,uncertainty_kind,uncertainty_confidence_percent,uncertainty_coverage_factor,experimental_temperature_range,temperature_status,thermodynamic_state,raw_row_verified,archive_XML_verified,full_primary_methods_verified,calorimetry_candidate,has_pressure_join,inside_pressure_temperature_envelope,decision,decision_reasons,independent_of_pressure_verified,training_allowed,corrected_298_field_excluded,duplicate_family,linked_record_ids_json,split,component_id,review_wave,review_date,original_H_kJ_mol,original_T_K,original_reported_deviation,original_decision,previous_v0_2_decision,review_reference_code,primary_source_url,source_review_status,reference_code,primary_compound_name,primary_H,primary_deviation,primary_unit,unit_multiplier_to_kJ,primary_temperature_C,primary_temperature_K,primary_page,primary_table,calorimeter,structure_smiles_from_primary_name,systematic_error_bound_kJ_mol,quality_flags,table_image_visually_checked,pressure_slope_ancillary_correction,reported_replicates_minimum,reported_replicates_exact,temperature_scale_note,source_role,overall_uncertainty_relation,overall_uncertainty_value_kJ_mol,ancillary_reference_notes,source_temperature_adjustment,moisture_treatment,mean_gamma_intJ_g,beta_intJ_g,estimated_relative_error_fraction,energy_conversion_factor_to_abs_J,primary_document_sha256,molar_mass_g_mol,random_standard_error_kJ_mol,standard_error_multiplier,author_estimated_total_error_kJ_mol,primary_numeric_table_verified,primary_identity_verified,measurement_or_reference_temperature,temperature_correction_applied,ideal_gas_state_conversion_applied,ancillary_apparatus_pressure_used,pressure_curve_used_to_derive_label,benchmark_pressure_used_for_label,minimum_replicates_in_reported_mean,measurement_lineage_id,reviewed_by,v0_4_tier,v0_4_gamma_constraint_ready,v0_4_beta_reconstruction_status,v0_4_review_note
rdr250199#csvline10004,compendium,mol_3fd637a4d667fe51,"InChI=1S/C9H20/c1-3-5-7-9-8-6-4-2/h3-9H2,1-2H3",nonane,46.43998451332470,298.15,46439.98451332470000,electrical_energy_and_evaporated_mass_calorimetry,10.6028/jres.039.031,"[""1947OSB/GIN""]",DOI 10.6028/jres.039.031; p.466; Table 1; n-Nonane,,author_estimated_relative_accuracy_no_confidence_probability,,,,nominal_historical_scale_temperature,liquid_to_real_vapor_at_saturation,True,False,True,True,True,False,hold_published_enthalpy_sensitivity_only_beta_not_reproduced,Direct gamma retained as a coupled physics constraint; published L excluded from the strict label pool because it subtracts pressure-derived beta and the archival audit yields seven printed-precision mismatches plus two surrogate slope lineages.,False,False,True,,[],train,grp_5dea7427c65d07c7,archival_ancillary_verification_v0_4,2026-09-18,46.4,298,,quarantine_compendium_provenance,hold_full_text_not_obtained,1947OSB/GIN,https://nistdigitalarchives.contentdm.oclc.org/digital/api/collection/p16009coll6/id/118316/download,primary_table_verified_ancillary_audit_complete_sensitivity_only,1947OSB/GIN,n-Nonane,362.02,,US_international_J/g,0.128280162735,25.0,298.15,466,1,NBS electrical fluid calorimeter,CCCCCCCCC,,Historical pressure-slope beta correction. Not pressure-curve-free. Source estimates error unlikely above 0.1 percent; this is not a standard uncertainty. ,True,True,3,3,"Historical International Temperature Scale; 298.15 K is nominal conversion of reported 25 C, not a conversion to ITS-90.",current_work_calorimetry_with_pressure_slope_correction,,,"Original refs.14 (API Project 44 tables) and 15 (International Critical Tables vol.3, 1928); per-compound source entries and upstream pressure measurement lineage unverified.",Source applies small run-temperature corrections to nominal 25 C; individual correction magnitudes are not separately listed (p.465). No new thermal extrapolation applied here.,,362.04,0.02,0.001,1.000165,0dcceb5865b44de7cb6fb02e5d0f23d1257e63106d1f135400095c1340abd288,128.259,,,0.04643998451332470,True,True,measurement,False,False,True,True,False; archival correction sources have no DOI overlap with the frozen pressure records,3,cal_4e67ee25e76879e7fe85,OpenAI Codex; no independent human sign-off,sensitivity_L_plus_gamma_physics_constraint,True,numerically_reproduced_with_surrogate_slope_source,Published L is sensitivity-only; measured gamma is not a direct H label.
rdr250199#csvline11064,compendium,mol_a3ab0bd2d4d80422,"InChI=1S/C10H22/c1-3-5-7-9-10-8-6-4-2/h3-10H2,1-2H3",decane,51.3680288865024,298.15,51368.0288865024000,electrical_energy_and_evaporated_mass_calorimetry,10.6028/jres.039.031,"[""1947OSB/GIN""]",DOI 10.6028/jres.039.031; p.466; Table 1; n-Decane,,author_estimated_relative_accuracy_no_confidence_probability,,,,nominal_historical_scale_temperature,liquid_to_real_vapor_at_saturation,True,False,True,True,True,True,hold_published_enthalpy_sensitivity_only_beta_not_reproduced,Direct gamma retained as a coupled physics constraint; published L excluded from the strict label pool because it subtracts pressure-derived beta and the archival audit yields seven printed-precision mismatches plus two surrogate slope lineages.,False,False,True,,[],train,grp_5dea7427c65d07c7,archival_ancillary_verification_v0_4,2026-09-18,51.4,298,,quarantine_compendium_provenance,hold_full_text_not_obtained,1947OSB/GIN,https://nistdigitalarchives.contentdm.oclc.org/digital/api/collection/p16009coll6/id/118316/download,primary_table_verified_ancillary_audit_complete_sensitivity_only,1947OSB/GIN,n-Decane,360.96,,US_international_J/g,0.14230947719,25.0,298.15,466,1,NBS electrical fluid calorimeter,CCCCCCCCCC,,Historical pressure-slope beta correction. Not pressure-curve-free. Source estimates error unlikely above 0.1 percent; this is not a standard uncertainty. ,True,True,3,3,"Historical International Temperature Scale; 298.15 K is nominal conversion of reported 25 C, not a conversion to ITS-90.",current_work_calorimetry_with_pressure_slope_correction,,,"Original refs.14 (API Project 44 tables) and 15 (International Critical Tables vol.3, 1928); per-compound source entries and upstream pressure measurement lineage unverified.",Source applies small run-temperature corrections to nominal 25 C; individual correction magnitudes are not separately listed (p.465). No new thermal extrapolation applied here.,,360.97,0.01,0.001,1.000165,0dcceb5865b44de7cb6fb02e5d0f23d1257e63106d1f135400095c1340abd288,142.286,,,0.0513680288865024,True,True,measurement,False,False,True,True,False; archival correction sources have no DOI overlap with the frozen pressure records,3,cal_70f99f7c97b590928d60,OpenAI Codex; no independent human sign-off,sensitivity_L_plus_gamma_physics_constraint,True,numerically_reproduced_with_surrogate_slope_source,Published L is sensitivity-only; measured gamma is not a direct H label.
rdr250199#csvline5075,compendium,mol_b1820f534fb61402,InChI=1S/C6H6/c1-2-4-6-5-3-1/h1-6H,benzene,33.8500371147087,298.15,33850.0371147087000,electrical_energy_and_evaporated_mass_calorimetry,10.6028/jres.039.031,"[""1947OSB/GIN""]",DOI 10.6028/jres.039.031; p.468; Table 1; Benzene,,author_estimated_relative_accuracy_no_confidence_probability,,,,nominal_historical_scale_temperature,liquid_to_real_vapor_at_saturation,True,False,True,True,True,True,hold_published_enthalpy_sensitivity_only_beta_not_reproduced,Direct gamma retained as a coupled physics constraint; published L excluded from the strict label pool because it subtracts pressure-derived beta and the archival audit yields seven printed-precision mismatches plus two surrogate slope lineages.,False,False,True,,[],train,grp_5dea7427c65d07c7,archival_ancillary_verification_v0_4,2026-09-18,33.8,298,,quarantine_compendium_provenance,hold_full_text_not_obtained,1947OSB/GIN,https://nistdigitalarchives.contentdm.oclc.org/digital/api/collection/p16009coll6/id/118316/download,primary_table_verified_ancillary_audit_complete_sensitivity_only,1947OSB/GIN,Benzene,433.27,,US_international_J/g,0.07812688881,25.0,298.15,468,1,NBS electrical fluid calorimeter,c1ccccc1,,Historical pressure-slope beta correction. Not pressure-curve-free. Source estimates error unlikely above 0.1 percent; this is not a standard uncertainty. ,True,True,3,3,"Historical International Temperature Scale; 298.15 K is nominal conversion of reported 25 C, not a conversion to ITS-90.",current_work_calorimetry_with_pressure_slope_correction,,,"Original refs.14 (API Project 44 tables) and 15 (International Critical Tables vol.3, 1928); per-compound source entries and upstream pressure measurement lineage unverified.",Source applies small run-temperature corrections to nominal 25 C; individual correction magnitudes are not separately listed (p.465). No new thermal extrapolation applied here.,,433.47,0.20,0.001,1.000165,0dcceb5865b44de7cb6fb02e5d0f23d1257e63106d1f135400095c1340abd288,78.114,,,0.0338500371147087,True,True,measurement,False,False,True,True,False; archival correction sources have no DOI overlap with the frozen pressure records,3,cal_1caac6457c67342d83ba,OpenAI Codex; no independent human sign-off,sensitivity_L_plus_gamma_physics_constraint,True,reproduced_at_printed_precision,Published L is sensitivity-only; measured gamma is not a direct H label.
rdr250199#csvline5568,compendium,mol_e983a25bd52a944d,InChI=1S/C6H12/c1-2-4-6-5-3-1/h1-6H2,cyclohexane,33.0373520237904,298.15,33037.3520237904000,electrical_energy_and_evaporated_mass_calorimetry,10.6028/jres.039.031,"[""1947OSB/GIN""]",DOI 10.6028/jres.039.031; p.467; Table 1; Cyclohexane,,author_estimated_relative_accuracy_no_confidence_probability,,,,nominal_historical_scale_temperature,liquid_to_real_vapor_at_saturation,True,False,True,True,True,True,hold_published_enthalpy_sensitivity_only_beta_not_reproduced,Direct gamma retained as a coupled physics constraint; published L excluded from the strict label pool because it subtracts pressure-derived beta and the archival audit yields seven printed-precision mismatches plus two surrogate slope lineages.,False,False,True,,[],train,grp_5dea7427c65d07c7,archival_ancillary_verification_v0_4,2026-09-18,33,298,,quarantine_compendium_provenance,hold_full_text_not_obtained,1947OSB/GIN,https://nistdigitalarchives.contentdm.oclc.org/digital/api/collection/p16009coll6/id/118316/download,primary_table_verified_ancillary_audit_complete_sensitivity_only,1947OSB/GIN,Cyclohexane,392.48,,US_international_J/g,0.08417588673,25.0,298.15,467,1,NBS electrical fluid calorimeter,C1CCCCC1,,Historical pressure-slope beta correction. Not pressure-curve-free. Source estimates error unlikely above 0.1 percent; this is not a standard uncertainty. ,True,True,3,3,"Historical International Temperature Scale; 298.15 K is nominal conversion of reported 25 C, not a conversion to ITS-90.",current_work_calorimetry_with_pressure_slope_correction,,,"Original refs.14 (API Project 44 tables) and 15 (International Critical Tables vol.3, 1928); per-compound source entries and upstream pressure measurement lineage unverified.",Source applies small run-temperature corrections to nominal 25 C; individual correction magnitudes are not separately listed (p.465). No new thermal extrapolation applied here.,,392.72,0.24,0.001,1.000165,0dcceb5865b44de7cb6fb02e5d0f23d1257e63106d1f135400095c1340abd288,84.162,,,0.0330373520237904,True,True,measurement,False,False,True,True,False; archival correction sources have no DOI overlap with the frozen pressure records,3,cal_664e8fbd9ee46230a704,OpenAI Codex; no independent human sign-off,sensitivity_L_plus_gamma_physics_constraint,True,not_reproduced_at_printed_precision,Published L is sensitivity-only; measured gamma is not a direct H label.
rdr250199#csvline6038,compendium,mol_2ea49b3823ebd7ad,"InChI=1S/C6H14/c1-3-5-6-4-2/h3-6H2,1-2H3",hexane,31.5506619003885,298.15,31550.6619003885000,electrical_energy_and_evaporated_mass_calorimetry,10.6028/jres.039.031,"[""1947OSB/GIN""]",DOI 10.6028/jres.039.031; p.466; Table 1; n-Hexane,,author_estimated_relative_accuracy_no_confidence_probability,,,,nominal_historical_scale_temperature,liquid_to_real_vapor_at_saturation,True,False,True,True,True,True,hold_published_enthalpy_sensitivity_only_beta_not_reproduced,Direct gamma retained as a coupled physics constraint; published L excluded from the strict label pool because it subtracts pressure-derived beta and the archival audit yields seven printed-precision mismatches plus two surrogate slope lineages.,False,False,True,,[],train,grp_5dea7427c65d07c7,archival_ancillary_verification_v0_4,2026-09-18,31.5,298,0.1,quarantine_compendium_provenance,hold_full_text_not_obtained,1947OSB/GIN,https://nistdigitalarchives.contentdm.oclc.org/digital/api/collection/p16009coll6/id/118316/download,primary_table_verified_ancillary_audit_complete_sensitivity_only,1947OSB/GIN,n-Hexane,366.05,,US_international_J/g,0.08619221937,25.0,298.15,466,1,NBS electrical fluid calorimeter,CCCCCC,,Historical pressure-slope beta correction. Not pressure-curve-free. Source estimates error unlikely above 0.1 percent; this is not a standard uncertainty. ,True,True,4,4,"Historical International Temperature Scale; 298.15 K is nominal conversion of reported 25 C, not a conversion to ITS-90.",current_work_calorimetry_with_pressure_slope_correction,,,"Original refs.14 (API Project 44 tables) and 15 (International Critical Tables vol.3, 1928); per-compound source entries and upstream pressure measurement lineage unverified.",Source applies small run-temperature corrections to nominal 25 C; individual correction magnitudes are not separately listed (p.465). No new thermal extrapolation applied here.,,366.44,0.39,0.001,1.000165,0dcceb5865b44de7cb6fb02e5d0f23d1257e63106d1f135400095c1340abd288,86.178,,,0.0315506619003885,True,True,measurement,False,False,True,True,False; archival correction sources have no DOI overlap with the frozen pressure records,4,cal_793a9d0c3228790e41db,OpenAI Codex; no independent human sign-off,sensitivity_L_plus_gamma_physics_constraint,True,not_reproduced_at_printed_precision,Published L is sensitivity-only; measured gamma is not a direct H label.
rdr250199#csvline6924,compendium,mol_b44b37c017007981,"InChI=1S/C7H8/c1-7-5-3-2-4-6-7/h2-6H,1H3",toluene,37.99231635802890,298.15,37992.31635802890000,electrical_energy_and_evaporated_mass_calorimetry,10.6028/jres.039.031,"[""1947OSB/GIN""]",DOI 10.6028/jres.039.031; p.468; Table 1; Toluene,,author_estimated_relative_accuracy_no_confidence_probability,,,,nominal_historical_scale_temperature,liquid_to_real_vapor_at_saturation,True,False,True,True,True,True,hold_published_enthalpy_sensitivity_only_beta_not_reproduced,Direct gamma retained as a coupled physics constraint; published L excluded from the strict label pool because it subtracts pressure-derived beta and the archival audit yields seven printed-precision mismatches plus two surrogate slope lineages.,False,False,True,,[],train,grp_5dea7427c65d07c7,archival_ancillary_verification_v0_4,2026-09-18,38,298,,quarantine_compendium_provenance,hold_full_text_not_obtained,1947OSB/GIN,https://nistdigitalarchives.contentdm.oclc.org/digital/api/collection/p16009coll6/id/118316/download,primary_table_verified_ancillary_audit_complete_sensitivity_only,1947OSB/GIN,Toluene,412.26,,US_international_J/g,0.092156203265,25.0,298.15,468,1,NBS electrical fluid calorimeter,Cc1ccccc1,,Historical pressure-slope beta correction. Not pressure-curve-free. Source estimates error unlikely above 0.1 percent; this is not a standard uncertainty. ,True,True,3,3,"Historical International Temperature Scale; 298.15 K is nominal conversion of reported 25 C, not a conversion to ITS-90.",current_work_calorimetry_with_pressure_slope_correction,,,"Original refs.14 (API Project 44 tables) and 15 (International Critical Tables vol.3, 1928); per-compound source entries and upstream pressure measurement lineage unverified.",Source applies small run-temperature corrections to nominal 25 C; individual correction magnitudes are not separately listed (p.465). No new thermal extrapolation applied here.,,412.41,0.15,0.001,1.000165,0dcceb5865b44de7cb6fb02e5d0f23d1257e63106d1f135400095c1340abd288,92.141,,,0.03799231635802890,True,True,measurement,False,False,True,True,False; archival correction sources have no DOI overlap with the frozen pressure records,3,cal_ca767add63bd762a7d1c,OpenAI Codex; no independent human sign-off,sensitivity_L_plus_gamma_physics_constraint,True,not_reproduced_at_printed_precision,Published L is sensitivity-only; measured gamma is not a direct H label.
rdr250199#csvline8244,compendium,mol_af4829eb52c939fe,"InChI=1S/C8H10/c1-7-5-3-4-6-8(7)2/h3-6H,1-2H3","1,2-dimethylbenzene",43.4373097337204,298.15,43437.3097337204000,electrical_energy_and_evaporated_mass_calorimetry,10.6028/jres.039.031,"[""1947OSB/GIN""]",DOI 10.6028/jres.039.031; p.468; Table 1; o-Xylene,,author_estimated_relative_accuracy_no_confidence_probability,,,,nominal_historical_scale_temperature,liquid_to_real_vapor_at_saturation,True,False,True,True,True,False,hold_published_enthalpy_sensitivity_only_beta_not_reproduced,Direct gamma retained as a coupled physics constraint; published L excluded from the strict label pool because it subtracts pressure-derived beta and the archival audit yields seven printed-precision mismatches plus two surrogate slope lineages.,False,False,True,,[],train,grp_5dea7427c65d07c7,archival_ancillary_verification_v0_4,2026-09-18,43.4,298,0.1,quarantine_compendium_provenance,hold_full_text_not_obtained,1947OSB/GIN,https://nistdigitalarchives.contentdm.oclc.org/digital/api/collection/p16009coll6/id/118316/download,primary_table_verified_ancillary_audit_complete_sensitivity_only,1947OSB/GIN,o-Xylene,409.07,,US_international_J/g,0.10618551772,25.0,298.15,468,1,NBS electrical fluid calorimeter,Cc1ccccc1C,,Historical pressure-slope beta correction. Not pressure-curve-free. Source estimates error unlikely above 0.1 percent; this is not a standard uncertainty. ,True,True,3,3,"Historical International Temperature Scale; 298.15 K is nominal conversion of reported 25 C, not a conversion to ITS-90.",current_work_calorimetry_with_pressure_slope_correction,,,"Original refs.14 (API Project 44 tables) and 15 (International Critical Tables vol.3, 1928); per-compound source entries and upstream pressure measurement lineage unverified.",Source applies small run-temperature corrections to nominal 25 C; individual correction magnitudes are not separately listed (p.465). No new thermal extrapolation applied here.,,409.10,0.03,0.001,1.000165,0dcceb5865b44de7cb6fb02e5d0f23d1257e63106d1f135400095c1340abd288,106.168,,,0.0434373097337204,True,True,measurement,False,False,True,True,False; archival correction sources have no DOI overlap with the frozen pressure records,3,cal_239d8458fdebfa58b715,OpenAI Codex; no independent human sign-off,sensitivity_L_plus_gamma_physics_constraint,True,not_reproduced_at_printed_precision,Published L is sensitivity-only; measured gamma is not a direct H label.
rdr250199#csvline8257,compendium,mol_d40206d67276aa8c,"InChI=1S/C8H10/c1-7-4-3-5-8(2)6-7/h3-6H,1-2H3","1,3-dimethylbenzene",42.6600317440100,298.15,42660.0317440100000,electrical_energy_and_evaporated_mass_calorimetry,10.6028/jres.039.031,"[""1947OSB/GIN""]",DOI 10.6028/jres.039.031; p.468; Table 1; m-Xylene,,author_estimated_relative_accuracy_no_confidence_probability,,,,nominal_historical_scale_temperature,liquid_to_real_vapor_at_saturation,True,False,True,True,True,True,hold_published_enthalpy_sensitivity_only_beta_not_reproduced,Direct gamma retained as a coupled physics constraint; published L excluded from the strict label pool because it subtracts pressure-derived beta and the archival audit yields seven printed-precision mismatches plus two surrogate slope lineages.,False,False,True,,[],train,grp_5dea7427c65d07c7,archival_ancillary_verification_v0_4,2026-09-18,42.7,298,0.1,quarantine_compendium_provenance,hold_full_text_not_obtained,1947OSB/GIN,https://nistdigitalarchives.contentdm.oclc.org/digital/api/collection/p16009coll6/id/118316/download,primary_table_verified_ancillary_audit_complete_sensitivity_only,1947OSB/GIN,m-Xylene,401.75,,US_international_J/g,0.10618551772,25.0,298.15,468,1,NBS electrical fluid calorimeter,Cc1cccc(C)c1,,Historical pressure-slope beta correction. Not pressure-curve-free. Source estimates error unlikely above 0.1 percent; this is not a standard uncertainty. ,True,True,3,3,"Historical International Temperature Scale; 298.15 K is nominal conversion of reported 25 C, not a conversion to ITS-90.",current_work_calorimetry_with_pressure_slope_correction,,,"Original refs.14 (API Project 44 tables) and 15 (International Critical Tables vol.3, 1928); per-compound source entries and upstream pressure measurement lineage unverified.",Source applies small run-temperature corrections to nominal 25 C; individual correction magnitudes are not separately listed (p.465). No new thermal extrapolation applied here.,,401.77,0.02,0.001,1.000165,0dcceb5865b44de7cb6fb02e5d0f23d1257e63106d1f135400095c1340abd288,106.168,,,0.0426600317440100,True,True,measurement,False,False,True,True,False; archival correction sources have no DOI overlap with the frozen pressure records,3,cal_f41927ec8c2c6bf3ec6a,OpenAI Codex; no independent human sign-off,sensitivity_L_plus_gamma_physics_constraint,True,reproduced_at_printed_precision,Published L is sensitivity-only; measured gamma is not a direct H label.
rdr250199#csvline8284,compendium,mol_eb0e7cd1593e34a5,"InChI=1S/C8H10/c1-7-3-5-8(2)6-4-7/h3-6H,1-2H3","1,4-dimethylbenzene",42.3797019772292,298.15,42379.7019772292000,electrical_energy_and_evaporated_mass_calorimetry,10.6028/jres.039.031,"[""1947OSB/GIN""]",DOI 10.6028/jres.039.031; p.469; Table 1; p-Xylene,,author_estimated_relative_accuracy_no_confidence_probability,,,,nominal_historical_scale_temperature,liquid_to_real_vapor_at_saturation,True,False,True,True,True,False,hold_published_enthalpy_sensitivity_only_beta_not_reproduced,Direct gamma retained as a coupled physics constraint; published L excluded from the strict label pool because it subtracts pressure-derived beta and the archival audit yields seven printed-precision mismatches plus two surrogate slope lineages.,False,False,True,,[],train,grp_5dea7427c65d07c7,archival_ancillary_verification_v0_4,2026-09-18,42.4,298,0.1,quarantine_compendium_provenance,hold_full_text_not_obtained,1947OSB/GIN,https://nistdigitalarchives.contentdm.oclc.org/digital/api/collection/p16009coll6/id/118316/download,primary_table_verified_ancillary_audit_complete_sensitivity_only,1947OSB/GIN,p-Xylene,399.11,,US_international_J/g,0.10618551772,25.0,298.15,469,1,NBS electrical fluid calorimeter,Cc1ccc(C)cc1,,Historical pressure-slope beta correction. Not pressure-curve-free. Source estimates error unlikely above 0.1 percent; this is not a standard uncertainty. ,True,True,3,3,"Historical International Temperature Scale; 298.15 K is nominal conversion of reported 25 C, not a conversion to ITS-90.",current_work_calorimetry_with_pressure_slope_correction,,,"Original refs.14 (API Project 44 tables) and 15 (International Critical Tables vol.3, 1928); per-compound source entries and upstream pressure measurement lineage unverified.",Source applies small run-temperature corrections to nominal 25 C; individual correction magnitudes are not separately listed (p.465). No new thermal extrapolation applied here.,,399.14,0.03,0.001,1.000165,0dcceb5865b44de7cb6fb02e5d0f23d1257e63106d1f135400095c1340abd288,106.168,,,0.0423797019772292,True,True,measurement,False,False,True,True,False; archival correction sources have no DOI overlap with the frozen pressure records,3,cal_25667773b6c685a63c70,OpenAI Codex; no independent human sign-off,sensitivity_L_plus_gamma_physics_constraint,True,not_reproduced_at_printed_precision,Published L is sensitivity-only; measured gamma is not a direct H label.
rdr250199#csvline8303,compendium,mol_b94bab3d5b62c755,"InChI=1S/C8H10/c1-2-8-6-4-3-5-7-8/h3-7H,2H2,1H3",ethylbenzene,42.2501556456108,298.15,42250.1556456108000,electrical_energy_and_evaporated_mass_calorimetry,10.6028/jres.039.031,"[""1947OSB/GIN""]",DOI 10.6028/jres.039.031; p.469; Table 1; Ethylbenzene (pure),,author_estimated_relative_accuracy_no_confidence_probability,,,,nominal_historical_scale_temperature,liquid_to_real_vapor_at_saturation,True,False,True,True,True,False,hold_published_enthalpy_sensitivity_only_beta_not_reproduced,Direct gamma retained as a coupled physics constraint; published L excluded from the strict label pool because it subtracts pressure-derived beta and the archival audit yields seven printed-precision mismatches plus two surrogate slope lineages.,False,False,True,,[],train,grp_5dea7427c65d07c7,archival_ancillary_verification_v0_4,2026-09-18,42.2,298,0.1,quarantine_compendium_provenance,hold_full_text_not_obtained,1947OSB/GIN,https://nistdigitalarchives.contentdm.oclc.org/digital/api/collection/p16009coll6/id/118316/download,primary_table_verified_ancillary_audit_complete_sensitivity_only,1947OSB/GIN,Ethylbenzene (pure),397.89,,US_international_J/g,0.10618551772,25.0,298.15,469,1,NBS electrical fluid calorimeter,CCc1ccccc1,,Historical pressure-slope beta correction. Not pressure-curve-free. Source estimates error unlikely above 0.1 percent; this is not a standard uncertainty. Use pure series; impure series is a different sample.,True,True,2,2,"Historical International Temperature Scale; 298.15 K is nominal conversion of reported 25 C, not a conversion to ITS-90.",current_work_calorimetry_with_pressure_slope_correction,,,"Original refs.14 (API Project 44 tables) and 15 (International Critical Tables vol.3, 1928); per-compound source entries and upstream pressure measurement lineage unverified.",Source applies small run-temperature corrections to nominal 25 C; individual correction magnitudes are not separately listed (p.465). No new thermal extrapolation applied here.,,397.94,0.05,0.001,1.000165,0dcceb5865b44de7cb6fb02e5d0f23d1257e63106d1f135400095c1340abd288,106.168,,,0.0422501556456108,True,True,measurement,False,False,True,True,False; archival correction sources have no DOI overlap with the frozen pressure records,2,cal_643c893ffabbb027aa9d,OpenAI Codex; no independent human sign-off,sensitivity_L_plus_gamma_physics_constraint,True,not_reproduced_at_printed_precision,Published L is sensitivity-only; measured gamma is not a direct H label.
