record_id,molecule_id,inchi,name,primary_name,split,component_id,T_K,T_K_historical_absolute,published_gamma_int_J_g,published_beta_int_J_g,published_L_int_J_g,published_L_abs_kJ_mol,source_doi,source_locator,beta_reconstruction_status,archival_lineage_complete,label_tier,use_for_primary_training,use_for_validation,use_for_test,use_for_sensitivity_analysis,do_not_mix_with_primary_labels,exclusion_basis
rdr250199#csvline10004,mol_3fd637a4d667fe51,"InChI=1S/C9H20/c1-3-5-7-9-8-6-4-2/h3-9H2,1-2H3",nonane,n-Nonane,train,grp_5dea7427c65d07c7,298.15,298.16,362.04,0.02,362.02,46.4399845133247,10.6028/jres.039.031,DOI 10.6028/jres.039.031; p.466; Table 1; n-Nonane,numerically_reproduced_with_surrogate_slope_source,False,sensitivity_only_published_L,False,False,False,True,True,Published L subtracts a pressure-derived beta; the 14-row audit has incomplete exact lineage for two slopes and seven printed-precision mismatches.
rdr250199#csvline11064,mol_a3ab0bd2d4d80422,"InChI=1S/C10H22/c1-3-5-7-9-10-8-6-4-2/h3-10H2,1-2H3",decane,n-Decane,train,grp_5dea7427c65d07c7,298.15,298.16,360.97,0.01,360.96,51.3680288865024,10.6028/jres.039.031,DOI 10.6028/jres.039.031; p.466; Table 1; n-Decane,numerically_reproduced_with_surrogate_slope_source,False,sensitivity_only_published_L,False,False,False,True,True,Published L subtracts a pressure-derived beta; the 14-row audit has incomplete exact lineage for two slopes and seven printed-precision mismatches.
rdr250199#csvline5075,mol_b1820f534fb61402,InChI=1S/C6H6/c1-2-4-6-5-3-1/h1-6H,benzene,Benzene,train,grp_5dea7427c65d07c7,298.15,298.16,433.47,0.2,433.27,33.8500371147087,10.6028/jres.039.031,DOI 10.6028/jres.039.031; p.468; Table 1; Benzene,reproduced_at_printed_precision,True,sensitivity_only_published_L,False,False,False,True,True,Published L subtracts a pressure-derived beta; the 14-row audit has incomplete exact lineage for two slopes and seven printed-precision mismatches.
rdr250199#csvline5568,mol_e983a25bd52a944d,InChI=1S/C6H12/c1-2-4-6-5-3-1/h1-6H2,cyclohexane,Cyclohexane,train,grp_5dea7427c65d07c7,298.15,298.16,392.72,0.24,392.48,33.0373520237904,10.6028/jres.039.031,DOI 10.6028/jres.039.031; p.467; Table 1; Cyclohexane,not_reproduced_at_printed_precision,True,sensitivity_only_published_L,False,False,False,True,True,Published L subtracts a pressure-derived beta; the 14-row audit has incomplete exact lineage for two slopes and seven printed-precision mismatches.
rdr250199#csvline6038,mol_2ea49b3823ebd7ad,"InChI=1S/C6H14/c1-3-5-6-4-2/h3-6H2,1-2H3",hexane,n-Hexane,train,grp_5dea7427c65d07c7,298.15,298.16,366.44,0.39,366.05,31.5506619003885,10.6028/jres.039.031,DOI 10.6028/jres.039.031; p.466; Table 1; n-Hexane,not_reproduced_at_printed_precision,True,sensitivity_only_published_L,False,False,False,True,True,Published L subtracts a pressure-derived beta; the 14-row audit has incomplete exact lineage for two slopes and seven printed-precision mismatches.
rdr250199#csvline6924,mol_b44b37c017007981,"InChI=1S/C7H8/c1-7-5-3-2-4-6-7/h2-6H,1H3",toluene,Toluene,train,grp_5dea7427c65d07c7,298.15,298.16,412.41,0.15,412.26,37.9923163580289,10.6028/jres.039.031,DOI 10.6028/jres.039.031; p.468; Table 1; Toluene,not_reproduced_at_printed_precision,True,sensitivity_only_published_L,False,False,False,True,True,Published L subtracts a pressure-derived beta; the 14-row audit has incomplete exact lineage for two slopes and seven printed-precision mismatches.
rdr250199#csvline8244,mol_af4829eb52c939fe,"InChI=1S/C8H10/c1-7-5-3-4-6-8(7)2/h3-6H,1-2H3","1,2-dimethylbenzene",o-Xylene,train,grp_5dea7427c65d07c7,298.15,298.16,409.1,0.03,409.07,43.4373097337204,10.6028/jres.039.031,DOI 10.6028/jres.039.031; p.468; Table 1; o-Xylene,not_reproduced_at_printed_precision,True,sensitivity_only_published_L,False,False,False,True,True,Published L subtracts a pressure-derived beta; the 14-row audit has incomplete exact lineage for two slopes and seven printed-precision mismatches.
rdr250199#csvline8257,mol_d40206d67276aa8c,"InChI=1S/C8H10/c1-7-4-3-5-8(2)6-7/h3-6H,1-2H3","1,3-dimethylbenzene",m-Xylene,train,grp_5dea7427c65d07c7,298.15,298.16,401.77,0.02,401.75,42.66003174401,10.6028/jres.039.031,DOI 10.6028/jres.039.031; p.468; Table 1; m-Xylene,reproduced_at_printed_precision,True,sensitivity_only_published_L,False,False,False,True,True,Published L subtracts a pressure-derived beta; the 14-row audit has incomplete exact lineage for two slopes and seven printed-precision mismatches.
rdr250199#csvline8284,mol_eb0e7cd1593e34a5,"InChI=1S/C8H10/c1-7-3-5-8(2)6-4-7/h3-6H,1-2H3","1,4-dimethylbenzene",p-Xylene,train,grp_5dea7427c65d07c7,298.15,298.16,399.14,0.03,399.11,42.3797019772292,10.6028/jres.039.031,DOI 10.6028/jres.039.031; p.469; Table 1; p-Xylene,not_reproduced_at_printed_precision,True,sensitivity_only_published_L,False,False,False,True,True,Published L subtracts a pressure-derived beta; the 14-row audit has incomplete exact lineage for two slopes and seven printed-precision mismatches.
rdr250199#csvline8303,mol_b94bab3d5b62c755,"InChI=1S/C8H10/c1-2-8-6-4-3-5-7-8/h3-7H,2H2,1H3",ethylbenzene,Ethylbenzene (pure),train,grp_5dea7427c65d07c7,298.15,298.16,397.94,0.05,397.89,42.2501556456108,10.6028/jres.039.031,DOI 10.6028/jres.039.031; p.469; Table 1; Ethylbenzene (pure),not_reproduced_at_printed_precision,True,sensitivity_only_published_L,False,False,False,True,True,Published L subtracts a pressure-derived beta; the 14-row audit has incomplete exact lineage for two slopes and seven printed-precision mismatches.
rdr250199#csvline8700,mol_03247da988422eaf,"InChI=1S/C8H16/c1-2-8-6-4-3-5-7-8/h8H,2-7H2,1H3",ethylcyclohexane,Ethylcyclohexane,train,grp_5dea7427c65d07c7,298.15,298.16,360.68,0.05,360.63,40.4751333752532,10.6028/jres.039.031,DOI 10.6028/jres.039.031; p.467; Table 1; Ethylcyclohexane,not_reproduced_at_printed_precision,True,sensitivity_only_published_L,False,False,False,True,True,Published L subtracts a pressure-derived beta; the 14-row audit has incomplete exact lineage for two slopes and seven printed-precision mismatches.
rdr250199#csvline9038,mol_913f04ec4de50c29,"InChI=1S/C8H18/c1-3-5-7-8-6-4-2/h3-8H2,1-2H3",octane,n-Octane,train,grp_5dea7427c65d07c7,298.15,298.16,363.16,0.05,363.11,41.4856255189508,10.6028/jres.039.031,DOI 10.6028/jres.039.031; p.466; Table 1; n-Octane,reproduced_at_printed_precision,True,sensitivity_only_published_L,False,False,False,True,True,Published L subtracts a pressure-derived beta; the 14-row audit has incomplete exact lineage for two slopes and seven printed-precision mismatches.
rdr250199#csvline9070,mol_d395bc83f11503fd,"InChI=1S/C8H18/c1-7(2)6-8(3,4)5/h7H,6H2,1-5H3","2,2,4-trimethylpentane","2,2,4-Trimethylpentane",train,grp_5dea7427c65d07c7,298.15,298.16,307.62,0.14,307.48,35.1298508291344,10.6028/jres.039.031,"DOI 10.6028/jres.039.031; p.465; Table 1; 2,2,4-Trimethylpentane",reproduced_at_printed_precision,True,sensitivity_only_published_L,False,False,False,True,True,Published L subtracts a pressure-derived beta; the 14-row audit has incomplete exact lineage for two slopes and seven printed-precision mismatches.
rdr250199#csvline9607,mol_3147d9e632f76065,"InChI=1S/C9H12/c1-7-4-5-8(2)9(3)6-7/h4-6H,1-3H3","1,2,4-trimethylbenzene","1,2,4-Trimethylbenzene",train,grp_5dea7427c65d07c7,298.15,298.16,398.78,0.01,398.77,47.93806862642475,10.6028/jres.039.031,"DOI 10.6028/jres.039.031; p.469; Table 1; 1,2,4-Trimethylbenzene",reproduced_at_printed_precision,True,sensitivity_only_published_L,False,False,False,True,True,Published L subtracts a pressure-derived beta; the 14-row audit has incomplete exact lineage for two slopes and seven printed-precision mismatches.
