record_id,origin,molecule_id,inchi,name,H_kJ_mol,T_K,H_J_mol,method,source_doi,reference_codes_json,source_locator,reported_deviation,uncertainty_kind,uncertainty_confidence_percent,uncertainty_coverage_factor,experimental_temperature_range,temperature_status,thermodynamic_state,raw_row_verified,archive_XML_verified,full_primary_methods_verified,calorimetry_candidate,has_pressure_join,inside_pressure_temperature_envelope,decision,decision_reasons,independent_of_pressure_verified,training_allowed,corrected_298_field_excluded,duplicate_family,linked_record_ids_json,split,component_id,review_wave,review_date,original_H_kJ_mol,original_T_K,original_reported_deviation,original_decision,review_reference_code,primary_source_url,source_review_status,reference_code,primary_compound_name,primary_H,primary_deviation,primary_unit,unit_multiplier_to_kJ,primary_temperature_C,primary_temperature_K,primary_page,primary_table,calorimeter,structure_smiles_from_primary_name,systematic_error_bound_kJ_mol,quality_flags,table_image_visually_checked,primary_document_sha256,random_standard_error_kJ_mol,standard_error_multiplier,primary_numeric_table_verified,primary_identity_verified,measurement_or_reference_temperature,temperature_correction_applied,ideal_gas_state_conversion_applied,ancillary_apparatus_pressure_used,pressure_curve_used_to_derive_label,benchmark_pressure_used_for_label,minimum_replicates_in_reported_mean,measurement_lineage_id,reviewed_by
rdr250199#csvline1154,compendium,mol_b4b87befe28d84ce,"InChI=1S/C2H6O/c1-2-3/h3H,2H2,1H3",ethanol,42.300240,298.15,42300.240000,electrical_compensation_vaporization_calorimetry,10.3891/acta.chem.scand.20-0544,"[""1966WAD""]",DOI 10.3891/acta.chem.scand.20-0544; p.545; Table 1; Ethanol,0.083680,estimated_total_including_systematics_coverage_unspecified,,,,direct_measurement_temperature_restored_from_primary_source,liquid_to_real_vapor_at_saturation,True,False,True,True,True,True,approve_primary_calorimetry,primary_table_methods_identity_state_uncertainty_and_lineage_verified,True,True,True,,[],train,grp_5dea7427c65d07c7,priority_14,2026-09-17,42.3,298,0.1,quarantine_compendium_provenance,1966WAD,https://actachemscand.ki.ku.dk/pdf/acta_vol_20_p0544-0552.pdf,full_primary_review,1966WAD,Ethanol,10.11,0.02,kcal/mol_defined_calorie,4.1840,25.00,298.15,545,1,C,CCO,,,True,ff83a8bdaad3652c26c4b681614e9713a87e7cf6874b14cd223be1e1ef58eb2c,,,True,True,measurement,False,False,True,False,False,5,cal_771372caacf6848096cf,OpenAI Codex; no independent human sign-off
rdr250199#csvline1561,compendium,mol_25b76921742ed7fa,"InChI=1S/C3H5N/c1-2-3-4/h2H2,1H3",propionitrile,36.03,298.15,36030.00,electrical_compensation_vaporization_calorimetry,10.3891/acta.chem.scand.24-0145,"[""1970HOW/WAD""]","DOI 10.3891/acta.chem.scand.24-0145; p.146; Table 1; RCN, R=CH3CH2",0.02,twice_standard_error_of_mean_random_only,,,,direct_measurement_temperature_restored_from_primary_source,liquid_to_real_vapor_at_saturation,True,False,True,True,True,False,approve_primary_calorimetry,primary_table_methods_identity_state_uncertainty_and_lineage_verified,True,True,True,,[],train,grp_5dea7427c65d07c7,priority_14,2026-09-17,36,298,0.1,quarantine_compendium_provenance,1970HOW/WAD,https://actachemscand.ki.ku.dk/pdf/acta_vol_24_p0145-0149.pdf,full_primary_review,1970HOW/WAD,"RCN, R=CH3CH2",36.03,0.02,kJ/mol,1,25.00,298.15,146,1,C_improved,CCC#N,,,True,ec4a11c72a8feb401967f6babd8417132dd7e7c4f26dfe86db70399611bfcfe7,0.01,2,True,True,measurement,False,False,True,False,False,5,cal_9e623e06d401d35198cc,OpenAI Codex; no independent human sign-off
rdr250199#csvline1910,compendium,mol_2465ec339bda2cbb,"InChI=1S/C3H8O/c1-2-3-4/h4H,2-3H2,1H3",1-propanol,47.321040,298.15,47321.040000,electrical_compensation_vaporization_calorimetry,10.3891/acta.chem.scand.20-0544,"[""1966WAD""]",DOI 10.3891/acta.chem.scand.20-0544; p.545; Table 1; 1-Propanol,0.083680,estimated_total_including_systematics_coverage_unspecified,,,,direct_measurement_temperature_restored_from_primary_source,liquid_to_real_vapor_at_saturation,True,False,True,True,True,True,approve_primary_calorimetry,primary_table_methods_identity_state_uncertainty_and_lineage_verified,True,True,True,,[],train,grp_5dea7427c65d07c7,priority_14,2026-09-17,47.3,298,0.1,quarantine_compendium_provenance,1966WAD,https://actachemscand.ki.ku.dk/pdf/acta_vol_20_p0544-0552.pdf,full_primary_review,1966WAD,1-Propanol,11.31,0.02,kcal/mol_defined_calorie,4.1840,25.00,298.15,545,1,C,CCCO,,,True,ff83a8bdaad3652c26c4b681614e9713a87e7cf6874b14cd223be1e1ef58eb2c,,,True,True,measurement,False,False,True,False,False,5,cal_9f06d5eedb4c36812e69,OpenAI Codex; no independent human sign-off
rdr250199#csvline1943,compendium,mol_83a135e5c50b66c1,"InChI=1S/C3H8O/c1-3(2)4/h3-4H,1-2H3",2-propanol,45.229040,298.15,45229.040000,electrical_compensation_vaporization_calorimetry,10.3891/acta.chem.scand.20-0544,"[""1966WAD""]",DOI 10.3891/acta.chem.scand.20-0544; p.545; Table 1; 2-Propanol,0.125520,estimated_total_including_systematics_coverage_unspecified,,,,direct_measurement_temperature_restored_from_primary_source,liquid_to_real_vapor_at_saturation,True,False,True,True,True,True,approve_primary_calorimetry,primary_table_methods_identity_state_uncertainty_and_lineage_verified,True,True,True,,[],train,grp_5dea7427c65d07c7,priority_14,2026-09-17,45.2,298,0.1,quarantine_compendium_provenance,1966WAD,https://actachemscand.ki.ku.dk/pdf/acta_vol_20_p0544-0552.pdf,full_primary_review,1966WAD,2-Propanol,10.81,0.03,kcal/mol_defined_calorie,4.1840,25.00,298.15,545,1,C,CC(O)C,,,True,ff83a8bdaad3652c26c4b681614e9713a87e7cf6874b14cd223be1e1ef58eb2c,,,True,True,measurement,False,False,True,False,False,5,cal_cbea3f5b7541ad30e5be,OpenAI Codex; no independent human sign-off
rdr250199#csvline2098,compendium,mol_cdcd3722df880b7b,InChI=1S/C3H10N2/c4-2-1-3-5/h1-5H2,"1,3-diaminopropane",50.16,298.15,50160.00,electrical_compensation_vaporization_calorimetry,10.3891/acta.chem.scand.23-2061,"[""1969WAD""]","DOI 10.3891/acta.chem.scand.23-2061; p.2062; Table 1; 1,3-Diaminopropane",0.10,twice_standard_error_of_mean_random_only,,,,direct_measurement_temperature_restored_from_primary_source,liquid_to_real_vapor_at_saturation,True,False,True,True,True,True,approve_primary_calorimetry,primary_table_methods_identity_state_uncertainty_and_lineage_verified,True,True,True,,[],train,grp_5dea7427c65d07c7,priority_14,2026-09-17,50.2,298,0.1,quarantine_compendium_provenance,1969WAD,https://actachemscand.ki.ku.dk/pdf/acta_vol_23_p2061-2064.pdf,full_primary_review,1969WAD,"1,3-Diaminopropane",50.16,0.10,kJ/mol,1,25.00,298.15,2062,1,C_improved,NCCCN,,Water content not quantified by the source method.,True,f364f01785ef29c0170aa0eca30dda4c71f4c54e0a706535fc522154d7a0687a,0.05,2,True,True,measurement,False,False,True,False,False,5,cal_2a0892af3c77dbedb58a,OpenAI Codex; no independent human sign-off
rdr250199#csvline2774,compendium,mol_e55299b0f2600cdb,"InChI=1S/C4H8O2/c1-3-6-4(2)5/h3H2,1-2H3",ethyl acetate,35.145600,298.15,35145.600000,electrical_compensation_vaporization_calorimetry,10.3891/acta.chem.scand.20-0544,"[""1966WAD""]",DOI 10.3891/acta.chem.scand.20-0544; p.547; Table 3; Ethyl acetate,0.209200,estimated_total_including_systematics_coverage_unspecified,,,,direct_measurement_temperature_restored_from_primary_source,liquid_to_real_vapor_at_saturation,True,False,True,True,True,True,approve_primary_calorimetry,primary_table_methods_identity_state_uncertainty_and_lineage_verified,True,True,True,,[],train,grp_5dea7427c65d07c7,priority_14,2026-09-17,35.1,298,0.2,quarantine_compendium_provenance,1966WAD,https://actachemscand.ki.ku.dk/pdf/acta_vol_20_p0544-0552.pdf,full_primary_review,1966WAD,Ethyl acetate,8.40,0.05,kcal/mol_defined_calorie,4.1840,25.00,298.15,547,3,A,CCOC(=O)C,,,True,ff83a8bdaad3652c26c4b681614e9713a87e7cf6874b14cd223be1e1ef58eb2c,,,True,True,measurement,False,False,True,False,False,5,cal_5656d7b05a4d46f71d12,OpenAI Codex; no independent human sign-off
rdr250199#csvline2872,compendium,mol_6ea740b63f4d7f2b,"InChI=1S/C4H9Br/c1-2-3-4-5/h2-4H2,1H3",1-bromobutane,36.60,298.15,36600.00,electrical_compensation_vaporization_calorimetry,10.3891/acta.chem.scand.22-2438,"[""1968WAD""]","DOI 10.3891/acta.chem.scand.22-2438; p.2440; Table 1; Butyl, X=Br",0.10,twice_standard_error_of_mean_random_only,,,,direct_measurement_temperature_restored_from_primary_source,liquid_to_real_vapor_at_saturation,True,False,True,True,True,True,approve_primary_calorimetry,primary_table_methods_identity_state_uncertainty_and_lineage_verified,True,True,True,,[],train,grp_5dea7427c65d07c7,priority_14,2026-09-17,36.6,298,0.1,quarantine_compendium_provenance,1968WAD,https://actachemscand.ki.ku.dk/pdf/acta_vol_22_p2438-2444.pdf,full_primary_review,1968WAD,"Butyl, X=Br",36.60,0.10,kJ/mol,1,25.00,298.15,2440,1,C_improved,CCCCBr,0.08,Table 1 footnote b explicitly identifies new measurement; do not merge with 1966 measurement.,True,a3bf97f0ff50f22cb2939406f90a0bf6964e3af2a7fff3ae69bbeb537e73abb6,0.05,2,True,True,measurement,False,False,True,False,False,5,cal_7fdfb73bdc7c404fd384,OpenAI Codex; no independent human sign-off
rdr250199#csvline2873,compendium,mol_6ea740b63f4d7f2b,"InChI=1S/C4H9Br/c1-2-3-4-5/h2-4H2,1H3",1-bromobutane,36.651840,298.15,36651.840000,electrical_compensation_vaporization_calorimetry,10.3891/acta.chem.scand.20-0544,"[""1966WAD""]",DOI 10.3891/acta.chem.scand.20-0544; p.547; Table 3; 1-Bromobutane,0.125520,estimated_total_including_systematics_coverage_unspecified,,,,direct_measurement_temperature_restored_from_primary_source,liquid_to_real_vapor_at_saturation,True,False,True,True,True,True,approve_primary_calorimetry,primary_table_methods_identity_state_uncertainty_and_lineage_verified,True,True,True,,[],train,grp_5dea7427c65d07c7,priority_14,2026-09-17,36.7,298,0.1,quarantine_compendium_provenance,1966WAD,https://actachemscand.ki.ku.dk/pdf/acta_vol_20_p0544-0552.pdf,full_primary_review,1966WAD,1-Bromobutane,8.76,0.03,kcal/mol_defined_calorie,4.1840,25.00,298.15,547,3,C,CCCCBr,,,True,ff83a8bdaad3652c26c4b681614e9713a87e7cf6874b14cd223be1e1ef58eb2c,,,True,True,measurement,False,False,True,False,False,5,cal_03c71af6a22fa678946c,OpenAI Codex; no independent human sign-off
rdr250199#csvline2900,compendium,mol_d2d85289da26a082,"InChI=1S/C4H9Cl/c1-2-3-4-5/h2-4H2,1H3",1-chlorobutane,33.52,298.15,33520.00,electrical_compensation_vaporization_calorimetry,10.3891/acta.chem.scand.22-2438,"[""1968WAD""]","DOI 10.3891/acta.chem.scand.22-2438; p.2440; Table 1; Butyl, X=Cl",0.06,twice_standard_error_of_mean_random_only,,,,direct_measurement_temperature_restored_from_primary_source,liquid_to_real_vapor_at_saturation,True,False,True,True,True,True,approve_primary_calorimetry,primary_table_methods_identity_state_uncertainty_and_lineage_verified,True,True,True,,[],train,grp_5dea7427c65d07c7,priority_14,2026-09-17,33.5,298,0.1,quarantine_compendium_provenance,1968WAD,https://actachemscand.ki.ku.dk/pdf/acta_vol_22_p2438-2444.pdf,full_primary_review,1968WAD,"Butyl, X=Cl",33.52,0.06,kJ/mol,1,25.00,298.15,2440,1,C_improved,CCCCCl,0.08,,True,a3bf97f0ff50f22cb2939406f90a0bf6964e3af2a7fff3ae69bbeb537e73abb6,0.03,2,True,True,measurement,False,False,True,False,False,5,cal_d94497bfa2ca5e3a2cbe,OpenAI Codex; no independent human sign-off
rdr250199#csvline2914,compendium,mol_8411a1787a17bdb0,"InChI=1S/C4H9Cl/c1-4(2)3-5/h4H,3H2,1-2H3",1-chloro-2-methylpropane,31.67,298.15,31670.00,electrical_compensation_vaporization_calorimetry,10.3891/acta.chem.scand.22-2438,"[""1968WAD""]","DOI 10.3891/acta.chem.scand.22-2438; p.2440; Table 1; Isobutyl, X=Cl",0.06,twice_standard_error_of_mean_random_only,,,,direct_measurement_temperature_restored_from_primary_source,liquid_to_real_vapor_at_saturation,True,False,True,True,True,False,approve_primary_calorimetry,primary_table_methods_identity_state_uncertainty_and_lineage_verified,True,True,True,,[],train,grp_5dea7427c65d07c7,priority_14,2026-09-17,31.7,298,0.1,quarantine_compendium_provenance,1968WAD,https://actachemscand.ki.ku.dk/pdf/acta_vol_22_p2438-2444.pdf,full_primary_review,1968WAD,"Isobutyl, X=Cl",31.67,0.06,kJ/mol,1,25.00,298.15,2440,1,C_improved,CC(C)CCl,0.08,,True,a3bf97f0ff50f22cb2939406f90a0bf6964e3af2a7fff3ae69bbeb537e73abb6,0.03,2,True,True,measurement,False,False,True,False,False,5,cal_4de2fb078de3735b15ed,OpenAI Codex; no independent human sign-off
