record_id,molecule_id,inchi,name,component_id,split,series_id,source_doi,T_K,p_Pa,log10_p_over_1Pa,ln_p_over_1Pa,temperature_level_id,base_role,duplicate_group,duplicate_representative_id,is_duplicate_copy,method,property_phase,state_origin,original_property_value_metadata_json,state_metadata_json
10.1007/s10765-018-2361-8#d2#p1#r1,mol_83a135e5c50b66c1,"InChI=1S/C3H8O/c1-3(2)4/h3-4H,1-2H3",propan-2-ol,grp_5dea7427c65d07c7,train,10.1007/s10765-018-2361-8#d2#p1,10.1007/s10765-018-2361-8,297.9,6380,3.80482067872,8.76092337634,10.1007/s10765-018-2361-8#d2#p1#T0000,train_pressure,pdup_a28679202b3d3a28,10.1007/s10765-018-2361-8#d2#p1#r1,False,Closed cell (Static) method,Liquid,variable,"{""nPropDigits"":3,""nPropNumber"":1,""CombinedUncertainty"":{""nCombUncertAssessNum"":1,""nCombExpandUncertValue"":1},""nPropValue"":6.38}","{""nVarValue"":297.9,""nVarNumber"":1,""nVarDigits"":4}"
10.1007/s10765-018-2361-8#d2#p1#r2,mol_83a135e5c50b66c1,"InChI=1S/C3H8O/c1-3(2)4/h3-4H,1-2H3",propan-2-ol,grp_5dea7427c65d07c7,train,10.1007/s10765-018-2361-8#d2#p1,10.1007/s10765-018-2361-8,303.7,8930,3.95085145889,9.09717167387,10.1007/s10765-018-2361-8#d2#p1#T0001,train_pressure,pdup_33a0ee673525e19b,10.1007/s10765-018-2361-8#d2#p1#r2,False,Closed cell (Static) method,Liquid,variable,"{""nPropValue"":8.93,""CombinedUncertainty"":{""nCombUncertAssessNum"":1,""nCombExpandUncertValue"":1.01},""nPropDigits"":3,""nPropNumber"":1}","{""nVarDigits"":4,""nVarNumber"":1,""nVarValue"":303.7}"
10.1016/j.fluid.2004.02.021#d1#p1#r1,mol_69df6d03bf2d6749,InChI=1S/C2H2Cl4/c3-1(4)2(5)6/h1-2H,"1,1,2,2-tetrachloroethane",grp_5dea7427c65d07c7,train,10.1016/j.fluid.2004.02.021#d1#p1,10.1016/j.fluid.2004.02.021,283.15,263,2.41995574849,5.57215403218,10.1016/j.fluid.2004.02.021#d1#p1#T0000,train_pressure,pdup_1f2b3e9c15b0b580,10.1016/j.fluid.2004.02.021#d1#p1#r1,False,CCELL:UFactor:2,Liquid,variable,"{""nPropDigits"":3,""nPropNumber"":1,""nPropValue"":0.263,""CombinedUncertainty"":{""nCombUncertAssessNum"":1,""nCombExpandUncertValue"":0.008}}","{""nVarNumber"":1,""nVarDigits"":5,""nVarValue"":283.15}"
10.1016/j.fluid.2004.02.021#d1#p1#r2,mol_69df6d03bf2d6749,InChI=1S/C2H2Cl4/c3-1(4)2(5)6/h1-2H,"1,1,2,2-tetrachloroethane",grp_5dea7427c65d07c7,train,10.1016/j.fluid.2004.02.021#d1#p1,10.1016/j.fluid.2004.02.021,288.15,373,2.57170883181,5.92157841964,10.1016/j.fluid.2004.02.021#d1#p1#T0001,train_pressure,pdup_433fac6352e016ba,10.1016/j.fluid.2004.02.021#d1#p1#r2,False,CCELL:UFactor:2,Liquid,variable,"{""nPropNumber"":1,""nPropDigits"":3,""CombinedUncertainty"":{""nCombExpandUncertValue"":0.01,""nCombUncertAssessNum"":1},""nPropValue"":0.373}","{""nVarValue"":288.15,""nVarNumber"":1,""nVarDigits"":5}"
10.1016/j.fluid.2004.02.021#d1#p1#r3,mol_69df6d03bf2d6749,InChI=1S/C2H2Cl4/c3-1(4)2(5)6/h1-2H,"1,1,2,2-tetrachloroethane",grp_5dea7427c65d07c7,train,10.1016/j.fluid.2004.02.021#d1#p1,10.1016/j.fluid.2004.02.021,293.15,521,2.7168377233,6.25575004175,10.1016/j.fluid.2004.02.021#d1#p1#T0002,train_pressure,pdup_af52ba18b9bbc1b7,10.1016/j.fluid.2004.02.021#d1#p1#r3,False,CCELL:UFactor:2,Liquid,variable,"{""nPropValue"":0.521,""CombinedUncertainty"":{""nCombUncertAssessNum"":1,""nCombExpandUncertValue"":0.013},""nPropNumber"":1,""nPropDigits"":3}","{""nVarDigits"":5,""nVarNumber"":1,""nVarValue"":293.15}"
10.1016/j.fluid.2004.02.021#d1#p1#r4,mol_69df6d03bf2d6749,InChI=1S/C2H2Cl4/c3-1(4)2(5)6/h1-2H,"1,1,2,2-tetrachloroethane",grp_5dea7427c65d07c7,train,10.1016/j.fluid.2004.02.021#d1#p1,10.1016/j.fluid.2004.02.021,298.15,711,2.85186960073,6.5666724298,10.1016/j.fluid.2004.02.021#d1#p1#T0003,train_pressure,pdup_5fcf7ab8c8530f9a,10.1016/j.fluid.2004.02.021#d1#p1#r4,False,CCELL:UFactor:2,Liquid,variable,"{""nPropNumber"":1,""nPropDigits"":3,""nPropValue"":0.711,""CombinedUncertainty"":{""nCombExpandUncertValue"":0.017,""nCombUncertAssessNum"":1}}","{""nVarValue"":298.15,""nVarNumber"":1,""nVarDigits"":5}"
10.1016/j.fluid.2004.02.021#d1#p1#r5,mol_69df6d03bf2d6749,InChI=1S/C2H2Cl4/c3-1(4)2(5)6/h1-2H,"1,1,2,2-tetrachloroethane",grp_5dea7427c65d07c7,train,10.1016/j.fluid.2004.02.021#d1#p1,10.1016/j.fluid.2004.02.021,303.15,980,2.99122607569,6.88755257166,10.1016/j.fluid.2004.02.021#d1#p1#T0004,train_pressure,pdup_703136d3f3ef7642,10.1016/j.fluid.2004.02.021#d1#p1#r5,False,CCELL:UFactor:2,Liquid,variable,"{""nPropValue"":0.98,""CombinedUncertainty"":{""nCombExpandUncertValue"":0.022,""nCombUncertAssessNum"":1},""nPropDigits"":3,""nPropNumber"":1}","{""nVarDigits"":5,""nVarNumber"":1,""nVarValue"":303.15}"
10.1016/j.fluid.2004.02.021#d1#p1#r6,mol_69df6d03bf2d6749,InChI=1S/C2H2Cl4/c3-1(4)2(5)6/h1-2H,"1,1,2,2-tetrachloroethane",grp_5dea7427c65d07c7,train,10.1016/j.fluid.2004.02.021#d1#p1,10.1016/j.fluid.2004.02.021,308.15,1289,3.11025291735,7.16162200294,10.1016/j.fluid.2004.02.021#d1#p1#T0005,train_pressure,pdup_8604f27da2ccaaf4,10.1016/j.fluid.2004.02.021#d1#p1#r6,False,CCELL:UFactor:2,Liquid,variable,"{""nPropNumber"":1,""nPropDigits"":4,""nPropValue"":1.289,""CombinedUncertainty"":{""nCombExpandUncertValue"":0.028,""nCombUncertAssessNum"":1}}","{""nVarDigits"":5,""nVarNumber"":1,""nVarValue"":308.15}"
10.1016/j.fluid.2004.02.021#d1#p1#r7,mol_69df6d03bf2d6749,InChI=1S/C2H2Cl4/c3-1(4)2(5)6/h1-2H,"1,1,2,2-tetrachloroethane",grp_5dea7427c65d07c7,train,10.1016/j.fluid.2004.02.021#d1#p1,10.1016/j.fluid.2004.02.021,313.15,1701,3.23070431361,7.4389715924,10.1016/j.fluid.2004.02.021#d1#p1#T0006,train_pressure,pdup_11da2145d4bb6a06,10.1016/j.fluid.2004.02.021#d1#p1#r7,False,CCELL:UFactor:2,Liquid,variable,"{""nPropDigits"":4,""nPropNumber"":1,""CombinedUncertainty"":{""nCombUncertAssessNum"":1,""nCombExpandUncertValue"":0.027},""nPropValue"":1.701}","{""nVarValue"":313.15,""nVarDigits"":5,""nVarNumber"":1}"
10.1016/j.fluid.2004.02.021#d1#p1#r8,mol_69df6d03bf2d6749,InChI=1S/C2H2Cl4/c3-1(4)2(5)6/h1-2H,"1,1,2,2-tetrachloroethane",grp_5dea7427c65d07c7,train,10.1016/j.fluid.2004.02.021#d1#p1,10.1016/j.fluid.2004.02.021,318.15,2236,3.34947179921,7.71244383427,10.1016/j.fluid.2004.02.021#d1#p1#T0007,train_pressure,pdup_01f2f931ca1f080c,10.1016/j.fluid.2004.02.021#d1#p1#r8,False,CCELL:UFactor:2,Liquid,variable,"{""nPropValue"":2.236,""CombinedUncertainty"":{""nCombExpandUncertValue"":0.029,""nCombUncertAssessNum"":1},""nPropNumber"":1,""nPropDigits"":4}","{""nVarValue"":318.15,""nVarNumber"":1,""nVarDigits"":5}"
