reference_code,records,molecules,train_molecules,record_ids_json,review_status,required_evidence
1966WAD,18,18,18,"[""rdr250199#csvline1154"",""rdr250199#csvline1910"",""rdr250199#csvline1943"",""rdr250199#csvline2774"",""rdr250199#csvline2873"",""rdr250199#csvline3074"",""rdr250199#csvline3140"",""rdr250199#csvline3167"",""rdr250199#csvline3985"",""rdr250199#csvline408"",""rdr250199#csvline4088"",""rdr250199#csvline4130"",""rdr250199#csvline4413"",""rdr250199#csvline5829"",""rdr250199#csvline5846"",""rdr250199#csvline5854"",""rdr250199#csvline6197"",""rdr250199#csvline7534""]",required_before_promotion,primary table and methods; measurement vs reference T; phase and state; uncertainty convention; pressure-independent lineage and corrections
1947OSB/GIN,14,14,14,"[""rdr250199#csvline10004"",""rdr250199#csvline11064"",""rdr250199#csvline5075"",""rdr250199#csvline5568"",""rdr250199#csvline6038"",""rdr250199#csvline6924"",""rdr250199#csvline8244"",""rdr250199#csvline8257"",""rdr250199#csvline8284"",""rdr250199#csvline8303"",""rdr250199#csvline8700"",""rdr250199#csvline9038"",""rdr250199#csvline9070"",""rdr250199#csvline9607""]",required_before_promotion,primary table and methods; measurement vs reference T; phase and state; uncertainty convention; pressure-independent lineage and corrections
1977MAN/SEL,13,13,13,"[""rdr250199#csvline10071"",""rdr250199#csvline11175"",""rdr250199#csvline12322"",""rdr250199#csvline12718"",""rdr250199#csvline13115"",""rdr250199#csvline13183"",""rdr250199#csvline5875"",""rdr250199#csvline6194"",""rdr250199#csvline7554"",""rdr250199#csvline7784"",""rdr250199#csvline8730"",""rdr250199#csvline8914"",""rdr250199#csvline9182""]",required_before_promotion,primary table and methods; measurement vs reference T; phase and state; uncertainty convention; pressure-independent lineage and corrections
1963MCC/LAI,10,10,10,"[""rdr250199#csvline1155"",""rdr250199#csvline1912"",""rdr250199#csvline1949"",""rdr250199#csvline3080"",""rdr250199#csvline3143"",""rdr250199#csvline3175"",""rdr250199#csvline409"",""rdr250199#csvline4435"",""rdr250199#csvline4461"",""rdr250199#csvline4474""]",required_before_promotion,primary table and methods; measurement vs reference T; phase and state; uncertainty convention; pressure-independent lineage and corrections
1968WAD,10,10,10,"[""rdr250199#csvline2872"",""rdr250199#csvline2900"",""rdr250199#csvline2914"",""rdr250199#csvline2939"",""rdr250199#csvline4212"",""rdr250199#csvline4914"",""rdr250199#csvline4948"",""rdr250199#csvline5952"",""rdr250199#csvline5963"",""rdr250199#csvline933""]",required_before_promotion,primary table and methods; measurement vs reference T; phase and state; uncertainty convention; pressure-independent lineage and corrections
1926MAT,12,8,8,"[""rdr250199#csvline350"",""rdr250199#csvline4069"",""rdr250199#csvline4070"",""rdr250199#csvline4917"",""rdr250199#csvline4918"",""rdr250199#csvline4954"",""rdr250199#csvline4955"",""rdr250199#csvline6784"",""rdr250199#csvline6798"",""rdr250199#csvline7561"",""rdr250199#csvline7562"",""rdr250199#csvline936""]",required_before_promotion,primary table and methods; measurement vs reference T; phase and state; uncertainty convention; pressure-independent lineage and corrections
1981GAT/STR,8,8,8,"[""rdr250199#csvline2683"",""rdr250199#csvline3770"",""rdr250199#csvline3997"",""rdr250199#csvline4023"",""rdr250199#csvline4104"",""rdr250199#csvline5872"",""rdr250199#csvline7517"",""rdr250199#csvline7531""]",required_before_promotion,primary table and methods; measurement vs reference T; phase and state; uncertainty convention; pressure-independent lineage and corrections
1969WAD,7,7,7,"[""rdr250199#csvline1276"",""rdr250199#csvline2098"",""rdr250199#csvline3353"",""rdr250199#csvline4585"",""rdr250199#csvline6434"",""rdr250199#csvline6452"",""rdr250199#csvline7867""]",required_before_promotion,primary table and methods; measurement vs reference T; phase and state; uncertainty convention; pressure-independent lineage and corrections
1971POL/BEN,28,7,7,"[""rdr250199#csvline1145"",""rdr250199#csvline1146"",""rdr250199#csvline1147"",""rdr250199#csvline1148"",""rdr250199#csvline1903"",""rdr250199#csvline1904"",""rdr250199#csvline1905"",""rdr250199#csvline1906"",""rdr250199#csvline1938"",""rdr250199#csvline1939"",""rdr250199#csvline1940"",""rdr250199#csvline1941"",""rdr250199#csvline3068"",""rdr250199#csvline3069"",""rdr250199#csvline3070"",""rdr250199#csvline3071"",""rdr250199#csvline3131"",""rdr250199#csvline3132"",""rdr250199#csvline3133"",""rdr250199#csvline3134"",""rdr250199#csvline3162"",""rdr250199#csvline3163"",""rdr250199#csvline3164"",""rdr250199#csvline3165"",""rdr250199#csvline402"",""rdr250199#csvline403"",""rdr250199#csvline404"",""rdr250199#csvline405""]",required_before_promotion,primary table and methods; measurement vs reference T; phase and state; uncertainty convention; pressure-independent lineage and corrections
1980MAJ/WAG,31,7,7,"[""rdr250199#csvline3184"",""rdr250199#csvline3185"",""rdr250199#csvline4347"",""rdr250199#csvline4348"",""rdr250199#csvline4349"",""rdr250199#csvline4350"",""rdr250199#csvline4351"",""rdr250199#csvline4377"",""rdr250199#csvline4378"",""rdr250199#csvline4379"",""rdr250199#csvline4380"",""rdr250199#csvline6107"",""rdr250199#csvline6108"",""rdr250199#csvline6109"",""rdr250199#csvline6110"",""rdr250199#csvline6111"",""rdr250199#csvline6143"",""rdr250199#csvline6144"",""rdr250199#csvline6145"",""rdr250199#csvline6146"",""rdr250199#csvline6147"",""rdr250199#csvline6163"",""rdr250199#csvline6164"",""rdr250199#csvline6165"",""rdr250199#csvline6166"",""rdr250199#csvline6167"",""rdr250199#csvline9121"",""rdr250199#csvline9122"",""rdr250199#csvline9123"",""rdr250199#csvline9124"",""rdr250199#csvline9125""]",required_before_promotion,primary table and methods; measurement vs reference T; phase and state; uncertainty convention; pressure-independent lineage and corrections
