record_id,series_id,archive_member,data_number,property_number,numvalues_index_1based,inchi,inchikey,name,formula,source_doi,source_year,property_name,property_phase,block_phases_json,method,original_property_value,original_property_value_metadata_json,state_origin,state_metadata_json,T_K,stable_liquid_gas,basic_chemistry_flags,H_kJ_mol,calorimetry_label
10.1016/j.fluid.2012.08.020#d1#p1#r1,10.1016/j.fluid.2012.08.020#d1#p1,10.1016/j.fluid.2012.08.020.json,1,1,1,"InChI=1S/C13H12/c1-11-7-5-6-10-13(11)12-8-3-2-4-9-12/h2-10H,1H3",ALLIZEAXNXSFGD-UHFFFAOYSA-N,2-methylbiphenyl,C13H12,10.1016/j.fluid.2012.08.020,2012,"Molar enthalpy of vaporization or sublimation, kJ/mol",Liquid,"[""Liquid"",""Gas""]",Derived by Second law,65.23,"{""nPropValue"":65.23,""CombinedUncertainty"":{""nCombUncertAssessNum"":1,""nCombExpandUncertValue"":1.28},""nPropDigits"":4,""nPropNumber"":1}",variable,"{""nVarNumber"":1,""nVarDigits"":5,""nVarValue"":298.15}",298.15,True,,65.23,False
10.1016/j.fluid.2012.08.020#d3#p1#r1,10.1016/j.fluid.2012.08.020#d3#p1,10.1016/j.fluid.2012.08.020.json,3,1,1,"InChI=1S/C13H12/c1-11-6-5-9-13(10-11)12-7-3-2-4-8-12/h2-10H,1H3",NPDIDUXTRAITDE-UHFFFAOYSA-N,3-methylbiphenyl,C13H12,10.1016/j.fluid.2012.08.020,2012,"Molar enthalpy of vaporization or sublimation, kJ/mol",Liquid,"[""Liquid"",""Gas""]",Derived by Second law,68.45,"{""nPropNumber"":1,""nPropDigits"":4,""nPropValue"":68.45,""CombinedUncertainty"":{""nCombExpandUncertValue"":1.33,""nCombUncertAssessNum"":1}}",variable,"{""nVarDigits"":5,""nVarNumber"":1,""nVarValue"":298.15}",298.15,True,,68.45,False
10.1016/j.fluid.2012.08.020#d5#p1#r1,10.1016/j.fluid.2012.08.020#d5#p1,10.1016/j.fluid.2012.08.020.json,5,1,1,"InChI=1S/C14H14/c1-11-3-7-13(8-4-11)14-9-5-12(2)6-10-14/h3-10H,1-2H3",RZTDESRVPFKCBH-UHFFFAOYSA-N,"4,4'-dimethylbiphenyl",C14H14,10.1016/j.fluid.2012.08.020,2012,"Molar enthalpy of vaporization or sublimation, kJ/mol",Crystal,"[""Crystal"",""Gas""]",Derived by Second law,95.17,"{""CombinedUncertainty"":{""nCombExpandUncertValue"":1.77,""nCombUncertAssessNum"":1},""nPropValue"":95.17,""nPropDigits"":4,""nPropNumber"":1}",variable,"{""nVarValue"":298.15,""nVarNumber"":1,""nVarDigits"":5}",298.15,False,,95.17,False
10.1016/j.fluid.2012.08.020#d8#p1#r1,10.1016/j.fluid.2012.08.020#d8#p1,10.1016/j.fluid.2012.08.020.json,8,1,1,"InChI=1S/C15H16/c1-12(2)14-9-6-10-15(11-14)13-7-4-3-5-8-13/h3-12H,1-2H3",LIWRTHVZRZXVFX-UHFFFAOYSA-N,"3-(1-Methylethyl)-1,1'-biphenyl",C15H16,10.1016/j.fluid.2012.08.020,2012,"Molar enthalpy of vaporization or sublimation, kJ/mol",Liquid,"[""Liquid"",""Gas""]",Derived by Second law,76.39,"{""CombinedUncertainty"":{""nCombUncertAssessNum"":1,""nCombExpandUncertValue"":2.08},""nPropValue"":76.39,""nPropNumber"":1,""nPropDigits"":4}",variable,"{""nVarValue"":298.15,""nVarDigits"":5,""nVarNumber"":1}",298.15,True,,76.39,False
10.1016/j.fluid.2012.08.020#d13#p1#r1,10.1016/j.fluid.2012.08.020#d13#p1,10.1016/j.fluid.2012.08.020.json,13,1,1,"InChI=1S/C16H18/c1-16(2,3)15-11-7-10-14(12-15)13-8-5-4-6-9-13/h4-12H,1-3H3",GBGBXUYACWXKPV-UHFFFAOYSA-N,"3-(1,1-dimethylethyl)-1,1'-biphenyl",C16H18,10.1016/j.fluid.2012.08.020,2012,"Molar enthalpy of vaporization or sublimation, kJ/mol",Liquid,"[""Liquid"",""Gas""]",Derived by Second law,77.12,"{""CombinedUncertainty"":{""nCombUncertAssessNum"":1,""nCombExpandUncertValue"":1.37},""nPropValue"":77.12,""nPropNumber"":1,""nPropDigits"":4}",variable,"{""nVarValue"":298.15,""nVarDigits"":5,""nVarNumber"":1}",298.15,True,,77.12,False
10.1016/j.fluid.2012.08.020#d16#p1#r1,10.1016/j.fluid.2012.08.020#d16#p1,10.1016/j.fluid.2012.08.020.json,16,1,1,"InChI=1S/C20H26/c1-19(2,3)17-11-7-15(8-12-17)16-9-13-18(14-10-16)20(4,5)6/h7-14H,1-6H3",CDKCEZNPAYWORX-UHFFFAOYSA-N,"4,4'-bis(1,1-dimethylethyl)-1,1'-biphenyl",C20H26,10.1016/j.fluid.2012.08.020,2012,"Molar enthalpy of vaporization or sublimation, kJ/mol",Liquid,"[""Liquid"",""Gas""]",Derived by Second law,108.63,"{""nPropDigits"":5,""nPropNumber"":1,""CombinedUncertainty"":{""nCombExpandUncertValue"":1.78,""nCombUncertAssessNum"":1},""nPropValue"":108.63}",variable,"{""nVarDigits"":5,""nVarNumber"":1,""nVarValue"":298.15}",298.15,True,,108.63,False
10.1016/j.fluid.2014.07.029#d2#p1#r1,10.1016/j.fluid.2014.07.029#d2#p1,10.1016/j.fluid.2014.07.029.json,2,1,1,InChI=1S/C6H5F/c7-6-4-2-1-3-5-6/h1-5H,PYLWMHQQBFSUBP-UHFFFAOYSA-N,fluorobenzene,C6H5F,10.1016/j.fluid.2014.07.029,2014,"Molar enthalpy of vaporization or sublimation, kJ/mol",Liquid,"[""Liquid"",""Gas""]",Derived by Second law,35.68,"{""nPropValue"":35.68,""CombinedUncertainty"":{""nCombExpandUncertValue"":1.36,""nCombUncertAssessNum"":1},""nPropNumber"":1,""nPropDigits"":4}",variable,"{""nVarValue"":274.2,""nVarDigits"":4,""nVarNumber"":1}",274.2,True,,35.68,False
10.1016/j.fluid.2014.07.029#d2#p1#r2,10.1016/j.fluid.2014.07.029#d2#p1,10.1016/j.fluid.2014.07.029.json,2,1,2,InChI=1S/C6H5F/c7-6-4-2-1-3-5-6/h1-5H,PYLWMHQQBFSUBP-UHFFFAOYSA-N,fluorobenzene,C6H5F,10.1016/j.fluid.2014.07.029,2014,"Molar enthalpy of vaporization or sublimation, kJ/mol",Liquid,"[""Liquid"",""Gas""]",Derived by Second law,35.49,"{""nPropValue"":35.49,""CombinedUncertainty"":{""nCombExpandUncertValue"":1.35,""nCombUncertAssessNum"":1},""nPropNumber"":1,""nPropDigits"":4}",variable,"{""nVarValue"":278.2,""nVarNumber"":1,""nVarDigits"":4}",278.2,True,,35.49,False
10.1016/j.fluid.2014.07.029#d2#p1#r3,10.1016/j.fluid.2014.07.029#d2#p1,10.1016/j.fluid.2014.07.029.json,2,1,3,InChI=1S/C6H5F/c7-6-4-2-1-3-5-6/h1-5H,PYLWMHQQBFSUBP-UHFFFAOYSA-N,fluorobenzene,C6H5F,10.1016/j.fluid.2014.07.029,2014,"Molar enthalpy of vaporization or sublimation, kJ/mol",Liquid,"[""Liquid"",""Gas""]",Derived by Second law,35.25,"{""CombinedUncertainty"":{""nCombUncertAssessNum"":1,""nCombExpandUncertValue"":1.35},""nPropValue"":35.25,""nPropDigits"":4,""nPropNumber"":1}",variable,"{""nVarDigits"":4,""nVarNumber"":1,""nVarValue"":283.2}",283.2,True,,35.25,False
10.1016/j.fluid.2014.07.029#d2#p1#r4,10.1016/j.fluid.2014.07.029#d2#p1,10.1016/j.fluid.2014.07.029.json,2,1,4,InChI=1S/C6H5F/c7-6-4-2-1-3-5-6/h1-5H,PYLWMHQQBFSUBP-UHFFFAOYSA-N,fluorobenzene,C6H5F,10.1016/j.fluid.2014.07.029,2014,"Molar enthalpy of vaporization or sublimation, kJ/mol",Liquid,"[""Liquid"",""Gas""]",Derived by Second law,35,"{""nPropValue"":35,""CombinedUncertainty"":{""nCombExpandUncertValue"":1.35,""nCombUncertAssessNum"":1},""nPropDigits"":4,""nPropNumber"":1}",variable,"{""nVarDigits"":4,""nVarNumber"":1,""nVarValue"":288.2}",288.2,True,,35,False
