record_id,series_id,archive_member,data_number,property_number,numvalues_index_1based,inchi,inchikey,name,formula,source_doi,source_year,property_name,property_phase,block_phases_json,method,original_property_value,original_property_value_metadata_json,state_origin,state_metadata_json,T_K,stable_liquid_gas,basic_chemistry_flags,p_Pa,measurement_method_screen,in_numeric_domain,primary_candidate
10.1016/j.fluid.2006.01.024#d2#p1#r1,10.1016/j.fluid.2006.01.024#d2#p1,10.1016/j.fluid.2006.01.024.json,2,1,1,"InChI=1S/C2H6O/c1-2-3/h3H,2H2,1H3",LFQSCWFLJHTTHZ-UHFFFAOYSA-N,ethanol,C2H6O,10.1016/j.fluid.2006.01.024,2006,"Boiling temperature at pressure P, K",Liquid,"[""Liquid"",""Gas""]",DISTILL:UFactor:4,351.15,"{""nPropNumber"":1,""nPropDigits"":5,""nPropValue"":351.15,""CombinedUncertainty"":{""nCombExpandUncertValue"":0.4,""nCombUncertAssessNum"":1}}",variable,"{""nVarValue"":101.325,""nVarNumber"":1,""nVarDigits"":6}",351.15,True,,101325.0,False,False,False
10.1016/j.fluid.2006.01.024#d5#p1#r1,10.1016/j.fluid.2006.01.024#d5#p1,10.1016/j.fluid.2006.01.024.json,5,1,1,"InChI=1S/C10H18/c1-2-6-10-8-4-3-7-9(10)5-1/h9-10H,1-8H2/t9-,10-",NNBZCPXTIHJBJL-MGCOHNPYSA-N,trans-decahydronaphthalene,C10H18,10.1016/j.fluid.2006.01.024,2006,"Boiling temperature at pressure P, K",Liquid,"[""Liquid"",""Gas""]",DISTILL:UFactor:4,460.35,"{""nPropValue"":460.35,""CombinedUncertainty"":{""nCombExpandUncertValue"":0.4,""nCombUncertAssessNum"":1},""nPropNumber"":1,""nPropDigits"":5}",variable,"{""nVarValue"":101.325,""nVarNumber"":1,""nVarDigits"":6}",460.35,True,,101325.0,False,False,False
10.1016/j.fluid.2006.07.011#d2#p1#r1,10.1016/j.fluid.2006.07.011#d2#p1,10.1016/j.fluid.2006.07.011.json,2,1,1,"InChI=1S/CH2O2/c2-1-3/h1H,(H,2,3)",BDAGIHXWWSANSR-UHFFFAOYSA-N,formic acid,CH2O2,10.1016/j.fluid.2006.07.011,2006,"Boiling temperature at pressure P, K",Liquid,"[""Liquid"",""Gas""]",Distillation,383.05,"{""nPropValue"":383.05,""CombinedUncertainty"":{""nCombUncertAssessNum"":1,""nCombExpandUncertValue"":2},""nPropDigits"":5,""nPropNumber"":1}",variable,"{""nVarNumber"":1,""nVarDigits"":6,""nVarValue"":101.325}",383.05,True,,101325.0,False,False,False
10.1016/j.fluid.2006.07.011#d5#p1#r1,10.1016/j.fluid.2006.07.011#d5#p1,10.1016/j.fluid.2006.07.011.json,5,1,1,"InChI=1S/C2H4O2/c1-2(3)4/h1H3,(H,3,4)",QTBSBXVTEAMEQO-UHFFFAOYSA-N,acetic acid,C2H4O2,10.1016/j.fluid.2006.07.011,2006,"Boiling temperature at pressure P, K",Liquid,"[""Liquid"",""Gas""]",Distillation,390.85,"{""nPropNumber"":1,""nPropDigits"":5,""nPropValue"":390.85,""CombinedUncertainty"":{""nCombUncertAssessNum"":1,""nCombExpandUncertValue"":0.5}}",variable,"{""nVarValue"":101.325,""nVarDigits"":6,""nVarNumber"":1}",390.85,True,,101325.0,False,False,False
10.1016/j.fluid.2006.07.011#d8#p1#r1,10.1016/j.fluid.2006.07.011#d8#p1,10.1016/j.fluid.2006.07.011.json,8,1,1,"InChI=1S/C3H6O2/c1-2-3(4)5/h2H2,1H3,(H,4,5)",XBDQKXXYIPTUBI-UHFFFAOYSA-N,propanoic acid,C3H6O2,10.1016/j.fluid.2006.07.011,2006,"Boiling temperature at pressure P, K",Liquid,"[""Liquid"",""Gas""]",Distillation,414.15,"{""nPropValue"":414.15,""CombinedUncertainty"":{""nCombUncertAssessNum"":1,""nCombExpandUncertValue"":0.5},""nPropDigits"":5,""nPropNumber"":1}",variable,"{""nVarValue"":101.325,""nVarNumber"":1,""nVarDigits"":6}",414.15,True,,101325.0,False,False,False
10.1016/j.fluid.2006.07.011#d11#p1#r1,10.1016/j.fluid.2006.07.011#d11#p1,10.1016/j.fluid.2006.07.011.json,11,1,1,"InChI=1S/C9H12/c1-8(2)9-6-4-3-5-7-9/h3-8H,1-2H3",RWGFKTVRMDUZSP-UHFFFAOYSA-N,isopropylbenzene,C9H12,10.1016/j.fluid.2006.07.011,2006,"Boiling temperature at pressure P, K",Liquid,"[""Liquid"",""Gas""]",Distillation,425.54,"{""nPropValue"":425.54,""CombinedUncertainty"":{""nCombUncertAssessNum"":1,""nCombExpandUncertValue"":0.5},""nPropDigits"":5,""nPropNumber"":1}",variable,"{""nVarDigits"":6,""nVarNumber"":1,""nVarValue"":101.325}",425.54,True,,101325.0,False,False,False
10.1016/j.fluid.2006.10.005#d2#p1#r1,10.1016/j.fluid.2006.10.005#d2#p1,10.1016/j.fluid.2006.10.005.json,2,1,1,"InChI=1S/C3H6O2/c1-2-3(4)5/h2H2,1H3,(H,4,5)",XBDQKXXYIPTUBI-UHFFFAOYSA-N,propanoic acid,C3H6O2,10.1016/j.fluid.2006.10.005,2006,"Boiling temperature at pressure P, K",Liquid,"[""Liquid"",""Gas""]",Distillation,414.2,"{""nPropDigits"":4,""nPropNumber"":1,""CombinedUncertainty"":{""nCombExpandUncertValue"":0.21,""nCombUncertAssessNum"":1},""nPropValue"":414.2}",variable,"{""nVarNumber"":1,""nVarDigits"":6,""nVarValue"":101.325}",414.2,True,,101325.0,False,False,False
10.1016/j.fluid.2006.10.005#d5#p1#r1,10.1016/j.fluid.2006.10.005#d5#p1,10.1016/j.fluid.2006.10.005.json,5,1,1,"InChI=1S/C18H36O/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19/h9-10,19H,2-8,11-18H2,1H3/b10-9-",ALSTYHKOOCGGFT-KTKRTIGZSA-N,(Z)-9-octadecen-1-ol,C18H36O,10.1016/j.fluid.2006.10.005,2006,"Boiling temperature at pressure P, K",Liquid,"[""Liquid"",""Gas""]",Distillation,480.05,"{""nPropNumber"":1,""nPropDigits"":5,""CombinedUncertainty"":{""nCombExpandUncertValue"":3,""nCombUncertAssessNum"":1},""nPropValue"":480.05}",variable,"{""nVarValue"":2,""nVarDigits"":1,""nVarNumber"":1}",480.05,True,,2000,False,True,False
10.1016/j.fluid.2007.10.017#d1#p1#r1,10.1016/j.fluid.2007.10.017#d1#p1,10.1016/j.fluid.2007.10.017.json,1,1,1,InChI=1S/C2H6OS/c1-4(2)3/h1-2H3,IAZDPXIOMUYVGZ-UHFFFAOYSA-N,dimethyl sulfoxide,C2H6OS,10.1016/j.fluid.2007.10.017,2008,"Boiling temperature at pressure P, K",Liquid,"[""Liquid"",""Gas""]",Ebulliometric method (Recirculating still),462.19,"{""nPropDigits"":5,""nPropNumber"":1,""nPropValue"":462.19,""CombinedUncertainty"":{""nCombExpandUncertValue"":0.41,""nCombUncertAssessNum"":1}}",variable,"{""nVarDigits"":3,""nVarNumber"":1,""nVarValue"":95.3}",462.19,True,,95300.0,True,False,False
10.1016/j.fluid.2007.10.017#d3#p1#r1,10.1016/j.fluid.2007.10.017#d3#p1,10.1016/j.fluid.2007.10.017.json,3,1,1,"InChI=1S/C7H8/c1-7-5-3-2-4-6-7/h2-6H,1H3",YXFVVABEGXRONW-UHFFFAOYSA-N,toluene,C7H8,10.1016/j.fluid.2007.10.017,2008,"Boiling temperature at pressure P, K",Liquid,"[""Liquid"",""Gas""]",Ebulliometric method (Recirculating still),383.05,"{""nPropNumber"":1,""nPropDigits"":5,""CombinedUncertainty"":{""nCombExpandUncertValue"":0.41,""nCombUncertAssessNum"":1},""nPropValue"":383.05}",variable,"{""nVarDigits"":3,""nVarNumber"":1,""nVarValue"":95.3}",383.05,True,,95300.0,True,False,False
