source_reference_codes,C_rows,molecular_identifiers,candidate_dois_from_year_author_code_json,status,enthalpy_record_ids_json
['1901KAH'],3,3,[],primary_methods_and_data_lineage_review_required,"[""rdr250199#csvline3856"",""rdr250199#csvline4586"",""rdr250199#csvline6436""]"
['1901KAH2'],2,2,[],primary_methods_and_data_lineage_review_required,"[""rdr250199#csvline866"",""rdr250199#csvline3602""]"
['1923AWB/GRI'],1,1,[],primary_methods_and_data_lineage_review_required,"[""rdr250199#csvline5185""]"
"['1926MAT', '2012SAM/NAZ']",2,2,"[""10.1016/j.fluid.2012.08.003""]",primary_methods_and_data_lineage_review_required,"[""rdr250199#csvline4070"",""rdr250199#csvline7562""]"
"['1926MAT', '2014VER/EME']",3,3,"[""10.1016/j.fluid.2014.07.029""]",primary_methods_and_data_lineage_review_required,"[""rdr250199#csvline4955"",""rdr250199#csvline6784"",""rdr250199#csvline6798""]"
"['1926MAT', '2015VER/SAZ']",2,1,"[""10.1021/je500784s""]",primary_methods_and_data_lineage_review_required,"[""rdr250199#csvline4917"",""rdr250199#csvline4918""]"
['1926MAT'],5,5,[],primary_methods_and_data_lineage_review_required,"[""rdr250199#csvline350"",""rdr250199#csvline936"",""rdr250199#csvline4069"",""rdr250199#csvline4954"",""rdr250199#csvline7561""]"
['1930PHI/WAT'],1,1,[],primary_methods_and_data_lineage_review_required,"[""rdr250199#csvline349""]"
['1931FIO/GIN'],2,1,[],primary_methods_and_data_lineage_review_required,"[""rdr250199#csvline5084"",""rdr250199#csvline5085""]"
"['1931MAT/FEH', '2015EME/PIM']",1,1,[],primary_methods_and_data_lineage_review_required,"[""rdr250199#csvline7133""]"
['1931MAT/FEH'],1,1,[],primary_methods_and_data_lineage_review_required,"[""rdr250199#csvline7132""]"
['1940PIT'],2,2,[],primary_methods_and_data_lineage_review_required,"[""rdr250199#csvline7689"",""rdr250199#csvline9072""]"
['1941PIT/GWI'],1,1,[],primary_methods_and_data_lineage_review_required,"[""rdr250199#csvline347""]"
['1943AST/SZA'],1,1,[],primary_methods_and_data_lineage_review_required,"[""rdr250199#csvline5571""]"
['1943LEM/FEL'],4,1,[],primary_methods_and_data_lineage_review_required,"[""rdr250199#csvline6040"",""rdr250199#csvline6041"",""rdr250199#csvline6042"",""rdr250199#csvline6043""]"
['1944RUB/LEV'],1,1,[],primary_methods_and_data_lineage_review_required,"[""rdr250199#csvline810""]"
['1947JON/GIA'],1,1,[],primary_methods_and_data_lineage_review_required,"[""rdr250199#csvline346""]"
['1947OSB/GIN'],14,14,[],primary_methods_and_data_lineage_review_required,"[""rdr250199#csvline5075"",""rdr250199#csvline5568"",""rdr250199#csvline6038"",""rdr250199#csvline6924"",""rdr250199#csvline8244"",""rdr250199#csvline8257"",""rdr250199#csvline8284"",""rdr250199#csvline8303"",""rdr250199#csvline8700"",""rdr250199#csvline9038"",""rdr250199#csvline9070"",""rdr250199#csvline9607"",""rdr250199#csvline10004"",""rdr250199#csvline11064""]"
['1947SCO/WAD'],4,1,[],primary_methods_and_data_lineage_review_required,"[""rdr250199#csvline5076"",""rdr250199#csvline5077"",""rdr250199#csvline5078"",""rdr250199#csvline5079""]"
['1947WAD/DOU'],2,1,[],primary_methods_and_data_lineage_review_required,"[""rdr250199#csvline6036"",""rdr250199#csvline6037""]"
['1947WAD/TOD'],2,1,[],primary_methods_and_data_lineage_review_required,"[""rdr250199#csvline7685"",""rdr250199#csvline7686""]"
['1949WAD/KNO'],3,1,[],primary_methods_and_data_lineage_review_required,"[""rdr250199#csvline2303"",""rdr250199#csvline2304"",""rdr250199#csvline2305""]"
"['1950IWA', '1970HOW/WAD']",1,1,[],primary_methods_and_data_lineage_review_required,"[""rdr250199#csvline864""]"
['1951BAR/MCC'],1,1,[],primary_methods_and_data_lineage_review_required,"[""rdr250199#csvline10251""]"
['1951MCC/PER'],2,1,[],primary_methods_and_data_lineage_review_required,"[""rdr250199#csvline5566"",""rdr250199#csvline5567""]"
['1952HUB/FIN'],3,1,[],primary_methods_and_data_lineage_review_required,"[""rdr250199#csvline2857"",""rdr250199#csvline2858"",""rdr250199#csvline2859""]"
['1952SCO/FIN'],3,1,[],primary_methods_and_data_lineage_review_required,"[""rdr250199#csvline3313"",""rdr250199#csvline3314"",""rdr250199#csvline3315""]"
['1952SCO/FIN2'],2,1,[],primary_methods_and_data_lineage_review_required,"[""rdr250199#csvline3339"",""rdr250199#csvline3340""]"
['1954MCC/SCO'],4,1,[],primary_methods_and_data_lineage_review_required,"[""rdr250199#csvline341"",""rdr250199#csvline342"",""rdr250199#csvline343"",""rdr250199#csvline344""]"
['1955WEL'],3,1,[],primary_methods_and_data_lineage_review_required,"[""rdr250199#csvline987"",""rdr250199#csvline988"",""rdr250199#csvline989""]"
['1956SCO/MCC2'],4,1,[],primary_methods_and_data_lineage_review_required,"[""rdr250199#csvline4994"",""rdr250199#csvline4995"",""rdr250199#csvline4996"",""rdr250199#csvline4997""]"
['1957MCC/DOU'],3,1,[],primary_methods_and_data_lineage_review_required,"[""rdr250199#csvline3594"",""rdr250199#csvline3595"",""rdr250199#csvline3596""]"
['1957MCC/HUB'],3,1,[],primary_methods_and_data_lineage_review_required,"[""rdr250199#csvline1203"",""rdr250199#csvline1204"",""rdr250199#csvline1205""]"
['1958HUB/DOU'],3,1,[],primary_methods_and_data_lineage_review_required,"[""rdr250199#csvline1223"",""rdr250199#csvline1224"",""rdr250199#csvline1225""]"
