record_id,error
10.1016/j.jct.2004.05.009#d1#p1#r1,missing_or_ambiguous_state
10.1016/j.jct.2004.05.009#d3#p1#r1,missing_or_ambiguous_state
10.1016/j.jct.2004.05.009#d5#p1#r1,missing_or_ambiguous_state
10.1016/j.jct.2006.03.013#d1#p1#r1,missing_or_ambiguous_state
10.1016/j.jct.2006.03.013#d5#p1#r1,missing_or_ambiguous_state
10.1016/j.jct.2006.04.010#d1#p1#r1,missing_or_ambiguous_state
10.1016/j.jct.2006.04.010#d2#p1#r1,missing_or_ambiguous_state
10.1016/j.jct.2006.04.010#d3#p1#r1,missing_or_ambiguous_state
10.1016/j.jct.2008.07.017#d2#p1#r1,missing_or_ambiguous_state
10.1016/j.jct.2008.07.017#d6#p1#r1,missing_or_ambiguous_state
10.1016/j.jct.2008.07.017#d10#p1#r1,missing_or_ambiguous_state
10.1016/j.jct.2012.07.027#d6#p1#r1,missing_or_ambiguous_state
10.1016/j.jct.2012.07.027#d11#p1#r1,missing_or_ambiguous_state
10.1016/j.jct.2012.07.027#d15#p1#r1,missing_or_ambiguous_state
10.1021/je0603067#d1#p1#r1,missing_or_ambiguous_state
10.1021/je0603067#d3#p1#r1,missing_or_ambiguous_state
10.1021/je0603067#d5#p1#r1,missing_or_ambiguous_state
10.1021/je700384e#d1#p1#r1,missing_or_ambiguous_state
10.1021/je700384e#d3#p1#r1,missing_or_ambiguous_state
