enthalpy_record_id,inchi,name,source_reference_codes,pressure_series_id,pressure_source_doi,pressure_method,H_T_reported_K,H_reported_kJ_mol,local_CC_H_kJ_mol,difference_percent,local_pressure_distinct_T,fit_T_min_K,fit_T_max_K,fit_log10p_RMSE,interpretation
rdr250199#csvline516,InChI=1S/C2Cl4/c3-1(4)2(5)6,tetrachloroethylene,['1980MAJ/SVA'],10.1016/j.fluid.2004.02.021#d2#p1,10.1016/j.fluid.2004.02.021,CCELL:UFactor:2,298.0,39.7,40.1066423781388,1.0242881061430684,7,283.15,313.15,0.0032534573966859735,descriptive_approximate_CC_diagnostic_not_independence_or_accuracy_validation
rdr250199#csvline517,InChI=1S/C2Cl4/c3-1(4)2(5)6,tetrachloroethylene,['1980MAJ/SVA'],10.1016/j.fluid.2004.02.021#d2#p1,10.1016/j.fluid.2004.02.021,CCELL:UFactor:2,313.0,38.9,39.14867781218196,0.6392745814446266,7,293.15,323.15,0.002130358450675049,descriptive_approximate_CC_diagnostic_not_independence_or_accuracy_validation
rdr250199#csvline524,InChI=1S/C2Cl4/c3-1(4)2(5)6,tetrachloroethylene,['1960AIH'],10.1016/j.fluid.2004.02.021#d2#p1,10.1016/j.fluid.2004.02.021,CCELL:UFactor:2,298.0,39.6,40.1066423781388,1.2793999447949485,7,283.15,313.15,0.0032534573966859735,descriptive_approximate_CC_diagnostic_not_independence_or_accuracy_validation
rdr250199#csvline739,InChI=1S/C2H2Cl4/c3-1(4)2(5)6/h1-2H,"1,1,2,2-tetrachloroethane",['1980MAJ/SVA'],10.1016/j.fluid.2004.02.021#d1#p1,10.1016/j.fluid.2004.02.021,CCELL:UFactor:2,313.0,44.7,44.77373945270554,0.16496521858062327,7,293.15,323.15,0.0038880475790030694,descriptive_approximate_CC_diagnostic_not_independence_or_accuracy_validation
rdr250199#csvline745,InChI=1S/C2H2Cl4/c3-1(4)2(5)6/h1-2H,"1,1,2,2-tetrachloroethane",['1972LAY/WAD'],10.1016/j.fluid.2004.02.021#d1#p1,10.1016/j.fluid.2004.02.021,CCELL:UFactor:2,298.0,45.8,45.92223647406541,0.2668918647716377,7,283.15,313.15,0.004236305576085746,descriptive_approximate_CC_diagnostic_not_independence_or_accuracy_validation
rdr250199#csvline860,InChI=1S/C2H3N/c1-2-3/h1H3,acetonitrile,['1970HOW/WAD'],10.1016/j.jct.2011.09.022#d1#p1,10.1016/j.jct.2011.09.022,Closed cell (Static) method,298.0,32.9,34.47110480317144,4.775394538515028,39,278.72,309.92,0.0029008962129352805,descriptive_approximate_CC_diagnostic_not_independence_or_accuracy_validation
rdr250199#csvline863,InChI=1S/C2H3N/c1-2-3/h1H3,acetonitrile,['1965PUT/MCE'],10.1016/j.jct.2011.09.022#d1#p1,10.1016/j.jct.2011.09.022,Closed cell (Static) method,298.0,33.3,34.47110480317144,3.5168312407550917,39,278.72,309.92,0.0029008962129352805,descriptive_approximate_CC_diagnostic_not_independence_or_accuracy_validation
rdr250199#csvline864,InChI=1S/C2H3N/c1-2-3/h1H3,acetonitrile,"['1950IWA', '1970HOW/WAD']",10.1016/j.jct.2011.09.022#d1#p1,10.1016/j.jct.2011.09.022,Closed cell (Static) method,298.0,32.9,34.47110480317144,4.775394538515028,39,278.72,309.92,0.0029008962129352805,descriptive_approximate_CC_diagnostic_not_independence_or_accuracy_validation
rdr250199#csvline921,InChI=1S/C2H4Cl2/c3-1-2-4/h1-2H2,"1,2-dichloroethane",['1989AN/HU'],10.1016/j.jct.2005.07.016#d4#p1,10.1016/j.jct.2005.07.016,CCELL:UFactor:8,298.0,35.1,35.87336038308731,2.203305934721675,8,292.85,309.95,0.0009729898763065703,descriptive_approximate_CC_diagnostic_not_independence_or_accuracy_validation
rdr250199#csvline927,InChI=1S/C2H4Cl2/c3-1-2-4/h1-2H2,"1,2-dichloroethane",['1980MAJ/SVA'],10.1016/j.jct.2005.07.016#d4#p1,10.1016/j.jct.2005.07.016,CCELL:UFactor:8,298.0,35.2,35.87336038308731,1.912955633770757,8,292.85,309.95,0.0009729898763065703,descriptive_approximate_CC_diagnostic_not_independence_or_accuracy_validation
rdr250199#csvline933,InChI=1S/C2H4Cl2/c3-1-2-4/h1-2H2,"1,2-dichloroethane",['1968WAD'],10.1016/j.jct.2005.07.016#d4#p1,10.1016/j.jct.2005.07.016,CCELL:UFactor:8,298.0,35.1,35.87336038308731,2.203305934721675,8,292.85,309.95,0.0009729898763065703,descriptive_approximate_CC_diagnostic_not_independence_or_accuracy_validation
rdr250199#csvline1145,"InChI=1S/C2H6O/c1-2-3/h3H,2H2,1H3",ethanol,['1971POL/BEN'],10.1016/j.fluid.2011.07.002#d1#p1,10.1016/j.fluid.2011.07.002,Closed cell (Static) method,298.0,42.26,42.71065463345361,1.0663857866862512,8,278.15,313.15,0.001399461183145476,descriptive_approximate_CC_diagnostic_not_independence_or_accuracy_validation
rdr250199#csvline1146,"InChI=1S/C2H6O/c1-2-3/h3H,2H2,1H3",ethanol,['1971POL/BEN'],10.1016/j.fluid.2011.07.002#d1#p1,10.1016/j.fluid.2011.07.002,Closed cell (Static) method,308.0,41.7,42.57905606440989,2.108048116090857,6,288.15,313.15,0.0013468576050845484,descriptive_approximate_CC_diagnostic_not_independence_or_accuracy_validation
rdr250199#csvline1154,"InChI=1S/C2H6O/c1-2-3/h3H,2H2,1H3",ethanol,['1966WAD'],10.1016/j.fluid.2011.07.002#d1#p1,10.1016/j.fluid.2011.07.002,Closed cell (Static) method,298.0,42.3,42.71065463345361,0.9708147362969517,8,278.15,313.15,0.001399461183145476,descriptive_approximate_CC_diagnostic_not_independence_or_accuracy_validation
rdr250199#csvline1155,"InChI=1S/C2H6O/c1-2-3/h3H,2H2,1H3",ethanol,['1963MCC/LAI'],10.1016/j.fluid.2011.07.002#d1#p1,10.1016/j.fluid.2011.07.002,Closed cell (Static) method,298.0,42.2,42.71065463345361,1.210082069795272,8,278.15,313.15,0.001399461183145476,descriptive_approximate_CC_diagnostic_not_independence_or_accuracy_validation
rdr250199#csvline1897,"InChI=1S/C3H8O/c1-2-3-4/h4H,2-3H2,1H3",1-propanol,['1973SVO/VES'],10.1021/je0499519#d4#p1,10.1021/je0499519,EBULLIO:UFactor:4,313.0,46.4,46.293981822811276,-0.22848745083776503,7,310.17,332.18,0.0005659352875141263,descriptive_approximate_CC_diagnostic_not_independence_or_accuracy_validation
rdr250199#csvline1898,"InChI=1S/C3H8O/c1-2-3-4/h4H,2-3H2,1H3",1-propanol,['1973SVO/VES'],10.1021/je0499519#d4#p1,10.1021/je0499519,EBULLIO:UFactor:4,323.0,45.7,46.293981822811276,1.2997414065892183,7,310.17,332.18,0.0005659352875141263,descriptive_approximate_CC_diagnostic_not_independence_or_accuracy_validation
rdr250199#csvline1903,"InChI=1S/C3H8O/c1-2-3-4/h4H,2-3H2,1H3",1-propanol,['1971POL/BEN'],10.1021/je300736k#d1#p1,10.1021/je300736k,Closed cell (Static) method,298.0,47.49,47.591796540372464,0.21435363312794622,8,278.15,313.15,0.002303546583187287,descriptive_approximate_CC_diagnostic_not_independence_or_accuracy_validation
