series_id,inchi,name,source_doi,method,pressure_rows,distinct_T,temperature_levels_0p1K,T_min_K,T_max_K,T_span_K,warm_T_count,cold_T_count,long_curve,three_anchor_curve
10.1007/s10765-018-2361-8#d2#p1,"InChI=1S/C3H8O/c1-3(2)4/h3-4H,1-2H3",propan-2-ol,10.1007/s10765-018-2361-8,Closed cell (Static) method,2,2,2,297.9,303.7,5.800000000000011,1,1,False,False
10.1016/j.fluid.2004.02.021#d1#p1,InChI=1S/C2H2Cl4/c3-1(4)2(5)6/h1-2H,"1,1,2,2-tetrachloroethane",10.1016/j.fluid.2004.02.021,CCELL:UFactor:2,9,9,9,283.15,323.15,40.0,3,3,True,True
10.1016/j.fluid.2004.02.021#d2#p1,InChI=1S/C2Cl4/c3-1(4)2(5)6,tetrachloroethene,10.1016/j.fluid.2004.02.021,CCELL:UFactor:2,9,9,9,283.15,323.15,40.0,3,3,True,True
10.1016/j.fluid.2004.02.021#d3#p1,InChI=1S/C6H6/c1-2-4-6-5-3-1/h1-6H,benzene,10.1016/j.fluid.2004.02.021,CCELL:UFactor:2,6,6,6,283.15,308.15,25.0,2,2,False,False
10.1016/j.fluid.2004.10.022#d12#p1,"InChI=1S/C6H12O2/c1-5(7)8-6(2,3)4/h1-4H3","1,1-dimethylethyl ethanoate",10.1016/j.fluid.2004.10.022,EBULLIO:UFactor:8,6,6,6,307.53,325.46,17.930000000000007,2,2,False,False
10.1016/j.fluid.2004.10.022#d3#p1,"InChI=1S/C4H10O/c1-4(2)3-5/h4-5H,3H2,1-2H3",2-methyl-1-propanol,10.1016/j.fluid.2004.10.022,EBULLIO:UFactor:8,1,1,1,342.52,342.52,0.0,1,1,False,False
10.1016/j.fluid.2004.10.022#d6#p1,"InChI=1S/C6H12O2/c1-5(2)4-8-6(3)7/h5H,4H2,1-3H3",2-methylpropyl ethanoate,10.1016/j.fluid.2004.10.022,EBULLIO:UFactor:8,7,7,7,307.43,342.95,35.51999999999998,3,2,True,True
10.1016/j.fluid.2004.10.022#d9#p1,"InChI=1S/C4H10O/c1-4(2,3)5/h5H,1-3H3",2-methylpropan-2-ol,10.1016/j.fluid.2004.10.022,EBULLIO:UFactor:8,6,6,6,300.93,320.17,19.24000000000001,2,2,False,False
10.1016/j.fluid.2004.10.025#d1#p1,"InChI=1S/CCl4/c2-1(3,4)5",tetrachloromethane,10.1016/j.fluid.2004.10.025,CCELL:UFactor:2,5,5,5,283.15,303.15,20.0,2,2,False,False
10.1016/j.fluid.2004.10.025#d2#p1,InChI=1S/C2H2Cl4/c3-1(4)2(5)6/h1-2H,"1,1,2,2-tetrachloroethane",10.1016/j.fluid.2004.10.025,CCELL:UFactor:2,9,9,9,283.15,323.15,40.0,3,3,True,True
