record_id,reference_code,primary_compound_name,primary_H,primary_deviation,primary_unit,unit_multiplier_to_kJ,primary_temperature_C,primary_temperature_K,primary_page,primary_table,calorimeter,structure_smiles_from_primary_name,thermodynamic_state,uncertainty_kind,systematic_error_bound_kJ_mol,decision,quality_flags,table_image_visually_checked
rdr250199#csvline408,1966WAD,Methanol,8.91,0.02,kcal/mol_defined_calorie,4.1840,25.00,298.15,545,1,C,CO,liquid_to_real_vapor_at_saturation,estimated_total_including_systematics_coverage_unspecified,,approve_primary_calorimetry,,True
rdr250199#csvline1154,1966WAD,Ethanol,10.11,0.02,kcal/mol_defined_calorie,4.1840,25.00,298.15,545,1,C,CCO,liquid_to_real_vapor_at_saturation,estimated_total_including_systematics_coverage_unspecified,,approve_primary_calorimetry,,True
rdr250199#csvline1910,1966WAD,1-Propanol,11.31,0.02,kcal/mol_defined_calorie,4.1840,25.00,298.15,545,1,C,CCCO,liquid_to_real_vapor_at_saturation,estimated_total_including_systematics_coverage_unspecified,,approve_primary_calorimetry,,True
rdr250199#csvline1943,1966WAD,2-Propanol,10.81,0.03,kcal/mol_defined_calorie,4.1840,25.00,298.15,545,1,C,CC(O)C,liquid_to_real_vapor_at_saturation,estimated_total_including_systematics_coverage_unspecified,,approve_primary_calorimetry,,True
rdr250199#csvline3074,1966WAD,1-Butanol,12.50,0.02,kcal/mol_defined_calorie,4.1840,25.00,298.15,545,1,C,CCCCO,liquid_to_real_vapor_at_saturation,estimated_total_including_systematics_coverage_unspecified,,approve_primary_calorimetry,,True
rdr250199#csvline3140,1966WAD,2-Methyl-1-propanol,12.15,0.02,kcal/mol_defined_calorie,4.1840,25.00,298.15,545,1,C,CC(C)CO,liquid_to_real_vapor_at_saturation,estimated_total_including_systematics_coverage_unspecified,,approve_primary_calorimetry,,True
rdr250199#csvline3167,1966WAD,2-Methyl-2-propanol,11.14,0.02,kcal/mol_defined_calorie,4.1840,25.00,298.15,545,1,C,CC(C)(C)O,liquid_to_real_vapor_at_saturation,estimated_total_including_systematics_coverage_unspecified,,approve_primary_calorimetry,Near melting region; source reports liquid vaporization; stable versus metastable liquid not independently established. Do not relabel as sublimation.,True
rdr250199#csvline4413,1966WAD,1-Pentanol,13.61,0.04,kcal/mol_defined_calorie,4.1840,25.00,298.15,545,1,C,CCCCCO,liquid_to_real_vapor_at_saturation,estimated_total_including_systematics_coverage_unspecified,,approve_primary_calorimetry,,True
rdr250199#csvline3985,1966WAD,Cyclopentanol,13.74,0.07,kcal/mol_defined_calorie,4.1840,25.00,298.15,545,1,A,OC1CCCC1,liquid_to_real_vapor_at_saturation,estimated_total_including_systematics_coverage_unspecified,,approve_primary_calorimetry,Water content not measured; source reports GC purity above 99.9%.,True
rdr250199#csvline6197,1966WAD,1-Hexanol,14.73,0.04,kcal/mol_defined_calorie,4.1840,25.00,298.15,545,1,B,CCCCCCO,liquid_to_real_vapor_at_saturation,estimated_total_including_systematics_coverage_unspecified,,approve_primary_calorimetry,,True
rdr250199#csvline2873,1966WAD,1-Bromobutane,8.76,0.03,kcal/mol_defined_calorie,4.1840,25.00,298.15,547,3,C,CCCCBr,liquid_to_real_vapor_at_saturation,estimated_total_including_systematics_coverage_unspecified,,approve_primary_calorimetry,,True
rdr250199#csvline2774,1966WAD,Ethyl acetate,8.40,0.05,kcal/mol_defined_calorie,4.1840,25.00,298.15,547,3,A,CCOC(=O)C,liquid_to_real_vapor_at_saturation,estimated_total_including_systematics_coverage_unspecified,,approve_primary_calorimetry,,True
rdr250199#csvline4130,1966WAD,Propyl acetate,9.34,0.05,kcal/mol_defined_calorie,4.1840,25.00,298.15,547,3,A,CCCOC(=O)C,liquid_to_real_vapor_at_saturation,estimated_total_including_systematics_coverage_unspecified,,approve_primary_calorimetry,,True
rdr250199#csvline4088,1966WAD,Isopropyl acetate,8.89,0.05,kcal/mol_defined_calorie,4.1840,25.00,298.15,547,3,A,CC(C)OC(=O)C,liquid_to_real_vapor_at_saturation,estimated_total_including_systematics_coverage_unspecified,,approve_primary_calorimetry,,True
rdr250199#csvline5829,1966WAD,Butyl acetate,10.42,0.05,kcal/mol_defined_calorie,4.1840,25.00,298.15,547,3,A,CCCCOC(=O)C,liquid_to_real_vapor_at_saturation,estimated_total_including_systematics_coverage_unspecified,,approve_primary_calorimetry,,True
