record_id,origin,molecule_id,inchi,name,H_kJ_mol,T_K,H_J_mol,method,source_doi,reference_codes_json,source_locator,reported_deviation,uncertainty_kind,uncertainty_confidence_percent,uncertainty_coverage_factor,experimental_temperature_range,temperature_status,thermodynamic_state,raw_row_verified,archive_XML_verified,full_primary_methods_verified,calorimetry_candidate,has_pressure_join,inside_pressure_temperature_envelope,decision,decision_reasons,independent_of_pressure_verified,training_allowed,corrected_298_field_excluded,duplicate_family,linked_record_ids_json,split,component_id,review_wave,review_date,original_H_kJ_mol,original_T_K,original_reported_deviation,original_decision,review_reference_code,primary_source_url,source_review_status,reference_code,primary_compound_name,primary_H,primary_deviation,primary_unit,unit_multiplier_to_kJ,primary_temperature_C,primary_temperature_K,primary_page,primary_table,calorimeter,structure_smiles_from_primary_name,systematic_error_bound_kJ_mol,quality_flags,table_image_visually_checked,primary_document_sha256,random_standard_error_kJ_mol,standard_error_multiplier,primary_numeric_table_verified,primary_identity_verified,measurement_or_reference_temperature,temperature_correction_applied,ideal_gas_state_conversion_applied,ancillary_apparatus_pressure_used,pressure_curve_used_to_derive_label,benchmark_pressure_used_for_label,minimum_replicates_in_reported_mean,measurement_lineage_id,reviewed_by
rdr250199#csvline10004,compendium,mol_3fd637a4d667fe51,"InChI=1S/C9H20/c1-3-5-7-9-8-6-4-2/h3-9H2,1-2H3",nonane,46.4,298,46400,C,,"[""1947OSB/GIN""]","RDR file 250199, CSV line 10004",,unspecified_compendium_deviation,,,,unresolved,not_resolved_from_compendium_row,True,False,False,True,True,False,hold_full_text_not_obtained,Bibliography resolved with Crossref/NIST; original numeric tables and corrections not verified.,False,False,True,,[],train,grp_5dea7427c65d07c7,priority_14,2026-09-17,46.4,298,,quarantine_compendium_provenance,1947OSB/GIN,https://nvlpubs.nist.gov/nistpubs/jres/39/jresv39n5p453_A1b.pdf,full_text_not_obtained,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rdr250199#csvline10071,compendium,mol_fe38c48a132d8ec5,"InChI=1S/C9H20O/c1-2-3-4-5-6-7-8-9-10/h10H,2-9H2,1H3",1-nonanol,76.9,298,76900,C,,"[""1977MAN/SEL""]","RDR file 250199, CSV line 10071",0.8,unspecified_compendium_deviation,,,,unresolved,not_resolved_from_compendium_row,True,False,False,True,True,True,hold_full_text_not_obtained,"Bibliography resolved; primary tables, temperature corrections and liquid state not verified.",False,False,True,,[],train,grp_5dea7427c65d07c7,priority_14,2026-09-17,76.9,298,0.8,quarantine_compendium_provenance,1977MAN/SEL,https://doi.org/10.1016/0021-9614(77)90202-6,full_text_not_obtained,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rdr250199#csvline11064,compendium,mol_a3ab0bd2d4d80422,"InChI=1S/C10H22/c1-3-5-7-9-10-8-6-4-2/h3-10H2,1-2H3",decane,51.4,298,51400,C,,"[""1947OSB/GIN""]","RDR file 250199, CSV line 11064",,unspecified_compendium_deviation,,,,unresolved,not_resolved_from_compendium_row,True,False,False,True,True,True,hold_full_text_not_obtained,Bibliography resolved with Crossref/NIST; original numeric tables and corrections not verified.,False,False,True,,[],train,grp_5dea7427c65d07c7,priority_14,2026-09-17,51.4,298,,quarantine_compendium_provenance,1947OSB/GIN,https://nvlpubs.nist.gov/nistpubs/jres/39/jresv39n5p453_A1b.pdf,full_text_not_obtained,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rdr250199#csvline11175,compendium,mol_2e538f5e181d5946,"InChI=1S/C10H22O/c1-2-3-4-5-6-7-8-9-10-11/h11H,2-10H2,1H3",1-decanol,81.5,298,81500,C,,"[""1977MAN/SEL""]","RDR file 250199, CSV line 11175",0.8,unspecified_compendium_deviation,,,,unresolved,not_resolved_from_compendium_row,True,False,False,True,True,False,hold_full_text_not_obtained,"Bibliography resolved; primary tables, temperature corrections and liquid state not verified.",False,False,True,,[],train,grp_5dea7427c65d07c7,priority_14,2026-09-17,81.5,298,0.8,quarantine_compendium_provenance,1977MAN/SEL,https://doi.org/10.1016/0021-9614(77)90202-6,full_text_not_obtained,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rdr250199#csvline11490,compendium,mol_c1c12a449ac15fd2,"InChI=1S/C11H21N/c1-2-3-4-5-6-7-8-9-10-11-12/h2-10H2,1H3",Undecanonitrile,71.1,298,71100,C,,"[""1977STRI/SUN""]","RDR file 250199, CSV line 11490",0.1,unspecified_compendium_deviation,,,,unresolved,not_resolved_from_compendium_row,True,False,False,True,True,False,hold_full_text_not_obtained,Bibliographic lead resolved with matching authors and nitrile subject; primary tables not obtained.,False,False,True,,[],train,grp_5dea7427c65d07c7,priority_14,2026-09-17,71.1,298,0.1,quarantine_compendium_provenance,1977STRI/SUN,https://doi.org/10.1016/0021-9614(77)90223-3,full_text_not_obtained,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rdr250199#csvline1154,compendium,mol_b4b87befe28d84ce,"InChI=1S/C2H6O/c1-2-3/h3H,2H2,1H3",ethanol,42.300240,298.15,42300.240000,electrical_compensation_vaporization_calorimetry,10.3891/acta.chem.scand.20-0544,"[""1966WAD""]",DOI 10.3891/acta.chem.scand.20-0544; p.545; Table 1; Ethanol,0.083680,estimated_total_including_systematics_coverage_unspecified,,,,direct_measurement_temperature_restored_from_primary_source,liquid_to_real_vapor_at_saturation,True,False,True,True,True,True,approve_primary_calorimetry,primary_table_methods_identity_state_uncertainty_and_lineage_verified,True,True,True,,[],train,grp_5dea7427c65d07c7,priority_14,2026-09-17,42.3,298,0.1,quarantine_compendium_provenance,1966WAD,https://actachemscand.ki.ku.dk/pdf/acta_vol_20_p0544-0552.pdf,full_primary_review,1966WAD,Ethanol,10.11,0.02,kcal/mol_defined_calorie,4.1840,25.00,298.15,545,1,C,CCO,,,True,ff83a8bdaad3652c26c4b681614e9713a87e7cf6874b14cd223be1e1ef58eb2c,,,True,True,measurement,False,False,True,False,False,5,cal_771372caacf6848096cf,OpenAI Codex; no independent human sign-off
rdr250199#csvline1196,compendium,mol_8af87cc50053180a,InChI=1S/C2H6S/c1-3-2/h1-2H3,dimethyl sulfide,27.9,298,27900,C,,"[""1989VOR/KLY""]","RDR file 250199, CSV line 1196",0.6,unspecified_compendium_deviation,,,,unresolved,not_resolved_from_compendium_row,True,False,False,True,True,False,hold_full_text_not_obtained,Bibliographic lead in NIST WebBook; original paper not obtained.,False,False,True,,[],train,grp_5dea7427c65d07c7,priority_14,2026-09-17,27.9,298,0.6,quarantine_compendium_provenance,1989VOR/KLY,https://webbook.nist.gov/cgi/cbook.cgi?ID=C75183&Type=HVAP,full_text_not_obtained,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rdr250199#csvline1218,compendium,mol_28d861e75826cef3,InChI=1S/C2H6S2/c1-3-4-2/h1-2H3,dimethyl disulfide,38.5,298,38500,C,,"[""1989VOR/KLY""]","RDR file 250199, CSV line 1218",0.6,unspecified_compendium_deviation,,,,unresolved,not_resolved_from_compendium_row,True,False,False,True,True,False,hold_full_text_not_obtained,Bibliographic lead in NIST WebBook; original paper not obtained.,False,False,True,,[],train,grp_5dea7427c65d07c7,priority_14,2026-09-17,38.5,298,0.6,quarantine_compendium_provenance,1989VOR/KLY,https://webbook.nist.gov/cgi/cbook.cgi?ID=C75183&Type=HVAP,full_text_not_obtained,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rdr250199#csvline12241,compendium,mol_f23ee274fe9afdfa,"InChI=1S/C12H23N/c1-2-3-4-5-6-7-8-9-10-11-12-13/h2-11H2,1H3",Lauronitrile,76.1,298,76100,C,,"[""1977STRI/SUN""]","RDR file 250199, CSV line 12241",0.1,unspecified_compendium_deviation,,,,unresolved,not_resolved_from_compendium_row,True,False,False,True,True,False,hold_full_text_not_obtained,Bibliographic lead resolved with matching authors and nitrile subject; primary tables not obtained.,False,False,True,,[],train,grp_5dea7427c65d07c7,priority_14,2026-09-17,76.1,298,0.1,quarantine_compendium_provenance,1977STRI/SUN,https://doi.org/10.1016/0021-9614(77)90223-3,full_text_not_obtained,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rdr250199#csvline12322,compendium,mol_d079a9561d9d2641,"InChI=1S/C12H24O2/c1-3-4-5-6-7-8-9-10-11-12(13)14-2/h3-11H2,1-2H3",Methyl undecanoate,71.4,298,71400,C,,"[""1977MAN/SEL""]","RDR file 250199, CSV line 12322",0.3,unspecified_compendium_deviation,,,,unresolved,not_resolved_from_compendium_row,True,False,False,True,True,False,hold_full_text_not_obtained,"Bibliography resolved; primary tables, temperature corrections and liquid state not verified.",False,False,True,,[],train,grp_5dea7427c65d07c7,priority_14,2026-09-17,71.4,298,0.3,quarantine_compendium_provenance,1977MAN/SEL,https://doi.org/10.1016/0021-9614(77)90202-6,full_text_not_obtained,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
