priority,reference_code,new_candidate_training_molecules,cumulative_candidate_training_molecules,new_molecule_ids_json,certified_molecules_from_this_plan,interpretation
1,1966WAD,18,18,"[""mol_212f24f877214356"", ""mol_2465ec339bda2cbb"", ""mol_39beef09cdd1ae08"", ""mol_435971c8aa9ce0da"", ""mol_478c9e57637d58f1"", ""mol_502267b1d358ae7d"", ""mol_5fa3d4f920d98423"", ""mol_670136e04246f1d5"", ""mol_6dc54388549b234e"", ""mol_6ea740b63f4d7f2b"", ""mol_754b018a16a84522"", ""mol_83a135e5c50b66c1"", ""mol_8b6a2383c538f690"", ""mol_a3ec1070c8366fe2"", ""mol_b4b87befe28d84ce"", ""mol_b8293313f61ea38f"", ""mol_c30b4ae49b848357"", ""mol_e55299b0f2600cdb""]",0,potential source coverage only; labels may fail primary-methods review
2,1947OSB/GIN,14,32,"[""mol_03247da988422eaf"", ""mol_2ea49b3823ebd7ad"", ""mol_3147d9e632f76065"", ""mol_3fd637a4d667fe51"", ""mol_913f04ec4de50c29"", ""mol_a3ab0bd2d4d80422"", ""mol_af4829eb52c939fe"", ""mol_b1820f534fb61402"", ""mol_b44b37c017007981"", ""mol_b94bab3d5b62c755"", ""mol_d395bc83f11503fd"", ""mol_d40206d67276aa8c"", ""mol_e983a25bd52a944d"", ""mol_eb0e7cd1593e34a5""]",0,potential source coverage only; labels may fail primary-methods review
3,1977MAN/SEL,12,44,"[""mol_2c8fece1c354948f"", ""mol_2e538f5e181d5946"", ""mol_41edcf15887aae47"", ""mol_4ffa7abfb5a2e402"", ""mol_5e1a76b3fc001a63"", ""mol_71d239be146a61dd"", ""mol_a39fe39f3d910b4e"", ""mol_a557d965b4ca95e1"", ""mol_c24403b08adc6841"", ""mol_d079a9561d9d2641"", ""mol_e687bcf74e76aad5"", ""mol_fe38c48a132d8ec5""]",0,potential source coverage only; labels may fail primary-methods review
4,1968WAD,9,53,"[""mol_2d09dab0a2be3f90"", ""mol_528932d2a9841ae7"", ""mol_5a4aa50dd3cafc66"", ""mol_71ac04ebc05b85f5"", ""mol_77bbf943053f2531"", ""mol_7a5b68b203cc6270"", ""mol_8411a1787a17bdb0"", ""mol_b633c02df2e0c63b"", ""mol_d2d85289da26a082""]",0,potential source coverage only; labels may fail primary-methods review
5,1969WAD,7,60,"[""mol_784ee3742c50210b"", ""mol_7e0d1a628651aee9"", ""mol_969f34406f44f7e7"", ""mol_b4ec50115958b3dd"", ""mol_cdcd3722df880b7b"", ""mol_cdea8ee7666036ab"", ""mol_e9bda82626d344ab""]",0,potential source coverage only; labels may fail primary-methods review
6,1980MAJ/WAG,7,67,"[""mol_024c11ca89792376"", ""mol_4e6567a0dc6bd494"", ""mol_6a1b88d7d4729d66"", ""mol_896a74ad0b2a7fde"", ""mol_a6ed1653bde80123"", ""mol_e82f68770fb0a3fb"", ""mol_fc1211201dbfeedf""]",0,potential source coverage only; labels may fail primary-methods review
7,1981GAT/STR,6,73,"[""mol_241178e06777b8f6"", ""mol_2f2b484f1c3d108f"", ""mol_70e48880798be543"", ""mol_8568098f87e46d1f"", ""mol_bcfe0436200b409a"", ""mol_e36df2c2d963afd3""]",0,potential source coverage only; labels may fail primary-methods review
8,1926MAT,5,78,"[""mol_239cb7e490ad2a91"", ""mol_253d8d3c7e0ad521"", ""mol_5acfd4736e755185"", ""mol_9250348909aba0f8"", ""mol_dd7217c8aa001588""]",0,potential source coverage only; labels may fail primary-methods review
9,1977STRI/SUN,4,82,"[""mol_30519df461efd318"", ""mol_c1c12a449ac15fd2"", ""mol_ea37acee7bc3d9f6"", ""mol_f23ee274fe9afdfa""]",0,potential source coverage only; labels may fail primary-methods review
10,1980MAJ/SVA,4,86,"[""mol_520d932204fca4b7"", ""mol_69df6d03bf2d6749"", ""mol_c555c47fe3d2bf7e"", ""mol_f45d44d06aa6449e""]",0,potential source coverage only; labels may fail primary-methods review
