priority,reference_code,candidate_rows,candidate_molecules,approved_rows,held_rows,unapproved_molecules_reachable,review_status,candidate_dois_json,primary_url
1,1966WAD,18,18,18,0,0,full_primary_review,"[""10.3891/acta.chem.scand.20-0544""]",https://actachemscand.ki.ku.dk/pdf/acta_vol_20_p0544-0552.pdf
2,1947OSB/GIN,14,14,0,14,14,primary_table_verified_ancillary_lineage_hold,"[""10.6028/jres.039.031""]",https://nistdigitalarchives.contentdm.oclc.org/digital/api/collection/p16009coll6/id/118316/download
3,1977MAN/SEL,13,13,0,13,12,full_text_not_obtained,"[""10.1016/0021-9614(77)90202-6""]",https://doi.org/10.1016/0021-9614(77)90202-6
4,1968WAD,10,10,10,0,0,full_primary_review,"[""10.3891/acta.chem.scand.22-2438""]",https://actachemscand.ki.ku.dk/pdf/acta_vol_22_p2438-2444.pdf
5,1969WAD,7,7,6,1,1,full_primary_review,"[""10.3891/acta.chem.scand.23-2061""]",https://actachemscand.ki.ku.dk/pdf/acta_vol_23_p2061-2064.pdf
6,1980MAJ/WAG,31,7,0,31,7,full_text_not_obtained,"[""10.1016/0021-9614(80)90152-4""]",https://doi.org/10.1016/0021-9614(80)90152-4
7,1981GAT/STR,8,8,0,8,7,abstract_only,"[""10.1007/BF00653098""]",https://doi.org/10.1007/BF00653098
8,1926MAT,12,8,0,12,5,full_text_not_obtained,"[""10.1021/ja01414a002""]",https://doi.org/10.1021/ja01414a002
9,1977STRI/SUN,4,4,0,4,4,full_text_not_obtained,"[""10.1016/0021-9614(77)90223-3""]",https://doi.org/10.1016/0021-9614(77)90223-3
10,1980MAJ/SVA,24,5,0,24,4,full_text_not_obtained,"[""10.1016/0021-9614(80)90028-2""]",https://doi.org/10.1016/0021-9614(80)90028-2
11,1985MAJ/SVO2,21,5,0,21,4,ambiguous_reference_code,"[""10.1016/0378-3812(85)90026-3"", ""10.1016/0021-9614(85)90133-8""]",
12,1989VOR/KLY,4,4,0,4,4,full_text_not_obtained,[],https://webbook.nist.gov/cgi/cbook.cgi?ID=C75183&Type=HVAP
13,1968PLA/WIL,4,4,0,4,3,reference_assignment_unresolved,"[""10.1021/ja01012a019""]",https://doi.org/10.1021/ja01012a019
14,1970HOW/WAD,4,3,3,1,0,full_primary_review,"[""10.3891/acta.chem.scand.24-0145""]",https://actachemscand.ki.ku.dk/pdf/acta_vol_24_p0145-0149.pdf
15,1971KUS/WAD,3,3,3,0,0,full_primary_review,"[""10.3891/acta.chem.scand.25-0219""]",https://actachemscand.ki.ku.dk/pdf/acta_vol_25_p0219-0224.pdf
18,1970KUS/WAD,2,2,2,0,0,full_primary_review,"[""10.3891/acta.chem.scand.24-2037""]",https://actachemscand.ki.ku.dk/pdf/acta_vol_24_p2037-2042.pdf
