record_id,molecule_id,name,split,frozen_pressure_rows,frozen_pressure_unique_dois,frozen_pressure_T_min_K,frozen_pressure_T_max_K,frozen_pressure_dois_json,overlaps_nist_measurement_doi,overlaps_any_archival_document_doi,partition_bridge_detected,conclusion
rdr250199#csvline10004,mol_3fd637a4d667fe51,nonane,train,12,5,322.59,371.37,"[""10.1016/j.fluid.2007.06.001"",""10.1016/j.fluid.2009.09.024"",""10.1021/acs.jced.7b00875"",""10.1021/je030222n"",""10.1021/je100832h""]",False,False,False,No frozen pressure DOI overlap and the molecule remains in train; this does not make published L pressure-independent.
rdr250199#csvline11064,mol_a3ab0bd2d4d80422,decane,train,83,6,276.76,390.21,"[""10.1021/acs.jced.6b00523"",""10.1021/acs.jced.7b00875"",""10.1021/acs.jced.8b00125"",""10.1021/je100832h"",""10.1021/je400551d"",""10.1021/je7001122""]",False,False,False,No frozen pressure DOI overlap and the molecule remains in train; this does not make published L pressure-independent.
rdr250199#csvline5075,mol_b1820f534fb61402,benzene,train,15,5,283.15,308.15,"[""10.1016/j.fluid.2004.02.021"",""10.1016/j.fluid.2005.07.008"",""10.1016/j.fluid.2014.03.003"",""10.1016/j.jct.2004.01.001"",""10.1021/acs.jced.5b00760""]",False,False,False,No frozen pressure DOI overlap and the molecule remains in train; this does not make published L pressure-independent.
rdr250199#csvline5568,mol_e983a25bd52a944d,cyclohexane,train,72,14,263.15,308.15,"[""10.1016/j.fluid.2008.06.006"",""10.1016/j.fluid.2014.04.004"",""10.1016/j.fluid.2015.03.033"",""10.1016/j.fluid.2018.04.009"",""10.1016/j.jct.2010.01.016"",""10.1016/j.jct.2012.07.005"",""10.1021/acs.jced.8b00125"",""10.1021/acs.jced.8b00765"",""10.1021/je025621h"",""10.1021/je049902w"",""10.1021/je060184i"",""10.1021/je200655s"",""10.1021/je4004993"",""10.1021/je900050z""]",False,False,False,No frozen pressure DOI overlap and the molecule remains in train; this does not make published L pressure-independent.
rdr250199#csvline6038,mol_2ea49b3823ebd7ad,hexane,train,5,4,288.15,300.15,"[""10.1021/acs.jced.7b00836"",""10.1021/je100832h"",""10.1021/je500116z"",""10.1021/je501106d""]",False,False,False,No frozen pressure DOI overlap and the molecule remains in train; this does not make published L pressure-independent.
rdr250199#csvline6924,mol_b44b37c017007981,toluene,train,111,25,253.83,335.25,"[""10.1016/j.fluid.2005.05.003"",""10.1016/j.fluid.2005.11.016"",""10.1016/j.fluid.2005.11.026"",""10.1016/j.fluid.2007.03.017"",""10.1016/j.fluid.2009.09.024"",""10.1016/j.fluid.2012.01.008"",""10.1016/j.fluid.2014.03.003"",""10.1016/j.fluid.2014.11.010"",""10.1016/j.fluid.2015.03.033"",""10.1016/j.fluid.2016.05.032"",""10.1016/j.fluid.2017.04.014"",""10.1016/j.jct.2004.01.001"",""10.1016/j.jct.2008.09.020"",""10.1016/j.tca.2019.178413"",""10.1021/acs.jced.5b00760"",""10.1021/acs.jced.7b00236"",""10.1021/acs.jced.7b00599"",""10.1021/je049867t"",""10.1021/je050316s"",""10.1021/je0602115"",""10.1021/je200655s"",""10.1021/je200840e"",""10.1021/je201284y"",""10.1021/je400510j"",""10.1021/je800888n""]",False,False,False,No frozen pressure DOI overlap and the molecule remains in train; this does not make published L pressure-independent.
rdr250199#csvline8244,mol_af4829eb52c939fe,"1,2-dimethylbenzene",train,30,9,298.15,365.15,"[""10.1016/j.fluid.2009.09.024"",""10.1016/j.fluid.2009.12.002"",""10.1016/j.fluid.2013.10.012"",""10.1016/j.fluid.2014.03.003"",""10.1016/j.fluid.2016.05.032"",""10.1016/j.jct.2004.01.001"",""10.1016/j.tca.2015.04.011"",""10.1021/je050523s"",""10.1021/je100019r""]",False,False,False,No frozen pressure DOI overlap and the molecule remains in train; this does not make published L pressure-independent.
rdr250199#csvline8257,mol_d40206d67276aa8c,"1,3-dimethylbenzene",train,39,8,263.75,360.42,"[""10.1016/j.fluid.2007.03.017"",""10.1016/j.fluid.2009.09.024"",""10.1016/j.fluid.2009.12.002"",""10.1016/j.fluid.2013.10.012"",""10.1016/j.fluid.2014.03.003"",""10.1016/j.fluid.2016.05.032"",""10.1016/j.jct.2004.01.001"",""10.1021/je050523s""]",False,False,False,No frozen pressure DOI overlap and the molecule remains in train; this does not make published L pressure-independent.
rdr250199#csvline8284,mol_eb0e7cd1593e34a5,"1,4-dimethylbenzene",train,25,6,298.15,359.49,"[""10.1016/j.fluid.2009.12.002"",""10.1016/j.fluid.2013.10.012"",""10.1016/j.fluid.2014.03.003"",""10.1016/j.fluid.2016.05.032"",""10.1016/j.jct.2004.01.001"",""10.1021/je050523s""]",False,False,False,No frozen pressure DOI overlap and the molecule remains in train; this does not make published L pressure-independent.
rdr250199#csvline8303,mol_b94bab3d5b62c755,ethylbenzene,train,31,4,305.49,357.7,"[""10.1016/j.fluid.2014.03.003"",""10.1016/j.fluid.2016.05.032"",""10.1021/je050523s"",""10.1021/je200098d""]",False,False,False,No frozen pressure DOI overlap and the molecule remains in train; this does not make published L pressure-independent.
