record_id,molecule_id,inchi,name,primary_name,split,component_id,T_K_model_coordinate,T_K_historical_absolute_for_source_arithmetic,gamma_int_J_g,gamma_abs_kJ_mol,molar_mass_g_mol,energy_conversion_abs_J_per_int_J,molar_volume_25C_mL_mol,molar_volume_25C_m3_mol,volume_source_key,volume_source_locator,constraint_equation,pressure_derivative_definition,constraint_ready,direct_enthalpy_label,primary_training_label,evaluation_label,held_out_pressure_targets_permitted,training_visible_pressure_or_model_derivative_only,uncertainty_status,source_doi,source_locator,tier_note
rdr250199#csvline10004,mol_3fd637a4d667fe51,"InChI=1S/C9H20/c1-3-5-7-9-8-6-4-2/h3-9H2,1-2H3",nonane,n-Nonane,train,grp_5dea7427c65d07c7,298.15,298.16,362.04,46.4425501165794,128.259,1.000165,179.662,0.000179662,NBS_CIRCULAR_461,"Table 4b (Part 1), printed p.89, PDF p.107",gamma_kJ_mol = H_vap_model_kJ_mol + T_K*V_m3_mol*dp_sat_dT_Pa_K/1000,dp_sat/dT = p_sat*d(ln p_sat)/dT,True,False,False,False,False,True,No per-row gamma uncertainty reported; do not invent sigma or inverse-variance weights.,10.6028/jres.039.031,DOI 10.6028/jres.039.031; p.466; Table 1; n-Nonane,Direct electrical-energy-per-withdrawn-mass observable; use only as a coupled physics residual after the strict project gate is satisfied or explicitly revised.
rdr250199#csvline11064,mol_a3ab0bd2d4d80422,"InChI=1S/C10H22/c1-3-5-7-9-10-8-6-4-2/h3-10H2,1-2H3",decane,n-Decane,train,grp_5dea7427c65d07c7,298.15,298.16,360.97,51.3694519812743,142.286,1.000165,195.707053557382,0.000195707053557382,ICT_VOL3,"Density equation and n-decane row: printed pp.27 and 30, PDF pp.40 and 43",gamma_kJ_mol = H_vap_model_kJ_mol + T_K*V_m3_mol*dp_sat_dT_Pa_K/1000,dp_sat/dT = p_sat*d(ln p_sat)/dT,True,False,False,False,False,True,No per-row gamma uncertainty reported; do not invent sigma or inverse-variance weights.,10.6028/jres.039.031,DOI 10.6028/jres.039.031; p.466; Table 1; n-Decane,Direct electrical-energy-per-withdrawn-mass observable; use only as a coupled physics residual after the strict project gate is satisfied or explicitly revised.
rdr250199#csvline5075,mol_b1820f534fb61402,InChI=1S/C6H6/c1-2-4-6-5-3-1/h1-6H,benzene,Benzene,train,grp_5dea7427c65d07c7,298.15,298.16,433.47,33.8656624924707,78.114,1.000165,89.401,0.000089401,NBS_CIRCULAR_461,"Table 5b, printed p.91, PDF p.109",gamma_kJ_mol = H_vap_model_kJ_mol + T_K*V_m3_mol*dp_sat_dT_Pa_K/1000,dp_sat/dT = p_sat*d(ln p_sat)/dT,True,False,False,False,False,True,No per-row gamma uncertainty reported; do not invent sigma or inverse-variance weights.,10.6028/jres.039.031,DOI 10.6028/jres.039.031; p.468; Table 1; Benzene,Direct electrical-energy-per-withdrawn-mass observable; use only as a coupled physics residual after the strict project gate is satisfied or explicitly revised.
rdr250199#csvline5568,mol_e983a25bd52a944d,InChI=1S/C6H12/c1-2-4-6-5-3-1/h1-6H2,cyclohexane,Cyclohexane,train,grp_5dea7427c65d07c7,298.15,298.16,392.72,33.0575542366056,84.162,1.000165,108.744,0.000108744,NBS_CIRCULAR_461,"Table 7b, printed p.93, PDF p.111",gamma_kJ_mol = H_vap_model_kJ_mol + T_K*V_m3_mol*dp_sat_dT_Pa_K/1000,dp_sat/dT = p_sat*d(ln p_sat)/dT,True,False,False,False,False,True,No per-row gamma uncertainty reported; do not invent sigma or inverse-variance weights.,10.6028/jres.039.031,DOI 10.6028/jres.039.031; p.467; Table 1; Cyclohexane,Direct electrical-energy-per-withdrawn-mass observable; use only as a coupled physics residual after the strict project gate is satisfied or explicitly revised.
rdr250199#csvline6038,mol_2ea49b3823ebd7ad,"InChI=1S/C6H14/c1-3-5-6-4-2/h3-6H2,1-2H3",hexane,n-Hexane,train,grp_5dea7427c65d07c7,298.15,298.16,366.44,31.5842768659428,86.178,1.000165,131.596,0.000131596,NBS_CIRCULAR_461,"Table 2b (Part 1), printed p.86, PDF p.104",gamma_kJ_mol = H_vap_model_kJ_mol + T_K*V_m3_mol*dp_sat_dT_Pa_K/1000,dp_sat/dT = p_sat*d(ln p_sat)/dT,True,False,False,False,False,True,No per-row gamma uncertainty reported; do not invent sigma or inverse-variance weights.,10.6028/jres.039.031,DOI 10.6028/jres.039.031; p.466; Table 1; n-Hexane,Direct electrical-energy-per-withdrawn-mass observable; use only as a coupled physics residual after the strict project gate is satisfied or explicitly revised.
rdr250199#csvline6924,mol_b44b37c017007981,"InChI=1S/C7H8/c1-7-5-3-2-4-6-7/h2-6H,1H3",toluene,Toluene,train,grp_5dea7427c65d07c7,298.15,298.16,412.41,38.00613978851865,92.141,1.000165,106.846,0.000106846,NBS_CIRCULAR_461,"Table 5b, printed p.91, PDF p.109",gamma_kJ_mol = H_vap_model_kJ_mol + T_K*V_m3_mol*dp_sat_dT_Pa_K/1000,dp_sat/dT = p_sat*d(ln p_sat)/dT,True,False,False,False,False,True,No per-row gamma uncertainty reported; do not invent sigma or inverse-variance weights.,10.6028/jres.039.031,DOI 10.6028/jres.039.031; p.468; Table 1; Toluene,Direct electrical-energy-per-withdrawn-mass observable; use only as a coupled physics residual after the strict project gate is satisfied or explicitly revised.
rdr250199#csvline8244,mol_af4829eb52c939fe,"InChI=1S/C8H10/c1-7-5-3-4-6-8(7)2/h3-6H,1-2H3","1,2-dimethylbenzene",o-Xylene,train,grp_5dea7427c65d07c7,298.15,298.16,409.1,43.440495299252,106.168,1.000165,121.193,0.000121193,NBS_CIRCULAR_461,"Table 5b, printed p.91, PDF p.109",gamma_kJ_mol = H_vap_model_kJ_mol + T_K*V_m3_mol*dp_sat_dT_Pa_K/1000,dp_sat/dT = p_sat*d(ln p_sat)/dT,True,False,False,False,False,True,No per-row gamma uncertainty reported; do not invent sigma or inverse-variance weights.,10.6028/jres.039.031,DOI 10.6028/jres.039.031; p.468; Table 1; o-Xylene,Direct electrical-energy-per-withdrawn-mass observable; use only as a coupled physics residual after the strict project gate is satisfied or explicitly revised.
rdr250199#csvline8257,mol_d40206d67276aa8c,"InChI=1S/C8H10/c1-7-4-3-5-8(2)6-7/h3-6H,1-2H3","1,3-dimethylbenzene",m-Xylene,train,grp_5dea7427c65d07c7,298.15,298.16,401.77,42.6621554543644,106.168,1.000165,123.456,0.000123456,NBS_CIRCULAR_461,"Table 5b, printed p.91, PDF p.109",gamma_kJ_mol = H_vap_model_kJ_mol + T_K*V_m3_mol*dp_sat_dT_Pa_K/1000,dp_sat/dT = p_sat*d(ln p_sat)/dT,True,False,False,False,False,True,No per-row gamma uncertainty reported; do not invent sigma or inverse-variance weights.,10.6028/jres.039.031,DOI 10.6028/jres.039.031; p.468; Table 1; m-Xylene,Direct electrical-energy-per-withdrawn-mass observable; use only as a coupled physics residual after the strict project gate is satisfied or explicitly revised.
rdr250199#csvline8284,mol_eb0e7cd1593e34a5,"InChI=1S/C8H10/c1-7-3-5-8(2)6-4-7/h3-6H,1-2H3","1,4-dimethylbenzene",p-Xylene,train,grp_5dea7427c65d07c7,298.15,298.16,399.14,42.3828875427608,106.168,1.000165,123.919,0.000123919,NBS_CIRCULAR_461,"Table 5b, printed p.91, PDF p.109",gamma_kJ_mol = H_vap_model_kJ_mol + T_K*V_m3_mol*dp_sat_dT_Pa_K/1000,dp_sat/dT = p_sat*d(ln p_sat)/dT,True,False,False,False,False,True,No per-row gamma uncertainty reported; do not invent sigma or inverse-variance weights.,10.6028/jres.039.031,DOI 10.6028/jres.039.031; p.469; Table 1; p-Xylene,Direct electrical-energy-per-withdrawn-mass observable; use only as a coupled physics residual after the strict project gate is satisfied or explicitly revised.
rdr250199#csvline8303,mol_b94bab3d5b62c755,"InChI=1S/C8H10/c1-2-8-6-4-3-5-7-8/h3-7H,2H2,1H3",ethylbenzene,Ethylbenzene (pure),train,grp_5dea7427c65d07c7,298.15,298.16,397.94,42.2554649214968,106.168,1.000165,123.064,0.000123064,NBS_CIRCULAR_461,"Table 5b, printed p.91, PDF p.109",gamma_kJ_mol = H_vap_model_kJ_mol + T_K*V_m3_mol*dp_sat_dT_Pa_K/1000,dp_sat/dT = p_sat*d(ln p_sat)/dT,True,False,False,False,False,True,No per-row gamma uncertainty reported; do not invent sigma or inverse-variance weights.,10.6028/jres.039.031,DOI 10.6028/jres.039.031; p.469; Table 1; Ethylbenzene (pure),Direct electrical-energy-per-withdrawn-mass observable; use only as a coupled physics residual after the strict project gate is satisfied or explicitly revised.
rdr250199#csvline8700,mol_03247da988422eaf,"InChI=1S/C8H16/c1-2-8-6-4-3-5-7-8/h8H,2-7H2,1H3",ethylcyclohexane,Ethylcyclohexane,train,grp_5dea7427c65d07c7,298.15,298.16,360.68,40.4807451010352,112.216,1.000165,143.141,0.000143141,NBS_CIRCULAR_461,"Table 7b, printed p.93, PDF p.111",gamma_kJ_mol = H_vap_model_kJ_mol + T_K*V_m3_mol*dp_sat_dT_Pa_K/1000,dp_sat/dT = p_sat*d(ln p_sat)/dT,True,False,False,False,False,True,No per-row gamma uncertainty reported; do not invent sigma or inverse-variance weights.,10.6028/jres.039.031,DOI 10.6028/jres.039.031; p.467; Table 1; Ethylcyclohexane,Direct electrical-energy-per-withdrawn-mass observable; use only as a coupled physics residual after the strict project gate is satisfied or explicitly revised.
rdr250199#csvline9038,mol_913f04ec4de50c29,"InChI=1S/C8H18/c1-3-5-7-8-6-4-2/h3-8H2,1-2H3",octane,n-Octane,train,grp_5dea7427c65d07c7,298.15,298.16,363.16,41.4913380613648,114.232,1.000165,163.516,0.000163516,NBS_CIRCULAR_461,"Table 3b, printed p.88, PDF p.106",gamma_kJ_mol = H_vap_model_kJ_mol + T_K*V_m3_mol*dp_sat_dT_Pa_K/1000,dp_sat/dT = p_sat*d(ln p_sat)/dT,True,False,False,False,False,True,No per-row gamma uncertainty reported; do not invent sigma or inverse-variance weights.,10.6028/jres.039.031,DOI 10.6028/jres.039.031; p.466; Table 1; n-Octane,Direct electrical-energy-per-withdrawn-mass observable; use only as a coupled physics residual after the strict project gate is satisfied or explicitly revised.
rdr250199#csvline9070,mol_d395bc83f11503fd,"InChI=1S/C8H18/c1-7(2)6-8(3,4)5/h7H,6H2,1-5H3","2,2,4-trimethylpentane","2,2,4-Trimethylpentane",train,grp_5dea7427c65d07c7,298.15,298.16,307.62,35.1458459478936,114.232,1.000165,166.069,0.000166069,NBS_CIRCULAR_461,"Table 3b, printed p.88, PDF p.106",gamma_kJ_mol = H_vap_model_kJ_mol + T_K*V_m3_mol*dp_sat_dT_Pa_K/1000,dp_sat/dT = p_sat*d(ln p_sat)/dT,True,False,False,False,False,True,No per-row gamma uncertainty reported; do not invent sigma or inverse-variance weights.,10.6028/jres.039.031,"DOI 10.6028/jres.039.031; p.465; Table 1; 2,2,4-Trimethylpentane",Direct electrical-energy-per-withdrawn-mass observable; use only as a coupled physics residual after the strict project gate is satisfied or explicitly revised.
rdr250199#csvline9607,mol_3147d9e632f76065,"InChI=1S/C9H12/c1-7-4-5-8(2)9(3)6-7/h4-6H,1-3H3","1,2,4-trimethylbenzene","1,2,4-Trimethylbenzene",train,grp_5dea7427c65d07c7,298.15,298.16,398.78,47.9392707747465,120.195,1.000165,137.86,0.00013786,NBS_CIRCULAR_461,"Table 5b, printed p.91, PDF p.109",gamma_kJ_mol = H_vap_model_kJ_mol + T_K*V_m3_mol*dp_sat_dT_Pa_K/1000,dp_sat/dT = p_sat*d(ln p_sat)/dT,True,False,False,False,False,True,No per-row gamma uncertainty reported; do not invent sigma or inverse-variance weights.,10.6028/jres.039.031,"DOI 10.6028/jres.039.031; p.469; Table 1; 1,2,4-Trimethylbenzene",Direct electrical-energy-per-withdrawn-mass observable; use only as a coupled physics residual after the strict project gate is satisfied or explicitly revised.
