molecule_a,molecule_b,kind,key,similarity
mol_f51a4721c0180b07,mol_7f16353bb5c6b431,same_connectivity,LPSXSORODABQKT,
mol_b1600e1cb04e0ffb,mol_b89af8061b7557f6,same_connectivity,LZCLXQDLBQLTDK,
mol_0d2ad00dadcb0064,mol_8557db3d1a35156c,same_connectivity,XMGQYMWWDOXHJM,
mol_aa83aa52ed979dca,mol_71d5b9a9d56bd487,same_connectivity,XOKSLPVRUOBDEW,
mol_7f16353bb5c6b431,mol_f51a4721c0180b07,morgan_similarity_ge_threshold,ECFP4_2048_no_chirality,1.0
mol_8557db3d1a35156c,mol_0d2ad00dadcb0064,morgan_similarity_ge_threshold,ECFP4_2048_no_chirality,1.0
mol_71d5b9a9d56bd487,mol_aa83aa52ed979dca,morgan_similarity_ge_threshold,ECFP4_2048_no_chirality,1.0
mol_6cab4fbead32f0ef,mol_757f79c7ac5d216c,morgan_similarity_ge_threshold,ECFP4_2048_no_chirality,0.8095238095238095
mol_463cda24731eaedb,mol_2d51bd32961be5de,morgan_similarity_ge_threshold,ECFP4_2048_no_chirality,0.8
mol_acf575de292611d9,mol_b7d29ccd815de3fe,morgan_similarity_ge_threshold,ECFP4_2048_no_chirality,1.0
mol_17a72fa1b6a75538,mol_65b637e94cd66c7e,morgan_similarity_ge_threshold,ECFP4_2048_no_chirality,0.7857142857142857
mol_177310732327f8e6,mol_6e1072b3e8e99a61,morgan_similarity_ge_threshold,ECFP4_2048_no_chirality,1.0
mol_456cd661d7732899,mol_6d0384966495a309,morgan_similarity_ge_threshold,ECFP4_2048_no_chirality,0.8
mol_fb76be87032d9098,mol_9311eee845da4726,morgan_similarity_ge_threshold,ECFP4_2048_no_chirality,0.7894736842105263
mol_c1c12a449ac15fd2,mol_58541feb3e3ef432,morgan_similarity_ge_threshold,ECFP4_2048_no_chirality,1.0
mol_04b975dcc163284d,mol_6e1072b3e8e99a61,morgan_similarity_ge_threshold,ECFP4_2048_no_chirality,0.8
mol_04b975dcc163284d,mol_177310732327f8e6,morgan_similarity_ge_threshold,ECFP4_2048_no_chirality,0.8
mol_4199743daa2b7d43,mol_86789b7323092b84,morgan_similarity_ge_threshold,ECFP4_2048_no_chirality,1.0
mol_58c591d9024d1c78,mol_a3ab0bd2d4d80422,morgan_similarity_ge_threshold,ECFP4_2048_no_chirality,1.0
mol_3102cb64a36fdac1,mol_32e4362dde7a3ed7,morgan_similarity_ge_threshold,ECFP4_2048_no_chirality,1.0
mol_2a3bf002f33d68f6,mol_2d51bd32961be5de,morgan_similarity_ge_threshold,ECFP4_2048_no_chirality,0.7741935483870968
mol_2a3bf002f33d68f6,mol_463cda24731eaedb,morgan_similarity_ge_threshold,ECFP4_2048_no_chirality,0.9
mol_4425bf195a41c22d,mol_a69950d65071f1d9,morgan_similarity_ge_threshold,ECFP4_2048_no_chirality,1.0
mol_e62082959f534889,mol_b7d29ccd815de3fe,morgan_similarity_ge_threshold,ECFP4_2048_no_chirality,1.0
mol_e62082959f534889,mol_acf575de292611d9,morgan_similarity_ge_threshold,ECFP4_2048_no_chirality,1.0
mol_9da490861744c9f8,mol_6e1072b3e8e99a61,morgan_similarity_ge_threshold,ECFP4_2048_no_chirality,1.0
mol_9da490861744c9f8,mol_177310732327f8e6,morgan_similarity_ge_threshold,ECFP4_2048_no_chirality,1.0
mol_9da490861744c9f8,mol_04b975dcc163284d,morgan_similarity_ge_threshold,ECFP4_2048_no_chirality,0.8
mol_a05de3c299ebdca6,mol_6d0384966495a309,morgan_similarity_ge_threshold,ECFP4_2048_no_chirality,0.7142857142857143
mol_a05de3c299ebdca6,mol_3f0db888fe369723,morgan_similarity_ge_threshold,ECFP4_2048_no_chirality,0.7272727272727273
mol_01fe71f6f9ac3752,mol_6d0384966495a309,morgan_similarity_ge_threshold,ECFP4_2048_no_chirality,0.8
mol_01fe71f6f9ac3752,mol_456cd661d7732899,morgan_similarity_ge_threshold,ECFP4_2048_no_chirality,0.9
mol_f23ee274fe9afdfa,mol_58541feb3e3ef432,morgan_similarity_ge_threshold,ECFP4_2048_no_chirality,1.0
mol_f23ee274fe9afdfa,mol_c1c12a449ac15fd2,morgan_similarity_ge_threshold,ECFP4_2048_no_chirality,1.0
mol_d079a9561d9d2641,mol_6e1072b3e8e99a61,morgan_similarity_ge_threshold,ECFP4_2048_no_chirality,0.8
mol_d079a9561d9d2641,mol_177310732327f8e6,morgan_similarity_ge_threshold,ECFP4_2048_no_chirality,0.8
mol_d079a9561d9d2641,mol_04b975dcc163284d,morgan_similarity_ge_threshold,ECFP4_2048_no_chirality,1.0
mol_d079a9561d9d2641,mol_9da490861744c9f8,morgan_similarity_ge_threshold,ECFP4_2048_no_chirality,0.8
mol_4a28f84362f8850d,mol_86789b7323092b84,morgan_similarity_ge_threshold,ECFP4_2048_no_chirality,1.0
mol_4a28f84362f8850d,mol_4199743daa2b7d43,morgan_similarity_ge_threshold,ECFP4_2048_no_chirality,1.0
mol_fc2d93121de8a8dd,mol_757f79c7ac5d216c,morgan_similarity_ge_threshold,ECFP4_2048_no_chirality,0.8095238095238095
mol_fc2d93121de8a8dd,mol_6cab4fbead32f0ef,morgan_similarity_ge_threshold,ECFP4_2048_no_chirality,1.0
mol_304fa968ee31b51b,mol_6cab4fbead32f0ef,morgan_similarity_ge_threshold,ECFP4_2048_no_chirality,0.72
mol_304fa968ee31b51b,mol_4430dd0cb0a3c055,morgan_similarity_ge_threshold,ECFP4_2048_no_chirality,0.72
mol_304fa968ee31b51b,mol_a05de3c299ebdca6,morgan_similarity_ge_threshold,ECFP4_2048_no_chirality,0.7083333333333334
mol_304fa968ee31b51b,mol_01fe71f6f9ac3752,morgan_similarity_ge_threshold,ECFP4_2048_no_chirality,0.7083333333333334
mol_304fa968ee31b51b,mol_fc2d93121de8a8dd,morgan_similarity_ge_threshold,ECFP4_2048_no_chirality,0.72
mol_7a77950532c8e700,mol_a3ab0bd2d4d80422,morgan_similarity_ge_threshold,ECFP4_2048_no_chirality,1.0
mol_7a77950532c8e700,mol_58c591d9024d1c78,morgan_similarity_ge_threshold,ECFP4_2048_no_chirality,1.0
mol_77691d2337bfc619,mol_e1045e97e4815b23,morgan_similarity_ge_threshold,ECFP4_2048_no_chirality,0.7272727272727273
mol_cad807bef9abf402,mol_32e4362dde7a3ed7,morgan_similarity_ge_threshold,ECFP4_2048_no_chirality,1.0
mol_cad807bef9abf402,mol_3102cb64a36fdac1,morgan_similarity_ge_threshold,ECFP4_2048_no_chirality,1.0
mol_efa9f86fc8afad84,mol_a82c5379fe350441,morgan_similarity_ge_threshold,ECFP4_2048_no_chirality,1.0
mol_ab9c0dd96a4d0ed3,mol_b04b0d4c9f611351,morgan_similarity_ge_threshold,ECFP4_2048_no_chirality,0.95
mol_0dcdaa24497d41f8,mol_a69950d65071f1d9,morgan_similarity_ge_threshold,ECFP4_2048_no_chirality,1.0
mol_0dcdaa24497d41f8,mol_4425bf195a41c22d,morgan_similarity_ge_threshold,ECFP4_2048_no_chirality,1.0
mol_a10b91d37db2843a,mol_b7d29ccd815de3fe,morgan_similarity_ge_threshold,ECFP4_2048_no_chirality,1.0
mol_a10b91d37db2843a,mol_acf575de292611d9,morgan_similarity_ge_threshold,ECFP4_2048_no_chirality,1.0
mol_a10b91d37db2843a,mol_e62082959f534889,morgan_similarity_ge_threshold,ECFP4_2048_no_chirality,1.0
mol_c4ca44c810d45377,mol_2b7f8f6f183caf51,morgan_similarity_ge_threshold,ECFP4_2048_no_chirality,0.7894736842105263
mol_efd9aec2c69162b7,mol_456cd661d7732899,morgan_similarity_ge_threshold,ECFP4_2048_no_chirality,0.7727272727272727
