reference_code,candidate_dois_json,status
2003MAT/MIR,"[""10.1021/je025641j""]",conservative_grouping_only_not_source_certification
2003ZAI/VER,"[""10.1021/je025634v""]",conservative_grouping_only_not_source_certification
2007RIB/FRE,"[""10.1021/je060472e""]",conservative_grouping_only_not_source_certification
2007RIB/SAN,"[""10.1016/j.jct.2007.03.009""]",conservative_grouping_only_not_source_certification
2009MEL/PIM,"[""10.1016/j.jct.2008.12.015""]",conservative_grouping_only_not_source_certification
2009RIB/AMA,"[""10.1016/j.jct.2008.08.004"",""10.1016/j.jct.2008.09.013""]",conservative_grouping_only_not_source_certification
2009ZAI/PAU,"[""10.1021/je900093h""]",conservative_grouping_only_not_source_certification
2012SAM/NAZ,"[""10.1016/j.fluid.2012.08.003""]",conservative_grouping_only_not_source_certification
2013STE/FUL,"[""10.1016/j.jct.2013.01.009""]",conservative_grouping_only_not_source_certification
2014VER/EME,"[""10.1016/j.fluid.2014.07.029""]",conservative_grouping_only_not_source_certification
2015VER/SAZ,"[""10.1021/je500784s""]",conservative_grouping_only_not_source_certification
2015ZAI/PAU,"[""10.1016/j.jct.2015.07.028""]",conservative_grouping_only_not_source_certification
doi:10.1016/j.jct.2008.02.004,"[""10.1016/j.jct.2008.02.004""]",conservative_grouping_only_not_source_certification
doi:10.1016/j.jct.2008.04.010,"[""10.1016/j.jct.2008.04.010""]",conservative_grouping_only_not_source_certification
doi:10.1016/j.jct.2008.08.004,"[""10.1016/j.jct.2008.08.004""]",conservative_grouping_only_not_source_certification
doi:10.1016/j.jct.2008.12.015,"[""10.1016/j.jct.2008.12.015""]",conservative_grouping_only_not_source_certification
doi:10.1016/j.jct.2013.01.009,"[""10.1016/j.jct.2013.01.009""]",conservative_grouping_only_not_source_certification
doi:10.1016/j.jct.2015.07.028,"[""10.1016/j.jct.2015.07.028""]",conservative_grouping_only_not_source_certification
doi:10.1016/j.jct.2019.02.001,"[""10.1016/j.jct.2019.02.001""]",conservative_grouping_only_not_source_certification
doi:10.1021/je025634v,"[""10.1021/je025634v""]",conservative_grouping_only_not_source_certification
doi:10.1021/je025641j,"[""10.1021/je025641j""]",conservative_grouping_only_not_source_certification
doi:10.1021/je900093h,"[""10.1021/je900093h""]",conservative_grouping_only_not_source_certification
