molecule_id,inchi,source_name,source_inchikeys_json,rdkit_version,canonical_isomeric_smiles,rdkit_inchi,inchikey,connectivity_key,formula,fragments,net_formal_charge,contains_charged_atoms,radical_electrons,potential_stereo_count,unspecified_stereo_count,carboxylic_acid,exclusion_reasons,structure_eligible,physical_sample_identity_verified,component_id,split,has_calorimetry_candidate,has_cold_episode,pressure_rows_deduplicated,enthalpy_certified_count
mol_007fc427187d55ba,"InChI=1S/C8H16/c1-7(2)6-8(3,4)5/h1,6H2,2-5H3","2,4,4-trimethyl-1-pentene","[""FXNDIJDIPNCZQJ-UHFFFAOYSA-N""]",2025.09.6,C=C(C)CC(C)(C)C,"InChI=1S/C8H16/c1-7(2)6-8(3,4)5/h1,6H2,2-5H3",FXNDIJDIPNCZQJ-UHFFFAOYSA-N,FXNDIJDIPNCZQJ,C8H16,1,0,False,0,0,0,False,,True,False,grp_5dea7427c65d07c7,train,False,False,6,0
mol_01b986fbe8e4d3e5,"InChI=1S/C9H3F17O/c10-2(11,1-27)3(12,13)4(14,15)5(16,17)6(18,19)7(20,21)8(22,23)9(24,25)26/h27H,1H2","2,2,3,3,4,4,5,5,6,6,7,7,8,8,9,9,9-heptadecafluoro-1-nonanol","[""BSXJTDJJVULBTQ-UHFFFAOYSA-N""]",2025.09.6,OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,"InChI=1S/C9H3F17O/c10-2(11,1-27)3(12,13)4(14,15)5(16,17)6(18,19)7(20,21)8(22,23)9(24,25)26/h27H,1H2",BSXJTDJJVULBTQ-UHFFFAOYSA-N,BSXJTDJJVULBTQ,C9H3F17O,1,0,False,0,0,0,False,,True,False,grp_9dc3cc34781e7516,train,False,False,6,0
mol_01fe71f6f9ac3752,"InChI=1S/C12H22O4/c1-3-9-15-11(13)7-5-6-8-12(14)16-10-4-2/h3-10H2,1-2H3",dipropyl hexanedioate,"[""NKOUWLLFHNBUDW-UHFFFAOYSA-N""]",2025.09.6,CCCOC(=O)CCCCC(=O)OCCC,"InChI=1S/C12H22O4/c1-3-9-15-11(13)7-5-6-8-12(14)16-10-4-2/h3-10H2,1-2H3",NKOUWLLFHNBUDW-UHFFFAOYSA-N,NKOUWLLFHNBUDW,C12H22O4,1,0,False,0,0,0,False,,True,False,grp_5dea7427c65d07c7,train,False,True,15,0
mol_024c11ca89792376,"InChI=1S/C5H12O/c1-3-4-5-6-2/h3-5H2,1-2H3",butyl methyl ether,"[""CXBDYQVECUFKRK-UHFFFAOYSA-N""]",2025.09.6,CCCCOC,"InChI=1S/C5H12O/c1-3-4-5-6-2/h3-5H2,1-2H3",CXBDYQVECUFKRK-UHFFFAOYSA-N,CXBDYQVECUFKRK,C5H12O,1,0,False,0,0,0,False,,True,False,grp_5dea7427c65d07c7,train,True,False,13,0
mol_03247da988422eaf,"InChI=1S/C8H16/c1-2-8-6-4-3-5-7-8/h8H,2-7H2,1H3",ethylcyclohexane,"[""IIEWJVIFRVWJOD-UHFFFAOYSA-N""]",2025.09.6,CCC1CCCCC1,"InChI=1S/C8H16/c1-2-8-6-4-3-5-7-8/h8H,2-7H2,1H3",IIEWJVIFRVWJOD-UHFFFAOYSA-N,IIEWJVIFRVWJOD,C8H16,1,0,False,0,0,0,False,,True,False,grp_5dea7427c65d07c7,train,True,False,5,0
mol_038035dca3f815f6,"InChI=1S/C6H13NO/c1-4-7(5-2)6(3)8/h4-5H2,1-3H3","N,N-diethylacetamide","[""AJFDBNQQDYLMJN-UHFFFAOYSA-N""]",2025.09.6,CCN(CC)C(C)=O,"InChI=1S/C6H13NO/c1-4-7(5-2)6(3)8/h4-5H2,1-3H3",AJFDBNQQDYLMJN-UHFFFAOYSA-N,AJFDBNQQDYLMJN,C6H13NO,1,0,False,0,0,0,False,,True,False,grp_5dea7427c65d07c7,train,False,True,22,0
mol_045382ab2985ca01,"InChI=1S/C9H11NO/c1-10(2)9(11)8-6-4-3-5-7-8/h3-7H,1-2H3","N,N-dimethylbenzamide","[""IMNDHOCGZLYMRO-UHFFFAOYSA-N""]",2025.09.6,CN(C)C(=O)c1ccccc1,"InChI=1S/C9H11NO/c1-10(2)9(11)8-6-4-3-5-7-8/h3-7H,1-2H3",IMNDHOCGZLYMRO-UHFFFAOYSA-N,IMNDHOCGZLYMRO,C9H11NO,1,0,False,0,0,0,False,,True,False,grp_045382ab2985ca01,test,False,True,31,0
mol_046f2add717f4221,"InChI=1S/C6H7N/c7-6-4-2-1-3-5-6/h1-5H,7H2",aniline,"[""PAYRUJLWNCNPSJ-UHFFFAOYSA-N""]",2025.09.6,Nc1ccccc1,"InChI=1S/C6H7N/c7-6-4-2-1-3-5-6/h1-5H,7H2",PAYRUJLWNCNPSJ-UHFFFAOYSA-N,PAYRUJLWNCNPSJ,C6H7N,1,0,False,0,0,0,False,,True,False,grp_5dea7427c65d07c7,train,True,False,6,0
mol_047b0590b532ef16,"InChI=1S/C8H14N2/c1-3-4-6-10-7-5-9-8(10)2/h5,7H,3-4,6H2,1-2H3",1-butyl-2-methyl-1H-imidazole,"[""WHLZPGRDRYCVRQ-UHFFFAOYSA-N""]",2025.09.6,CCCCn1ccnc1C,"InChI=1S/C8H14N2/c1-3-4-6-10-7-5-9-8(10)2/h5,7H,3-4,6H2,1-2H3",WHLZPGRDRYCVRQ-UHFFFAOYSA-N,WHLZPGRDRYCVRQ,C8H14N2,1,0,False,0,0,0,False,,True,False,grp_4099771604350c09,test,False,True,26,0
mol_04968cd803835a04,"InChI=1S/C27H50O6/c1-4-7-10-13-16-19-25(28)31-22-24(33-27(30)21-18-15-12-9-6-3)23-32-26(29)20-17-14-11-8-5-2/h24H,4-23H2,1-3H3","1,2,3-propanetriol trioctanoate","[""VLPFTAMPNXLGLX-UHFFFAOYSA-N""]",2025.09.6,CCCCCCCC(=O)OCC(COC(=O)CCCCCCC)OC(=O)CCCCCCC,"InChI=1S/C27H50O6/c1-4-7-10-13-16-19-25(28)31-22-24(33-27(30)21-18-15-12-9-6-3)23-32-26(29)20-17-14-11-8-5-2/h24H,4-23H2,1-3H3",VLPFTAMPNXLGLX-UHFFFAOYSA-N,VLPFTAMPNXLGLX,C27H50O6,1,0,False,0,0,0,False,,True,False,grp_04968cd803835a04,test,False,False,4,0
