record_id,origin,molecule_id,split,source_doi,reference_codes_json,H_kJ_mol,T_K,source_locator,decision,decision_reasons,duplicate_family,primary_citation_verified,primary_page_table_row,methods_page_or_section,evidence_excerpt_or_paraphrase,measurement_or_reference_temperature,verified_temperature_K,liquid_state_confirmed,standard_or_saturation_enthalpy,correction_equations_and_sources,any_pressure_data_used_for_H,pressure_DOIs_used_for_H,measurement_lineage_ID,calibration_or_reference_material_role,uncertainty_type_and_coverage,retain_or_reject_reason,reviewer,review_date
10.1016/j.jct.2008.02.004#d1#p1#r1,thermoml,mol_c6feabb4edc72193,validation,10.1016/j.jct.2008.02.004,[],54.9,298.15,10.1016/j.jct.2008.02.004.json; data 1; property 1; row 1,quarantine_archive_calorimetry,full_methods_state_corrections_and_independence_unverified,,,,,,,,,,,,,,,,,,
10.1016/j.jct.2008.04.010#d4#p1#r1,thermoml,mol_4446e9b31e59fba3,train,10.1016/j.jct.2008.04.010,[],81.0,298.15,10.1016/j.jct.2008.04.010.json; data 4; property 1; row 1,quarantine_archive_calorimetry,full_methods_state_corrections_and_independence_unverified,,,,,,,,,,,,,,,,,,
10.1016/j.jct.2008.08.004#d3#p1#r1,thermoml,mol_fa6014b0e97e2afc,train,10.1016/j.jct.2008.08.004,[],53.0,298.15,10.1016/j.jct.2008.08.004.json; data 3; property 1; row 1,quarantine_archive_calorimetry,full_methods_state_corrections_and_independence_unverified,,,,,,,,,,,,,,,,,,
10.1016/j.jct.2008.12.015#d6#p1#r1,thermoml,mol_65b0a8e37b1d0b65,validation,10.1016/j.jct.2008.12.015,[],76.97,334.0,10.1016/j.jct.2008.12.015.json; data 6; property 1; row 1,quarantine_archive_calorimetry,full_methods_state_corrections_and_independence_unverified,,,,,,,,,,,,,,,,,,
10.1016/j.jct.2013.01.009#d18#p1#r1,thermoml,mol_bbdd71ed3a3275f5,validation,10.1016/j.jct.2013.01.009,[],58.9,298.15,10.1016/j.jct.2013.01.009.json; data 18; property 1; row 1,quarantine_archive_calorimetry,full_methods_state_corrections_and_independence_unverified,lineage_67f38b5227f1d5a4,,,,,,,,,,,,,,,,,
10.1016/j.jct.2015.07.028#d3#p1#r1,thermoml,mol_3ff2b6ab243e2db7,test,10.1016/j.jct.2015.07.028,[],46.9,305.12,10.1016/j.jct.2015.07.028.json; data 3; property 1; row 1,quarantine_archive_calorimetry,full_methods_state_corrections_and_independence_unverified;abstract_discusses_gas_phase_association,,,,,,,,,,,,,,,,,,
10.1016/j.jct.2019.02.001#d5#p1#r1,thermoml,mol_a3ab0bd2d4d80422,train,10.1016/j.jct.2019.02.001,[],49.89,298.15,10.1016/j.jct.2019.02.001.json; data 5; property 1; row 1,quarantine_same_source_conflict,full_methods_state_corrections_and_independence_unverified;two_values_same_T_source_sample_require_table_lineage_review,,,,,,,,,,,,,,,,,,
10.1016/j.jct.2019.02.001#d6#p1#r1,thermoml,mol_a3ab0bd2d4d80422,train,10.1016/j.jct.2019.02.001,[],52.24,298.15,10.1016/j.jct.2019.02.001.json; data 6; property 1; row 1,quarantine_same_source_conflict,full_methods_state_corrections_and_independence_unverified;two_values_same_T_source_sample_require_table_lineage_review,,,,,,,,,,,,,,,,,,
10.1021/je025634v#d1#p1#r1,thermoml,mol_ad64c2cfe3c93488,test,10.1021/je025634v,[],52.16,300.11,10.1021/je025634v.json; data 1; property 1; row 1,quarantine_archive_calorimetry,full_methods_state_corrections_and_independence_unverified;abstract_reports_cross_method_refinement,lineage_e315ce2beedff1d3,,,,,,,,,,,,,,,,,
10.1021/je025634v#d12#p1#r1,thermoml,mol_17a72fa1b6a75538,test,10.1021/je025634v,[],63.6,299.54,10.1021/je025634v.json; data 12; property 1; row 1,quarantine_archive_calorimetry,full_methods_state_corrections_and_independence_unverified;abstract_reports_cross_method_refinement,lineage_22c65d86c1a9332d,,,,,,,,,,,,,,,,,
10.1021/je025634v#d4#p1#r1,thermoml,mol_a78531f40bfa734a,test,10.1021/je025634v,[],48.82,303.52,10.1021/je025634v.json; data 4; property 1; row 1,quarantine_archive_calorimetry,full_methods_state_corrections_and_independence_unverified;abstract_reports_cross_method_refinement,lineage_f4bc4084aeae7a33,,,,,,,,,,,,,,,,,
10.1021/je025634v#d6#p1#r1,thermoml,mol_20837b2036542f40,test,10.1021/je025634v,[],55.73,300.55,10.1021/je025634v.json; data 6; property 1; row 1,quarantine_archive_calorimetry,full_methods_state_corrections_and_independence_unverified;abstract_reports_cross_method_refinement,lineage_c40541f181ca9acc,,,,,,,,,,,,,,,,,
10.1021/je025634v#d9#p1#r1,thermoml,mol_65b637e94cd66c7e,test,10.1021/je025634v,[],58.72,315.57,10.1021/je025634v.json; data 9; property 1; row 1,quarantine_archive_calorimetry,full_methods_state_corrections_and_independence_unverified;abstract_reports_cross_method_refinement,lineage_07ea612466bfc74c,,,,,,,,,,,,,,,,,
10.1021/je025641j#d1#p1#r1,thermoml,mol_c75fad41ddce441e,train,10.1021/je025641j,[],62.6,298.15,10.1021/je025641j.json; data 1; property 1; row 1,quarantine_archive_calorimetry,full_methods_state_corrections_and_independence_unverified,,,,,,,,,,,,,,,,,,
10.1021/je900093h#d3#p1#r1,thermoml,mol_fc2d93121de8a8dd,train,10.1021/je900093h,[],69.9,304.79,10.1021/je900093h.json; data 3; property 1; row 1,quarantine_archive_calorimetry,full_methods_state_corrections_and_independence_unverified,lineage_6f91a312728e4742,,,,,,,,,,,,,,,,,
rdr250199#csvline10000,compendium,mol_3fd637a4d667fe51,train,,"[""1984MAJ/SVO3""]",43.2,343.0,"RDR file 250199, CSV line 10000",quarantine_compendium_provenance,measurement_temperature_state_correction_and_independence_unverified,,,,,,,,,,,,,,,,,,
rdr250199#csvline10001,compendium,mol_3fd637a4d667fe51,train,,"[""1984MAJ/SVO3""]",42.1,358.0,"RDR file 250199, CSV line 10001",quarantine_compendium_provenance,measurement_temperature_state_correction_and_independence_unverified,,,,,,,,,,,,,,,,,,
rdr250199#csvline10004,compendium,mol_3fd637a4d667fe51,train,,"[""1947OSB/GIN""]",46.4,298.0,"RDR file 250199, CSV line 10004",quarantine_compendium_provenance,measurement_temperature_state_correction_and_independence_unverified,,,,,,,,,,,,,,,,,,
rdr250199#csvline10071,compendium,mol_fe38c48a132d8ec5,train,,"[""1977MAN/SEL""]",76.9,298.0,"RDR file 250199, CSV line 10071",quarantine_compendium_provenance,measurement_temperature_state_correction_and_independence_unverified,,,,,,,,,,,,,,,,,,
rdr250199#csvline10251,compendium,mol_e43335be86f26619,train,,"[""1951BAR/MCC""]",46.4,441.0,"RDR file 250199, CSV line 10251",quarantine_compendium_provenance,measurement_temperature_state_correction_and_independence_unverified,,,,,,,,,,,,,,,,,,
rdr250199#csvline10303,compendium,mol_2634d93cfb57c01a,test,,"[""1995RIB/MAT""]",65.7,298.0,"RDR file 250199, CSV line 10303",quarantine_compendium_provenance,measurement_temperature_state_correction_and_independence_unverified,,,,,,,,,,,,,,,,,,
rdr250199#csvline10327,compendium,mol_a41185fe88971a35,validation,,"[""1999MO/YAN""]",73.8,298.0,"RDR file 250199, CSV line 10327",quarantine_compendium_provenance,measurement_temperature_state_correction_and_independence_unverified,,,,,,,,,,,,,,,,,,
rdr250199#csvline10367,compendium,mol_819a139398c7c5de,validation,,"[""1998MAK/KAB""]",69.4,365.0,"RDR file 250199, CSV line 10367",quarantine_compendium_provenance,measurement_temperature_state_correction_and_independence_unverified,,,,,,,,,,,,,,,,,,
rdr250199#csvline10368,compendium,mol_819a139398c7c5de,validation,,"[""1998MAK/KAB""]",72.5,344.0,"RDR file 250199, CSV line 10368",quarantine_compendium_provenance,measurement_temperature_state_correction_and_independence_unverified,,,,,,,,,,,,,,,,,,
rdr250199#csvline10369,compendium,mol_819a139398c7c5de,validation,,"[""1998MAK/KAB""]",74.5,326.0,"RDR file 250199, CSV line 10369",quarantine_compendium_provenance,measurement_temperature_state_correction_and_independence_unverified,,,,,,,,,,,,,,,,,,
rdr250199#csvline10618,compendium,mol_bbdd71ed3a3275f5,validation,,"[""2013STE/FUL""]",58.9,298.0,"RDR file 250199, CSV line 10618",quarantine_compendium_provenance,measurement_temperature_state_correction_and_independence_unverified,lineage_67f38b5227f1d5a4,,,,,,,,,,,,,,,,,
rdr250199#csvline10686,compendium,mol_8557db3d1a35156c,train,,"[""1987ATI/SAI""]",49.0,298.0,"RDR file 250199, CSV line 10686",quarantine_compendium_provenance,measurement_temperature_state_correction_and_independence_unverified,,,,,,,,,,,,,,,,,,
rdr250199#csvline10839,compendium,mol_65b637e94cd66c7e,test,,"[""2004PAU/ZAI""]",60.0,298.0,"RDR file 250199, CSV line 10839",quarantine_compendium_provenance,measurement_temperature_state_correction_and_independence_unverified,,,,,,,,,,,,,,,,,,
rdr250199#csvline10840,compendium,mol_65b637e94cd66c7e,test,,"[""2003ZAI/VER""]",60.1,298.0,"RDR file 250199, CSV line 10840",quarantine_compendium_provenance,measurement_temperature_state_correction_and_independence_unverified,lineage_07ea612466bfc74c,,,,,,,,,,,,,,,,,
rdr250199#csvline11044,compendium,mol_a3ab0bd2d4d80422,train,,"[""1996VIT/CHA""]",51.5,299.0,"RDR file 250199, CSV line 11044",quarantine_compendium_provenance,measurement_temperature_state_correction_and_independence_unverified,,,,,,,,,,,,,,,,,,
rdr250199#csvline11045,compendium,mol_a3ab0bd2d4d80422,train,,"[""1996VIT/CHA""]",50.5,314.0,"RDR file 250199, CSV line 11045",quarantine_compendium_provenance,measurement_temperature_state_correction_and_independence_unverified,,,,,,,,,,,,,,,,,,
rdr250199#csvline11046,compendium,mol_a3ab0bd2d4d80422,train,,"[""1996VIT/CHA""]",50.1,324.0,"RDR file 250199, CSV line 11046",quarantine_compendium_provenance,measurement_temperature_state_correction_and_independence_unverified,,,,,,,,,,,,,,,,,,
rdr250199#csvline11047,compendium,mol_a3ab0bd2d4d80422,train,,"[""1996VIT/CHA""]",49.2,334.0,"RDR file 250199, CSV line 11047",quarantine_compendium_provenance,measurement_temperature_state_correction_and_independence_unverified,,,,,,,,,,,,,,,,,,
rdr250199#csvline11059,compendium,mol_a3ab0bd2d4d80422,train,,"[""1982FUR/SAK""]",51.4,298.0,"RDR file 250199, CSV line 11059",quarantine_compendium_provenance,measurement_temperature_state_correction_and_independence_unverified,,,,,,,,,,,,,,,,,,
rdr250199#csvline11063,compendium,mol_a3ab0bd2d4d80422,train,,"[""1963MOR/SUN""]",50.2,298.0,"RDR file 250199, CSV line 11063",quarantine_compendium_provenance,measurement_temperature_state_correction_and_independence_unverified,,,,,,,,,,,,,,,,,,
rdr250199#csvline11064,compendium,mol_a3ab0bd2d4d80422,train,,"[""1947OSB/GIN""]",51.4,298.0,"RDR file 250199, CSV line 11064",quarantine_compendium_provenance,measurement_temperature_state_correction_and_independence_unverified,,,,,,,,,,,,,,,,,,
rdr250199#csvline11173,compendium,mol_2e538f5e181d5946,train,,"[""1979SEV""]",78.2,323.0,"RDR file 250199, CSV line 11173",quarantine_compendium_provenance,measurement_temperature_state_correction_and_independence_unverified,,,,,,,,,,,,,,,,,,
rdr250199#csvline11174,compendium,mol_2e538f5e181d5946,train,,"[""1979SEV""]",81.5,298.0,"RDR file 250199, CSV line 11174",quarantine_compendium_provenance,measurement_temperature_state_correction_and_independence_unverified,,,,,,,,,,,,,,,,,,
