record_id,primary_name,reviewed_name_to_smiles,primary_name_structure_inchi,frozen_inchi,exact_match,rdkit_version
rdr250199#csvline10004,n-Nonane,CCCCCCCCC,"InChI=1S/C9H20/c1-3-5-7-9-8-6-4-2/h3-9H2,1-2H3","InChI=1S/C9H20/c1-3-5-7-9-8-6-4-2/h3-9H2,1-2H3",True,2025.09.6
rdr250199#csvline11064,n-Decane,CCCCCCCCCC,"InChI=1S/C10H22/c1-3-5-7-9-10-8-6-4-2/h3-10H2,1-2H3","InChI=1S/C10H22/c1-3-5-7-9-10-8-6-4-2/h3-10H2,1-2H3",True,2025.09.6
rdr250199#csvline1154,Ethanol,CCO,"InChI=1S/C2H6O/c1-2-3/h3H,2H2,1H3","InChI=1S/C2H6O/c1-2-3/h3H,2H2,1H3",True,2025.09.6
rdr250199#csvline1276,"1,2-Diaminoethane",NCCN,InChI=1S/C2H8N2/c3-1-2-4/h1-4H2,InChI=1S/C2H8N2/c3-1-2-4/h1-4H2,True,2025.09.6
rdr250199#csvline1561,"RCN, R=CH3CH2",CCC#N,"InChI=1S/C3H5N/c1-2-3-4/h2H2,1H3","InChI=1S/C3H5N/c1-2-3-4/h2H2,1H3",True,2025.09.6
rdr250199#csvline1910,1-Propanol,CCCO,"InChI=1S/C3H8O/c1-2-3-4/h4H,2-3H2,1H3","InChI=1S/C3H8O/c1-2-3-4/h4H,2-3H2,1H3",True,2025.09.6
rdr250199#csvline1943,2-Propanol,CC(O)C,"InChI=1S/C3H8O/c1-3(2)4/h3-4H,1-2H3","InChI=1S/C3H8O/c1-3(2)4/h3-4H,1-2H3",True,2025.09.6
rdr250199#csvline1960,2-Methoxyethanol,COCCO,"InChI=1S/C3H8O2/c1-5-3-2-4/h4H,2-3H2,1H3","InChI=1S/C3H8O2/c1-5-3-2-4/h4H,2-3H2,1H3",True,2025.09.6
rdr250199#csvline2098,"1,3-Diaminopropane",NCCCN,InChI=1S/C3H10N2/c4-2-1-3-5/h1-5H2,InChI=1S/C3H10N2/c4-2-1-3-5/h1-5H2,True,2025.09.6
rdr250199#csvline2774,Ethyl acetate,CCOC(=O)C,"InChI=1S/C4H8O2/c1-3-6-4(2)5/h3H2,1-2H3","InChI=1S/C4H8O2/c1-3-6-4(2)5/h3H2,1-2H3",True,2025.09.6
rdr250199#csvline2872,"Butyl, X=Br",CCCCBr,"InChI=1S/C4H9Br/c1-2-3-4-5/h2-4H2,1H3","InChI=1S/C4H9Br/c1-2-3-4-5/h2-4H2,1H3",True,2025.09.6
rdr250199#csvline2873,1-Bromobutane,CCCCBr,"InChI=1S/C4H9Br/c1-2-3-4-5/h2-4H2,1H3","InChI=1S/C4H9Br/c1-2-3-4-5/h2-4H2,1H3",True,2025.09.6
rdr250199#csvline2900,"Butyl, X=Cl",CCCCCl,"InChI=1S/C4H9Cl/c1-2-3-4-5/h2-4H2,1H3","InChI=1S/C4H9Cl/c1-2-3-4-5/h2-4H2,1H3",True,2025.09.6
rdr250199#csvline2914,"Isobutyl, X=Cl",CC(C)CCl,"InChI=1S/C4H9Cl/c1-4(2)3-5/h4H,3H2,1-2H3","InChI=1S/C4H9Cl/c1-4(2)3-5/h4H,3H2,1-2H3",True,2025.09.6
rdr250199#csvline2939,"Isobutyl, X=I",CC(C)CI,"InChI=1S/C4H9I/c1-4(2)3-5/h4H,3H2,1-2H3","InChI=1S/C4H9I/c1-4(2)3-5/h4H,3H2,1-2H3",True,2025.09.6
rdr250199#csvline3074,1-Butanol,CCCCO,"InChI=1S/C4H10O/c1-2-3-4-5/h5H,2-4H2,1H3","InChI=1S/C4H10O/c1-2-3-4-5/h5H,2-4H2,1H3",True,2025.09.6
rdr250199#csvline3140,2-Methyl-1-propanol,CC(C)CO,"InChI=1S/C4H10O/c1-4(2)3-5/h4-5H,3H2,1-2H3","InChI=1S/C4H10O/c1-4(2)3-5/h4-5H,3H2,1-2H3",True,2025.09.6
rdr250199#csvline3167,2-Methyl-2-propanol,CC(C)(C)O,"InChI=1S/C4H10O/c1-4(2,3)5/h5H,1-3H3","InChI=1S/C4H10O/c1-4(2,3)5/h5H,1-3H3",True,2025.09.6
rdr250199#csvline3256,2-Ethoxyethanol,CCOCCO,"InChI=1S/C4H10O2/c1-2-6-4-3-5/h5H,2-4H2,1H3","InChI=1S/C4H10O2/c1-2-6-4-3-5/h5H,2-4H2,1H3",True,2025.09.6
rdr250199#csvline3353,Butylamine,CCCCN,"InChI=1S/C4H11N/c1-2-3-4-5/h2-5H2,1H3","InChI=1S/C4H11N/c1-2-3-4-5/h2-5H2,1H3",True,2025.09.6
rdr250199#csvline3852,"RCN, R=CH3(CH2)3",CCCCC#N,"InChI=1S/C5H9N/c1-2-3-4-5-6/h2-4H2,1H3","InChI=1S/C5H9N/c1-2-3-4-5-6/h2-4H2,1H3",True,2025.09.6
rdr250199#csvline3985,Cyclopentanol,OC1CCCC1,"InChI=1S/C5H10O/c6-5-3-1-2-4-5/h5-6H,1-4H2","InChI=1S/C5H10O/c6-5-3-1-2-4-5/h5-6H,1-4H2",True,2025.09.6
rdr250199#csvline408,Methanol,CO,"InChI=1S/CH4O/c1-2/h2H,1H3","InChI=1S/CH4O/c1-2/h2H,1H3",True,2025.09.6
rdr250199#csvline4088,Isopropyl acetate,CC(C)OC(=O)C,"InChI=1S/C5H10O2/c1-4(2)7-5(3)6/h4H,1-3H3","InChI=1S/C5H10O2/c1-4(2)7-5(3)6/h4H,1-3H3",True,2025.09.6
rdr250199#csvline4130,Propyl acetate,CCCOC(=O)C,"InChI=1S/C5H10O2/c1-3-4-7-5(2)6/h3-4H2,1-2H3","InChI=1S/C5H10O2/c1-3-4-7-5(2)6/h3-4H2,1-2H3",True,2025.09.6
rdr250199#csvline4156,MeOCH2CH2OAc (2-methoxyethyl acetate),COCCOC(C)=O,"InChI=1S/C5H10O3/c1-5(6)8-4-3-7-2/h3-4H2,1-2H3","InChI=1S/C5H10O3/c1-5(6)8-4-3-7-2/h3-4H2,1-2H3",True,2025.09.6
rdr250199#csvline4212,"Pentyl, X=Cl",CCCCCCl,"InChI=1S/C5H11Cl/c1-2-3-4-5-6/h2-5H2,1H3","InChI=1S/C5H11Cl/c1-2-3-4-5-6/h2-5H2,1H3",True,2025.09.6
rdr250199#csvline4413,1-Pentanol,CCCCCO,"InChI=1S/C5H12O/c1-2-3-4-5-6/h6H,2-5H2,1H3","InChI=1S/C5H12O/c1-2-3-4-5-6/h6H,2-5H2,1H3",True,2025.09.6
rdr250199#csvline4493,2-Propoxyethanol,CCCOCCO,"InChI=1S/C5H12O2/c1-2-4-7-5-3-6/h6H,2-5H2,1H3","InChI=1S/C5H12O2/c1-2-4-7-5-3-6/h6H,2-5H2,1H3",True,2025.09.6
rdr250199#csvline4585,Amylamine,CCCCCN,"InChI=1S/C5H13N/c1-2-3-4-5-6/h2-6H2,1H3","InChI=1S/C5H13N/c1-2-3-4-5-6/h2-6H2,1H3",True,2025.09.6
rdr250199#csvline4914,"Phenyl, X=Br",Brc1ccccc1,InChI=1S/C6H5Br/c7-6-4-2-1-3-5-6/h1-5H,InChI=1S/C6H5Br/c7-6-4-2-1-3-5-6/h1-5H,True,2025.09.6
rdr250199#csvline4948,"Phenyl, X=Cl",Clc1ccccc1,InChI=1S/C6H5Cl/c7-6-4-2-1-3-5-6/h1-5H,InChI=1S/C6H5Cl/c7-6-4-2-1-3-5-6/h1-5H,True,2025.09.6
rdr250199#csvline5075,Benzene,c1ccccc1,InChI=1S/C6H6/c1-2-4-6-5-3-1/h1-6H,InChI=1S/C6H6/c1-2-4-6-5-3-1/h1-6H,True,2025.09.6
rdr250199#csvline5568,Cyclohexane,C1CCCCC1,InChI=1S/C6H12/c1-2-4-6-5-3-1/h1-6H2,InChI=1S/C6H12/c1-2-4-6-5-3-1/h1-6H2,True,2025.09.6
rdr250199#csvline5829,Butyl acetate,CCCCOC(=O)C,"InChI=1S/C6H12O2/c1-3-4-5-8-6(2)7/h3-5H2,1-2H3","InChI=1S/C6H12O2/c1-3-4-5-8-6(2)7/h3-5H2,1-2H3",True,2025.09.6
rdr250199#csvline5846,Ethyl isobutyrate,CCOC(=O)C(C)C,"InChI=1S/C6H12O2/c1-4-8-6(7)5(2)3/h5H,4H2,1-3H3","InChI=1S/C6H12O2/c1-4-8-6(7)5(2)3/h5H,4H2,1-3H3",True,2025.09.6
rdr250199#csvline5854,t-Butyl acetate,CC(C)(C)OC(=O)C,"InChI=1S/C6H12O2/c1-5(7)8-6(2,3)4/h1-4H3","InChI=1S/C6H12O2/c1-5(7)8-6(2,3)4/h1-4H3",True,2025.09.6
rdr250199#csvline5952,"Hexyl, X=Cl",CCCCCCCl,"InChI=1S/C6H13Cl/c1-2-3-4-5-6-7/h2-6H2,1H3","InChI=1S/C6H13Cl/c1-2-3-4-5-6-7/h2-6H2,1H3",True,2025.09.6
rdr250199#csvline5963,"Hexyl, X=I",CCCCCCI,"InChI=1S/C6H13I/c1-2-3-4-5-6-7/h2-6H2,1H3","InChI=1S/C6H13I/c1-2-3-4-5-6-7/h2-6H2,1H3",True,2025.09.6
rdr250199#csvline6038,n-Hexane,CCCCCC,"InChI=1S/C6H14/c1-3-5-6-4-2/h3-6H2,1-2H3","InChI=1S/C6H14/c1-3-5-6-4-2/h3-6H2,1-2H3",True,2025.09.6
rdr250199#csvline6197,1-Hexanol,CCCCCCO,"InChI=1S/C6H14O/c1-2-3-4-5-6-7/h7H,2-6H2,1H3","InChI=1S/C6H14O/c1-2-3-4-5-6-7/h7H,2-6H2,1H3",True,2025.09.6
rdr250199#csvline6434,Dipropylamine,CCCNCCC,"InChI=1S/C6H15N/c1-3-5-7-6-4-2/h7H,3-6H2,1-2H3","InChI=1S/C6H15N/c1-3-5-7-6-4-2/h7H,3-6H2,1-2H3",True,2025.09.6
rdr250199#csvline6452,Triethylamine,CCN(CC)CC,"InChI=1S/C6H15N/c1-4-7(5-2)6-3/h4-6H2,1-3H3","InChI=1S/C6H15N/c1-4-7(5-2)6-3/h4-6H2,1-3H3",True,2025.09.6
