molecule_id,inchi,name,split,component_id,approved_label_count,record_ids_json
mol_212f24f877214356,"InChI=1S/C6H12O2/c1-4-8-6(7)5(2)3/h5H,4H2,1-3H3",ethyl isobutyrate,train,grp_5dea7427c65d07c7,1,"[""rdr250199#csvline5846""]"
mol_2465ec339bda2cbb,"InChI=1S/C3H8O/c1-2-3-4/h4H,2-3H2,1H3",1-propanol,train,grp_5dea7427c65d07c7,1,"[""rdr250199#csvline1910""]"
mol_25b76921742ed7fa,"InChI=1S/C3H5N/c1-2-3-4/h2H2,1H3",propionitrile,train,grp_5dea7427c65d07c7,1,"[""rdr250199#csvline1561""]"
mol_2d09dab0a2be3f90,InChI=1S/C6H5Br/c7-6-4-2-1-3-5-6/h1-5H,bromobenzene,train,grp_5dea7427c65d07c7,1,"[""rdr250199#csvline4914""]"
mol_39beef09cdd1ae08,"InChI=1S/C6H12O2/c1-3-4-5-8-6(2)7/h3-5H2,1-2H3",butyl acetate,train,grp_5dea7427c65d07c7,1,"[""rdr250199#csvline5829""]"
mol_435971c8aa9ce0da,"InChI=1S/C5H12O/c1-2-3-4-5-6/h6H,2-5H2,1H3",1-pentanol,train,grp_5dea7427c65d07c7,1,"[""rdr250199#csvline4413""]"
mol_478c9e57637d58f1,"InChI=1S/C7H14O/c1-5(2)7(8)6(3)4/h5-6H,1-4H3","2,4-dimethyl-3-pentanone",train,grp_5dea7427c65d07c7,1,"[""rdr250199#csvline7534""]"
mol_502267b1d358ae7d,"InChI=1S/C5H10O2/c1-3-4-7-5(2)6/h3-4H2,1-2H3",propyl acetate,train,grp_5dea7427c65d07c7,1,"[""rdr250199#csvline4130""]"
mol_528932d2a9841ae7,"InChI=1S/C5H11Cl/c1-2-3-4-5-6/h2-5H2,1H3",1-chloropentane,train,grp_5dea7427c65d07c7,1,"[""rdr250199#csvline4212""]"
mol_5a4aa50dd3cafc66,InChI=1S/C6H5Cl/c7-6-4-2-1-3-5-6/h1-5H,chlorobenzene,train,grp_5dea7427c65d07c7,1,"[""rdr250199#csvline4948""]"
mol_5dbb586fa38c6136,"InChI=1S/C5H9N/c1-2-3-4-5-6/h2-4H2,1H3",valeronitrile,train,grp_5dea7427c65d07c7,1,"[""rdr250199#csvline3852""]"
mol_5fa3d4f920d98423,"InChI=1S/C5H10O/c6-5-3-1-2-4-5/h5-6H,1-4H2",cyclopentanol,train,grp_5dea7427c65d07c7,1,"[""rdr250199#csvline3985""]"
mol_670136e04246f1d5,"InChI=1S/C4H10O/c1-2-3-4-5/h5H,2-4H2,1H3",1-butanol,train,grp_5dea7427c65d07c7,1,"[""rdr250199#csvline3074""]"
mol_6dc54388549b234e,"InChI=1S/CH4O/c1-2/h2H,1H3",methanol,train,grp_5dea7427c65d07c7,1,"[""rdr250199#csvline408""]"
