record_id,origin,molecule_id,inchi,name,H_kJ_mol,T_K,H_J_mol,method,source_doi,reference_codes_json,source_locator,reported_deviation,uncertainty_kind,uncertainty_confidence_percent,uncertainty_coverage_factor,experimental_temperature_range,temperature_status,thermodynamic_state,raw_row_verified,archive_XML_verified,full_primary_methods_verified,calorimetry_candidate,has_pressure_join,inside_pressure_temperature_envelope,decision,decision_reasons,independent_of_pressure_verified,training_allowed,corrected_298_field_excluded,duplicate_family,linked_record_ids_json,split,component_id,review_wave,review_date,original_H_kJ_mol,original_T_K,original_reported_deviation,original_decision,previous_v0_2_decision,review_reference_code,primary_source_url,source_review_status,reference_code,primary_compound_name,primary_H,primary_deviation,primary_unit,unit_multiplier_to_kJ,primary_temperature_C,primary_temperature_K,primary_page,primary_table,calorimeter,structure_smiles_from_primary_name,systematic_error_bound_kJ_mol,quality_flags,table_image_visually_checked,pressure_slope_ancillary_correction,reported_replicates_minimum,reported_replicates_exact,temperature_scale_note,source_role,overall_uncertainty_relation,overall_uncertainty_value_kJ_mol,ancillary_reference_notes,source_temperature_adjustment,moisture_treatment,mean_gamma_intJ_g,beta_intJ_g,estimated_relative_error_fraction,energy_conversion_factor_to_abs_J,primary_document_sha256,molar_mass_g_mol,random_standard_error_kJ_mol,standard_error_multiplier,author_estimated_total_error_kJ_mol,primary_numeric_table_verified,primary_identity_verified,measurement_or_reference_temperature,temperature_correction_applied,ideal_gas_state_conversion_applied,ancillary_apparatus_pressure_used,pressure_curve_used_to_derive_label,benchmark_pressure_used_for_label,minimum_replicates_in_reported_mean,measurement_lineage_id,reviewed_by
rdr250199#csvline10004,compendium,mol_3fd637a4d667fe51,"InChI=1S/C9H20/c1-3-5-7-9-8-6-4-2/h3-9H2,1-2H3",nonane,46.43998451332470,298.15,46439.98451332470000,electrical_energy_and_evaporated_mass_calorimetry,10.6028/jres.039.031,"[""1947OSB/GIN""]",DOI 10.6028/jres.039.031; p.466; Table 1; n-Nonane,,author_estimated_relative_accuracy_no_confidence_probability,,,,nominal_historical_scale_temperature,liquid_to_real_vapor_at_saturation,True,False,True,True,True,False,hold_ancillary_pressure_slope_lineage,ancillary_pressure_slope_lineage_and_primary_pool_eligibility_unresolved,False,False,True,,[],train,grp_5dea7427c65d07c7,wave2,2026-09-18,46.4,298,,quarantine_compendium_provenance,hold_full_text_not_obtained,1947OSB/GIN,https://nistdigitalarchives.contentdm.oclc.org/digital/api/collection/p16009coll6/id/118316/download,primary_table_verified_ancillary_lineage_hold,1947OSB/GIN,n-Nonane,362.02,,US_international_J/g,0.128280162735,25.0,298.15,466,1,NBS electrical fluid calorimeter,CCCCCCCCC,,Historical pressure-slope beta correction. Not pressure-curve-free. Source estimates error unlikely above 0.1 percent; this is not a standard uncertainty. ,True,True,3,3,"Historical International Temperature Scale; 298.15 K is nominal conversion of reported 25 C, not a conversion to ITS-90.",current_work_calorimetry_with_pressure_slope_correction,,,"Original refs.14 (API Project 44 tables) and 15 (International Critical Tables vol.3, 1928); per-compound source entries and upstream pressure measurement lineage unverified.",Source applies small run-temperature corrections to nominal 25 C; individual correction magnitudes are not separately listed (p.465). No new thermal extrapolation applied here.,,362.04,0.02,0.001,1.000165,0dcceb5865b44de7cb6fb02e5d0f23d1257e63106d1f135400095c1340abd288,128.259,,,0.04643998451332470,True,True,measurement,False,False,True,True,unknown_upstream_ancillary_lineage,3,cal_4e67ee25e76879e7fe85,OpenAI Codex; no independent human sign-off
rdr250199#csvline10071,compendium,mol_fe38c48a132d8ec5,"InChI=1S/C9H20O/c1-2-3-4-5-6-7-8-9-10/h10H,2-9H2,1H3",1-nonanol,76.9,298,76900,C,,"[""1977MAN/SEL""]","RDR file 250199, CSV line 10071",0.8,unspecified_compendium_deviation,,,,unresolved,not_resolved_from_compendium_row,True,False,False,True,True,True,hold_full_text_not_obtained,"Bibliography resolved; primary tables, temperature corrections and liquid state not verified.",False,False,True,,[],train,grp_5dea7427c65d07c7,source_access_review,2026-09-17,76.9,298,0.8,quarantine_compendium_provenance,hold_full_text_not_obtained,1977MAN/SEL,https://doi.org/10.1016/0021-9614(77)90202-6,full_text_not_obtained,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rdr250199#csvline11064,compendium,mol_a3ab0bd2d4d80422,"InChI=1S/C10H22/c1-3-5-7-9-10-8-6-4-2/h3-10H2,1-2H3",decane,51.3680288865024,298.15,51368.0288865024000,electrical_energy_and_evaporated_mass_calorimetry,10.6028/jres.039.031,"[""1947OSB/GIN""]",DOI 10.6028/jres.039.031; p.466; Table 1; n-Decane,,author_estimated_relative_accuracy_no_confidence_probability,,,,nominal_historical_scale_temperature,liquid_to_real_vapor_at_saturation,True,False,True,True,True,True,hold_ancillary_pressure_slope_lineage,ancillary_pressure_slope_lineage_and_primary_pool_eligibility_unresolved,False,False,True,,[],train,grp_5dea7427c65d07c7,wave2,2026-09-18,51.4,298,,quarantine_compendium_provenance,hold_full_text_not_obtained,1947OSB/GIN,https://nistdigitalarchives.contentdm.oclc.org/digital/api/collection/p16009coll6/id/118316/download,primary_table_verified_ancillary_lineage_hold,1947OSB/GIN,n-Decane,360.96,,US_international_J/g,0.14230947719,25.0,298.15,466,1,NBS electrical fluid calorimeter,CCCCCCCCCC,,Historical pressure-slope beta correction. Not pressure-curve-free. Source estimates error unlikely above 0.1 percent; this is not a standard uncertainty. ,True,True,3,3,"Historical International Temperature Scale; 298.15 K is nominal conversion of reported 25 C, not a conversion to ITS-90.",current_work_calorimetry_with_pressure_slope_correction,,,"Original refs.14 (API Project 44 tables) and 15 (International Critical Tables vol.3, 1928); per-compound source entries and upstream pressure measurement lineage unverified.",Source applies small run-temperature corrections to nominal 25 C; individual correction magnitudes are not separately listed (p.465). No new thermal extrapolation applied here.,,360.97,0.01,0.001,1.000165,0dcceb5865b44de7cb6fb02e5d0f23d1257e63106d1f135400095c1340abd288,142.286,,,0.0513680288865024,True,True,measurement,False,False,True,True,unknown_upstream_ancillary_lineage,3,cal_70f99f7c97b590928d60,OpenAI Codex; no independent human sign-off
rdr250199#csvline11175,compendium,mol_2e538f5e181d5946,"InChI=1S/C10H22O/c1-2-3-4-5-6-7-8-9-10-11/h11H,2-10H2,1H3",1-decanol,81.5,298,81500,C,,"[""1977MAN/SEL""]","RDR file 250199, CSV line 11175",0.8,unspecified_compendium_deviation,,,,unresolved,not_resolved_from_compendium_row,True,False,False,True,True,False,hold_full_text_not_obtained,"Bibliography resolved; primary tables, temperature corrections and liquid state not verified.",False,False,True,,[],train,grp_5dea7427c65d07c7,source_access_review,2026-09-17,81.5,298,0.8,quarantine_compendium_provenance,hold_full_text_not_obtained,1977MAN/SEL,https://doi.org/10.1016/0021-9614(77)90202-6,full_text_not_obtained,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rdr250199#csvline11490,compendium,mol_c1c12a449ac15fd2,"InChI=1S/C11H21N/c1-2-3-4-5-6-7-8-9-10-11-12/h2-10H2,1H3",Undecanonitrile,71.1,298,71100,C,,"[""1977STRI/SUN""]","RDR file 250199, CSV line 11490",0.1,unspecified_compendium_deviation,,,,unresolved,not_resolved_from_compendium_row,True,False,False,True,True,False,hold_full_text_not_obtained,Bibliographic lead resolved with matching authors and nitrile subject; primary tables not obtained.,False,False,True,,[],train,grp_5dea7427c65d07c7,source_access_review,2026-09-17,71.1,298,0.1,quarantine_compendium_provenance,hold_full_text_not_obtained,1977STRI/SUN,https://doi.org/10.1016/0021-9614(77)90223-3,full_text_not_obtained,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rdr250199#csvline1154,compendium,mol_b4b87befe28d84ce,"InChI=1S/C2H6O/c1-2-3/h3H,2H2,1H3",ethanol,42.300240,298.15,42300.240000,electrical_energy_and_evaporated_mass_calorimetry,10.3891/acta.chem.scand.20-0544,"[""1966WAD""]",DOI 10.3891/acta.chem.scand.20-0544; p.545; Table 1; Ethanol,0.083680,estimated_total_including_systematics_coverage_unspecified,,,,direct_measurement_temperature_restored_from_primary_source,liquid_to_real_vapor_at_saturation,True,False,True,True,True,True,approve_primary_calorimetry,primary_calorimetry_verified_with_disclosed_source_quality_limits,True,True,True,,[],train,grp_5dea7427c65d07c7,wave1,2026-09-17,42.3,298,0.1,quarantine_compendium_provenance,approve_primary_calorimetry,1966WAD,https://actachemscand.ki.ku.dk/pdf/acta_vol_20_p0544-0552.pdf,full_primary_review,1966WAD,Ethanol,10.11,0.02,kcal/mol_defined_calorie,4.1840,25.00,298.15,545,1,C,CCO,,,True,False,5,,Source reports Celsius; no historical scale transformation applied.,direct_calorimetry_reported_in_primary_paper,,,,No separate reference-temperature extrapolation used in the reviewed label.,,,,,,ff83a8bdaad3652c26c4b681614e9713a87e7cf6874b14cd223be1e1ef58eb2c,,,,,True,True,measurement,False,False,True,False,False,5,cal_771372caacf6848096cf,OpenAI Codex; no independent human sign-off
rdr250199#csvline1196,compendium,mol_8af87cc50053180a,InChI=1S/C2H6S/c1-3-2/h1-2H3,dimethyl sulfide,27.9,298,27900,C,,"[""1989VOR/KLY""]","RDR file 250199, CSV line 1196",0.6,unspecified_compendium_deviation,,,,unresolved,not_resolved_from_compendium_row,True,False,False,True,True,False,hold_full_text_not_obtained,Bibliographic lead in NIST WebBook; original paper not obtained.,False,False,True,,[],train,grp_5dea7427c65d07c7,source_access_review,2026-09-17,27.9,298,0.6,quarantine_compendium_provenance,hold_full_text_not_obtained,1989VOR/KLY,https://webbook.nist.gov/cgi/cbook.cgi?ID=C75183&Type=HVAP,full_text_not_obtained,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rdr250199#csvline1218,compendium,mol_28d861e75826cef3,InChI=1S/C2H6S2/c1-3-4-2/h1-2H3,dimethyl disulfide,38.5,298,38500,C,,"[""1989VOR/KLY""]","RDR file 250199, CSV line 1218",0.6,unspecified_compendium_deviation,,,,unresolved,not_resolved_from_compendium_row,True,False,False,True,True,False,hold_full_text_not_obtained,Bibliographic lead in NIST WebBook; original paper not obtained.,False,False,True,,[],train,grp_5dea7427c65d07c7,source_access_review,2026-09-17,38.5,298,0.6,quarantine_compendium_provenance,hold_full_text_not_obtained,1989VOR/KLY,https://webbook.nist.gov/cgi/cbook.cgi?ID=C75183&Type=HVAP,full_text_not_obtained,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rdr250199#csvline12241,compendium,mol_f23ee274fe9afdfa,"InChI=1S/C12H23N/c1-2-3-4-5-6-7-8-9-10-11-12-13/h2-11H2,1H3",Lauronitrile,76.1,298,76100,C,,"[""1977STRI/SUN""]","RDR file 250199, CSV line 12241",0.1,unspecified_compendium_deviation,,,,unresolved,not_resolved_from_compendium_row,True,False,False,True,True,False,hold_full_text_not_obtained,Bibliographic lead resolved with matching authors and nitrile subject; primary tables not obtained.,False,False,True,,[],train,grp_5dea7427c65d07c7,source_access_review,2026-09-17,76.1,298,0.1,quarantine_compendium_provenance,hold_full_text_not_obtained,1977STRI/SUN,https://doi.org/10.1016/0021-9614(77)90223-3,full_text_not_obtained,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rdr250199#csvline12322,compendium,mol_d079a9561d9d2641,"InChI=1S/C12H24O2/c1-3-4-5-6-7-8-9-10-11-12(13)14-2/h3-11H2,1-2H3",Methyl undecanoate,71.4,298,71400,C,,"[""1977MAN/SEL""]","RDR file 250199, CSV line 12322",0.3,unspecified_compendium_deviation,,,,unresolved,not_resolved_from_compendium_row,True,False,False,True,True,False,hold_full_text_not_obtained,"Bibliography resolved; primary tables, temperature corrections and liquid state not verified.",False,False,True,,[],train,grp_5dea7427c65d07c7,source_access_review,2026-09-17,71.4,298,0.3,quarantine_compendium_provenance,hold_full_text_not_obtained,1977MAN/SEL,https://doi.org/10.1016/0021-9614(77)90202-6,full_text_not_obtained,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
