record_id,molecule_id,measurement_lineage_id,primary_doi,source_role,split,component_id,training_allowed
rdr250199#csvline10004,mol_3fd637a4d667fe51,cal_4e67ee25e76879e7fe85,10.6028/jres.039.031,current_work_calorimetry_with_pressure_slope_correction,train,grp_5dea7427c65d07c7,False
rdr250199#csvline11064,mol_a3ab0bd2d4d80422,cal_70f99f7c97b590928d60,10.6028/jres.039.031,current_work_calorimetry_with_pressure_slope_correction,train,grp_5dea7427c65d07c7,False
rdr250199#csvline1154,mol_b4b87befe28d84ce,cal_771372caacf6848096cf,10.3891/acta.chem.scand.20-0544,direct_calorimetry_reported_in_primary_paper,train,grp_5dea7427c65d07c7,True
rdr250199#csvline1276,mol_e9bda82626d344ab,cal_dd7ea1918f3c9ac19ec6,10.3891/acta.chem.scand.23-2061,direct_calorimetry_reported_in_primary_paper,train,grp_5dea7427c65d07c7,False
rdr250199#csvline1561,mol_25b76921742ed7fa,cal_9e623e06d401d35198cc,10.3891/acta.chem.scand.24-0145,direct_calorimetry_reported_in_primary_paper,train,grp_5dea7427c65d07c7,True
rdr250199#csvline1910,mol_2465ec339bda2cbb,cal_9f06d5eedb4c36812e69,10.3891/acta.chem.scand.20-0544,direct_calorimetry_reported_in_primary_paper,train,grp_5dea7427c65d07c7,True
rdr250199#csvline1943,mol_83a135e5c50b66c1,cal_cbea3f5b7541ad30e5be,10.3891/acta.chem.scand.20-0544,direct_calorimetry_reported_in_primary_paper,train,grp_5dea7427c65d07c7,True
rdr250199#csvline1960,mol_21a4cd711754eeed,cal_f8cbf77c4e58e6356d6d,10.3891/acta.chem.scand.25-0219,current_work_direct_calorimetry,train,grp_5dea7427c65d07c7,True
rdr250199#csvline2098,mol_cdcd3722df880b7b,cal_2a0892af3c77dbedb58a,10.3891/acta.chem.scand.23-2061,direct_calorimetry_reported_in_primary_paper,train,grp_5dea7427c65d07c7,True
rdr250199#csvline2774,mol_e55299b0f2600cdb,cal_5656d7b05a4d46f71d12,10.3891/acta.chem.scand.20-0544,direct_calorimetry_reported_in_primary_paper,train,grp_5dea7427c65d07c7,True
rdr250199#csvline2872,mol_6ea740b63f4d7f2b,cal_7fdfb73bdc7c404fd384,10.3891/acta.chem.scand.22-2438,direct_calorimetry_reported_in_primary_paper,train,grp_5dea7427c65d07c7,True
rdr250199#csvline2873,mol_6ea740b63f4d7f2b,cal_03c71af6a22fa678946c,10.3891/acta.chem.scand.20-0544,direct_calorimetry_reported_in_primary_paper,train,grp_5dea7427c65d07c7,True
