record_id,primary_name,molar_volume_25C_mL_mol,volume_source_key,volume_source_locator,vapor_pressure_source_key,vapor_pressure_source_locator,antoine_A,antoine_B,antoine_C_C,vapor_pressure_source_directly_in_cited_beta_pair,lineage_note,density_d0_g_mL,density_alpha,density_beta,density_gamma,density_t0_C,density_equation
rdr250199#csvline10004,n-Nonane,179.662,NBS_CIRCULAR_461,"Table 4b (Part 1), printed p.89, PDF p.107",WILLINGHAM_1945,"Table 3, printed p.239, PDF p.21",6.94495,1435.158,202.331,False,"API Project 6 correlation is a primary accessible surrogate; the 1947 beta paragraph cites API Project 44 and ICT, not this paper.",,,,,,
rdr250199#csvline11064,n-Decane,,ICT_VOL3,"Density equation and n-decane row: printed pp.27 and 30, PDF pp.40 and 43",WILLINGHAM_1945,"Table 3, printed p.239, PDF p.21",6.95367,1501.268,194.480,False,Volume is from cited ICT; API Project 6 pressure correlation is an accessible surrogate for the unavailable per-compound API/ICT slope lineage.,0.7455,-0.7293,-0.371,0,0,d_t=d_t0+1e-3*alpha*(t-t0)+1e-6*beta*(t-t0)^2+1e-9*gamma*(t-t0)^3
rdr250199#csvline5075,Benzene,89.401,NBS_CIRCULAR_461,"Table 5b, printed p.91, PDF p.109",NBS_CIRCULAR_461,"Table 5k (Part 1), printed p.126, PDF p.144",6.89745,1206.350,220.237,True,Bound API Research Project 44 table cited by the 1947 paper.,,,,,,
rdr250199#csvline5568,Cyclohexane,108.744,NBS_CIRCULAR_461,"Table 7b, printed p.93, PDF p.111",NBS_CIRCULAR_461,"Table 7k (Part 1), printed p.129, PDF p.147",6.84498,1203.526,222.863,True,Bound API Research Project 44 table cited by the 1947 paper.,,,,,,
rdr250199#csvline6038,n-Hexane,131.596,NBS_CIRCULAR_461,"Table 2b (Part 1), printed p.86, PDF p.104",NBS_CIRCULAR_461,"Table 2k (Part 1), printed p.122, PDF p.140",6.87773,1171.530,224.366,True,Bound API Research Project 44 table cited by the 1947 paper.,,,,,,
rdr250199#csvline6924,Toluene,106.846,NBS_CIRCULAR_461,"Table 5b, printed p.91, PDF p.109",NBS_CIRCULAR_461,"Table 5k (Part 1), printed p.126, PDF p.144",6.95334,1343.943,219.377,True,Bound API Research Project 44 table cited by the 1947 paper.,,,,,,
rdr250199#csvline8244,o-Xylene,121.193,NBS_CIRCULAR_461,"Table 5b, printed p.91, PDF p.109",NBS_CIRCULAR_461,"Table 5k (Part 1), printed p.126, PDF p.144",7.00289,1477.519,214.024,True,Bound API Research Project 44 table cited by the 1947 paper.,,,,,,
rdr250199#csvline8257,m-Xylene,123.456,NBS_CIRCULAR_461,"Table 5b, printed p.91, PDF p.109",NBS_CIRCULAR_461,"Table 5k (Part 1), printed p.126, PDF p.144",7.00659,1460.498,214.889,True,Bound API Research Project 44 table cited by the 1947 paper.,,,,,,
rdr250199#csvline8284,p-Xylene,123.919,NBS_CIRCULAR_461,"Table 5b, printed p.91, PDF p.109",NBS_CIRCULAR_461,"Table 5k (Part 1), printed p.126, PDF p.144",6.99099,1453.840,215.367,True,Bound API Research Project 44 table cited by the 1947 paper.,,,,,,
rdr250199#csvline8303,Ethylbenzene (pure),123.064,NBS_CIRCULAR_461,"Table 5b, printed p.91, PDF p.109",NBS_CIRCULAR_461,"Table 5k (Part 1), printed p.126, PDF p.144",6.95366,1421.914,212.931,True,Bound API Research Project 44 table cited by the 1947 paper.,,,,,,
rdr250199#csvline8700,Ethylcyclohexane,143.141,NBS_CIRCULAR_461,"Table 7b, printed p.93, PDF p.111",NBS_CIRCULAR_461,"Table 7k (Part 1), printed p.129, PDF p.147",6.87041,1384.036,215.128,True,Bound API Research Project 44 table cited by the 1947 paper.,,,,,,
rdr250199#csvline9038,n-Octane,163.516,NBS_CIRCULAR_461,"Table 3b, printed p.88, PDF p.106",NBS_CIRCULAR_461,"Table 3k (Part 1), printed p.124, PDF p.142",6.92374,1355.126,209.517,True,Bound API Research Project 44 table cited by the 1947 paper.,,,,,,
rdr250199#csvline9070,"2,2,4-Trimethylpentane",166.069,NBS_CIRCULAR_461,"Table 3b, printed p.88, PDF p.106",NBS_CIRCULAR_461,"Table 3k (Part 2), printed p.125, PDF p.143",6.81984,1262.490,221.271,True,Bound API Research Project 44 table cited by the 1947 paper.,,,,,,
rdr250199#csvline9607,"1,2,4-Trimethylbenzene",137.860,NBS_CIRCULAR_461,"Table 5b, printed p.91, PDF p.109",NBS_CIRCULAR_461,"Table 5k (Part 2), printed p.127, PDF p.145",7.07938,1609.10,214.00,True,Bound API Research Project 44 table cited by the 1947 paper.,,,,,,
