record_id,name,source_doi,compendium_T_K,primary_T_K,compendium_H_kJ_mol,primary_H_kJ_mol,difference_H_kJ_mol,compendium_deviation,primary_deviation_kJ_mol,change_basis,decision
rdr250199#csvline1154,ethanol,10.3891/acta.chem.scand.20-0544,298,298.15,42.3,42.300240,0.000240,0.1,0.083680,"original measured temperature, original numerical precision and exact unit conversion; no temperature adjustment of enthalpy",approve_primary_calorimetry
rdr250199#csvline1276,ethylenediamine,10.3891/acta.chem.scand.23-2061,298,298.15,45,44.98,-0.02,0.1,0.12,"original measured temperature, original numerical precision and exact unit conversion; no temperature adjustment of enthalpy",hold_source_reported_conflict
rdr250199#csvline1561,propionitrile,10.3891/acta.chem.scand.24-0145,298,298.15,36,36.03,0.03,0.1,0.02,"original measured temperature, original numerical precision and exact unit conversion; no temperature adjustment of enthalpy",approve_primary_calorimetry
rdr250199#csvline1910,1-propanol,10.3891/acta.chem.scand.20-0544,298,298.15,47.3,47.321040,0.021040,0.1,0.083680,"original measured temperature, original numerical precision and exact unit conversion; no temperature adjustment of enthalpy",approve_primary_calorimetry
rdr250199#csvline1943,2-propanol,10.3891/acta.chem.scand.20-0544,298,298.15,45.2,45.229040,0.029040,0.1,0.125520,"original measured temperature, original numerical precision and exact unit conversion; no temperature adjustment of enthalpy",approve_primary_calorimetry
rdr250199#csvline2098,"1,3-diaminopropane",10.3891/acta.chem.scand.23-2061,298,298.15,50.2,50.16,-0.04,0.1,0.10,"original measured temperature, original numerical precision and exact unit conversion; no temperature adjustment of enthalpy",approve_primary_calorimetry
rdr250199#csvline2774,ethyl acetate,10.3891/acta.chem.scand.20-0544,298,298.15,35.1,35.145600,0.045600,0.2,0.209200,"original measured temperature, original numerical precision and exact unit conversion; no temperature adjustment of enthalpy",approve_primary_calorimetry
rdr250199#csvline2872,1-bromobutane,10.3891/acta.chem.scand.22-2438,298,298.15,36.6,36.60,0.00,0.1,0.10,"original measured temperature, original numerical precision and exact unit conversion; no temperature adjustment of enthalpy",approve_primary_calorimetry
rdr250199#csvline2873,1-bromobutane,10.3891/acta.chem.scand.20-0544,298,298.15,36.7,36.651840,-0.048160,0.1,0.125520,"original measured temperature, original numerical precision and exact unit conversion; no temperature adjustment of enthalpy",approve_primary_calorimetry
rdr250199#csvline2900,1-chlorobutane,10.3891/acta.chem.scand.22-2438,298,298.15,33.5,33.52,0.02,0.1,0.06,"original measured temperature, original numerical precision and exact unit conversion; no temperature adjustment of enthalpy",approve_primary_calorimetry
rdr250199#csvline2914,1-chloro-2-methylpropane,10.3891/acta.chem.scand.22-2438,298,298.15,31.7,31.67,-0.03,0.1,0.06,"original measured temperature, original numerical precision and exact unit conversion; no temperature adjustment of enthalpy",approve_primary_calorimetry
rdr250199#csvline2939,1-iodo-2-methylpropane,10.3891/acta.chem.scand.22-2438,298,298.15,38.8,38.83,0.03,0.1,0.02,"original measured temperature, original numerical precision and exact unit conversion; no temperature adjustment of enthalpy",approve_primary_calorimetry
rdr250199#csvline3074,1-butanol,10.3891/acta.chem.scand.20-0544,298,298.15,52.3,52.300000,0.000000,0.1,0.083680,"original measured temperature, original numerical precision and exact unit conversion; no temperature adjustment of enthalpy",approve_primary_calorimetry
rdr250199#csvline3140,2-methyl-1-propanol,10.3891/acta.chem.scand.20-0544,298,298.15,50.8,50.835600,0.035600,0.1,0.083680,"original measured temperature, original numerical precision and exact unit conversion; no temperature adjustment of enthalpy",approve_primary_calorimetry
