record_id,reference_code,primary_compound_name,primary_H,primary_deviation,primary_unit,unit_multiplier_to_kJ,primary_temperature_C,primary_temperature_K,primary_page,primary_table,calorimeter,structure_smiles_from_primary_name,thermodynamic_state,uncertainty_kind,systematic_error_bound_kJ_mol,decision,quality_flags,table_image_visually_checked,review_wave,review_date,pressure_slope_ancillary_correction,reported_replicates_minimum,reported_replicates_exact,temperature_scale_note,source_role,overall_uncertainty_relation,overall_uncertainty_value_kJ_mol,ancillary_reference_notes,source_temperature_adjustment,moisture_treatment,mean_gamma_intJ_g,beta_intJ_g,estimated_relative_error_fraction,energy_conversion_factor_to_abs_J
rdr250199#csvline408,1966WAD,Methanol,8.91,0.02,kcal/mol_defined_calorie,4.1840,25.00,298.15,545,1,C,CO,liquid_to_real_vapor_at_saturation,estimated_total_including_systematics_coverage_unspecified,,approve_primary_calorimetry,,True,wave1,2026-09-17,False,5,,Source reports Celsius; no historical scale transformation applied.,direct_calorimetry_reported_in_primary_paper,,,,No separate reference-temperature extrapolation used in the reviewed label.,,,,,
rdr250199#csvline1154,1966WAD,Ethanol,10.11,0.02,kcal/mol_defined_calorie,4.1840,25.00,298.15,545,1,C,CCO,liquid_to_real_vapor_at_saturation,estimated_total_including_systematics_coverage_unspecified,,approve_primary_calorimetry,,True,wave1,2026-09-17,False,5,,Source reports Celsius; no historical scale transformation applied.,direct_calorimetry_reported_in_primary_paper,,,,No separate reference-temperature extrapolation used in the reviewed label.,,,,,
rdr250199#csvline1910,1966WAD,1-Propanol,11.31,0.02,kcal/mol_defined_calorie,4.1840,25.00,298.15,545,1,C,CCCO,liquid_to_real_vapor_at_saturation,estimated_total_including_systematics_coverage_unspecified,,approve_primary_calorimetry,,True,wave1,2026-09-17,False,5,,Source reports Celsius; no historical scale transformation applied.,direct_calorimetry_reported_in_primary_paper,,,,No separate reference-temperature extrapolation used in the reviewed label.,,,,,
rdr250199#csvline1943,1966WAD,2-Propanol,10.81,0.03,kcal/mol_defined_calorie,4.1840,25.00,298.15,545,1,C,CC(O)C,liquid_to_real_vapor_at_saturation,estimated_total_including_systematics_coverage_unspecified,,approve_primary_calorimetry,,True,wave1,2026-09-17,False,5,,Source reports Celsius; no historical scale transformation applied.,direct_calorimetry_reported_in_primary_paper,,,,No separate reference-temperature extrapolation used in the reviewed label.,,,,,
rdr250199#csvline3074,1966WAD,1-Butanol,12.50,0.02,kcal/mol_defined_calorie,4.1840,25.00,298.15,545,1,C,CCCCO,liquid_to_real_vapor_at_saturation,estimated_total_including_systematics_coverage_unspecified,,approve_primary_calorimetry,,True,wave1,2026-09-17,False,5,,Source reports Celsius; no historical scale transformation applied.,direct_calorimetry_reported_in_primary_paper,,,,No separate reference-temperature extrapolation used in the reviewed label.,,,,,
rdr250199#csvline3140,1966WAD,2-Methyl-1-propanol,12.15,0.02,kcal/mol_defined_calorie,4.1840,25.00,298.15,545,1,C,CC(C)CO,liquid_to_real_vapor_at_saturation,estimated_total_including_systematics_coverage_unspecified,,approve_primary_calorimetry,,True,wave1,2026-09-17,False,5,,Source reports Celsius; no historical scale transformation applied.,direct_calorimetry_reported_in_primary_paper,,,,No separate reference-temperature extrapolation used in the reviewed label.,,,,,
rdr250199#csvline3167,1966WAD,2-Methyl-2-propanol,11.14,0.02,kcal/mol_defined_calorie,4.1840,25.00,298.15,545,1,C,CC(C)(C)O,liquid_to_real_vapor_at_saturation,estimated_total_including_systematics_coverage_unspecified,,approve_primary_calorimetry,Near melting region; source reports liquid vaporization; stable versus metastable liquid not independently established. Do not relabel as sublimation.,True,wave1,2026-09-17,False,5,,Source reports Celsius; no historical scale transformation applied.,direct_calorimetry_reported_in_primary_paper,,,,No separate reference-temperature extrapolation used in the reviewed label.,,,,,
rdr250199#csvline4413,1966WAD,1-Pentanol,13.61,0.04,kcal/mol_defined_calorie,4.1840,25.00,298.15,545,1,C,CCCCCO,liquid_to_real_vapor_at_saturation,estimated_total_including_systematics_coverage_unspecified,,approve_primary_calorimetry,,True,wave1,2026-09-17,False,5,,Source reports Celsius; no historical scale transformation applied.,direct_calorimetry_reported_in_primary_paper,,,,No separate reference-temperature extrapolation used in the reviewed label.,,,,,
rdr250199#csvline3985,1966WAD,Cyclopentanol,13.74,0.07,kcal/mol_defined_calorie,4.1840,25.00,298.15,545,1,A,OC1CCCC1,liquid_to_real_vapor_at_saturation,estimated_total_including_systematics_coverage_unspecified,,approve_primary_calorimetry,Water content not measured; source reports GC purity above 99.9%. The same 13.74 kcal/mol and same sample lineage appear in Sellers/Sunner 1962; possibly the same experiment. No second observation is added.,True,wave1,2026-09-17,False,5,,Source reports Celsius; no historical scale transformation applied.,primary_report_including_earlier_measurement_possible_1962_alias,,,,No separate reference-temperature extrapolation used in the reviewed label.,,,,,
rdr250199#csvline6197,1966WAD,1-Hexanol,14.73,0.04,kcal/mol_defined_calorie,4.1840,25.00,298.15,545,1,B,CCCCCCO,liquid_to_real_vapor_at_saturation,estimated_total_including_systematics_coverage_unspecified,,approve_primary_calorimetry,,True,wave1,2026-09-17,False,5,,Source reports Celsius; no historical scale transformation applied.,direct_calorimetry_reported_in_primary_paper,,,,No separate reference-temperature extrapolation used in the reviewed label.,,,,,
