original_priority,reference_code,candidate_rows,additional_unapproved_training_molecules,row_level_review_status,primary_url,caveat
2,1947OSB/GIN,14,14,primary_table_verified_ancillary_lineage_hold,https://nistdigitalarchives.contentdm.oclc.org/digital/api/collection/p16009coll6/id/118316/download,"Reachable identities, not guaranteed acceptable labels; overlapping codes must not be summed."
3,1977MAN/SEL,13,12,full_text_not_obtained,https://doi.org/10.1016/0021-9614(77)90202-6,"Reachable identities, not guaranteed acceptable labels; overlapping codes must not be summed."
5,1969WAD,7,1,full_primary_review,https://actachemscand.ki.ku.dk/pdf/acta_vol_23_p2061-2064.pdf,"Reachable identities, not guaranteed acceptable labels; overlapping codes must not be summed."
6,1980MAJ/WAG,31,7,full_text_not_obtained,https://doi.org/10.1016/0021-9614(80)90152-4,"Reachable identities, not guaranteed acceptable labels; overlapping codes must not be summed."
7,1981GAT/STR,8,7,abstract_only,https://doi.org/10.1007/BF00653098,"Reachable identities, not guaranteed acceptable labels; overlapping codes must not be summed."
8,1926MAT,12,5,full_text_not_obtained,https://doi.org/10.1021/ja01414a002,"Reachable identities, not guaranteed acceptable labels; overlapping codes must not be summed."
9,1977STRI/SUN,4,4,full_text_not_obtained,https://doi.org/10.1016/0021-9614(77)90223-3,"Reachable identities, not guaranteed acceptable labels; overlapping codes must not be summed."
10,1980MAJ/SVA,24,4,full_text_not_obtained,https://doi.org/10.1016/0021-9614(80)90028-2,"Reachable identities, not guaranteed acceptable labels; overlapping codes must not be summed."
11,1985MAJ/SVO2,21,4,ambiguous_reference_code,,"Reachable identities, not guaranteed acceptable labels; overlapping codes must not be summed."
12,1989VOR/KLY,4,4,full_text_not_obtained,https://webbook.nist.gov/cgi/cbook.cgi?ID=C75183&Type=HVAP,"Reachable identities, not guaranteed acceptable labels; overlapping codes must not be summed."
13,1968PLA/WIL,4,3,reference_assignment_unresolved,https://doi.org/10.1021/ja01012a019,"Reachable identities, not guaranteed acceptable labels; overlapping codes must not be summed."
16,1988KNA/SAB,3,3,not_reviewed,,"Reachable identities, not guaranteed acceptable labels; overlapping codes must not be summed."
17,1996VIT/CHA,19,5,not_reviewed,,"Reachable identities, not guaranteed acceptable labels; overlapping codes must not be summed."
19,1972MOR,2,2,not_reviewed,,"Reachable identities, not guaranteed acceptable labels; overlapping codes must not be summed."
20,1979MAJ/SVO,26,6,not_reviewed,,"Reachable identities, not guaranteed acceptable labels; overlapping codes must not be summed."
21,1981HOS/SCO,2,2,not_reviewed,,"Reachable identities, not guaranteed acceptable labels; overlapping codes must not be summed."
22,1989AN/HU,3,2,not_reviewed,,"Reachable identities, not guaranteed acceptable labels; overlapping codes must not be summed."
23,2007RIB/FRE,2,2,not_reviewed,,"Reachable identities, not guaranteed acceptable labels; overlapping codes must not be summed."
24,2010RIB/AMA,2,2,not_reviewed,,"Reachable identities, not guaranteed acceptable labels; overlapping codes must not be summed."
25,1901KAH2,2,1,not_reviewed,,"Reachable identities, not guaranteed acceptable labels; overlapping codes must not be summed."
26,1923AWB/GRI,1,1,not_reviewed,,"Reachable identities, not guaranteed acceptable labels; overlapping codes must not be summed."
27,1931MAT/FEH,2,1,not_reviewed,,"Reachable identities, not guaranteed acceptable labels; overlapping codes must not be summed."
28,1949WAD/KNO,3,1,not_reviewed,,"Reachable identities, not guaranteed acceptable labels; overlapping codes must not be summed."
29,1951BAR/MCC,1,1,not_reviewed,,"Reachable identities, not guaranteed acceptable labels; overlapping codes must not be summed."
30,1956SCO/MCC2,4,1,not_reviewed,,"Reachable identities, not guaranteed acceptable labels; overlapping codes must not be summed."
31,1959MCC/DOU,3,1,not_reviewed,,"Reachable identities, not guaranteed acceptable labels; overlapping codes must not be summed."
32,1962WAD/SMI,3,1,not_reviewed,,"Reachable identities, not guaranteed acceptable labels; overlapping codes must not be summed."
33,1963MCC/LAI,10,3,not_reviewed,,"Reachable identities, not guaranteed acceptable labels; overlapping codes must not be summed."
34,1967HAL/LEE,10,3,not_reviewed,,"Reachable identities, not guaranteed acceptable labels; overlapping codes must not be summed."
35,1967SCO/BER,3,1,not_reviewed,,"Reachable identities, not guaranteed acceptable labels; overlapping codes must not be summed."
36,1970HAR/HEA,1,1,not_reviewed,,"Reachable identities, not guaranteed acceptable labels; overlapping codes must not be summed."
37,1972MAN,1,1,not_reviewed,,"Reachable identities, not guaranteed acceptable labels; overlapping codes must not be summed."
38,1973COU/LEE,5,1,not_reviewed,,"Reachable identities, not guaranteed acceptable labels; overlapping codes must not be summed."
