priority,reference_code,authors,title,citation,candidate_dois_json,primary_url,review_status,local_evidence_name,pdf_sha256,table_methods_locator,evidence_paraphrase,review_date,reviewer
1,1966WAD,Ingemar Wadsö,Heats of Vaporization for a Number of Organic Compounds at 25°C,"Acta Chemica Scandinavica 20 (1966), 544–552","[""10.3891/acta.chem.scand.20-0544""]",https://actachemscand.ki.ku.dk/pdf/acta_vol_20_p0544-0552.pdf,full_primary_review,1966WAD.pdf,ff83a8bdaad3652c26c4b681614e9713a87e7cf6874b14cd223be1e1ef58eb2c,Tables 1 (p.545) and 3 (p.547); uncertainty p.546; methods p.544 and cited apparatus papers.,Direct electrical compensation and weighed mass; 25°C; liquid to real vapor at saturation. Table uncertainties include estimated systematic errors; no coverage probability is assigned. Types A/B/C have different performance. Ethyl isobutyrate purity is 98.7%; cyclopentanol water was not determined. Temperature and calorie conversion are restored from the primary publications.,2026-09-17,OpenAI Codex; literature-assisted review; no independent human sign-off
2,1947OSB/GIN,Nathan S. Osborne; Defoe C. Ginnings,Measurements of heat of vaporization and heat capacity of a number of hydrocarbons,"Journal of Research of the National Bureau of Standards 39 (1947), 453–477","[""10.6028/jres.039.031""]",https://nvlpubs.nist.gov/nistpubs/jres/39/jresv39n5p453_A1b.pdf,full_text_not_obtained,,,Bibliography resolved with Crossref/NIST; original numeric tables and corrections not verified.,"Official NIST PDF exceeded the web reader size limit; direct retrieval returned HTTP 403. PubMed metadata also contains a conflicting year/name spelling, so it is not used to change the 1947 citation.",2026-09-17,OpenAI Codex; literature-assisted review; no independent human sign-off
3,1977MAN/SEL,M. Månsson; P. Sellers; G. Stridh; S. Sunner,Enthalpies of vaporization of some 1-substituted n-alkanes,"Journal of Chemical Thermodynamics 9 (1977), 91–97","[""10.1016/0021-9614(77)90202-6""]",https://doi.org/10.1016/0021-9614(77)90202-6,full_text_not_obtained,,,"Bibliography resolved; primary tables, temperature corrections and liquid state not verified.","Publisher full text unavailable in this review. In particular, do not assume that every 298 K entry is a direct room-temperature measurement.",2026-09-17,OpenAI Codex; literature-assisted review; no independent human sign-off
4,1968WAD,Ingemar Wadsö,"Heats of Vaporization of Organic Compounds. II. Chlorides, Bromides, and Iodides","Acta Chemica Scandinavica 22 (1968), 2438–2444","[""10.3891/acta.chem.scand.22-2438""]",https://actachemscand.ki.ku.dk/pdf/acta_vol_22_p2438-2444.pdf,full_primary_review,1968WAD.pdf,a3bf97f0ff50f22cb2939406f90a0bf6964e3af2a7fff3ae69bbeb537e73abb6,Tables 1 (p.2440) and 2 (p.2441); experimental p.2439; state/uncertainty p.2440.,Direct calorimetry at 25.00°C; saturation-state real vapor. Quoted deviations are twice the standard error of the mean; a separate possible systematic error of at most 0.08 kJ/mol is stated. Table 1 footnote b identifies 1-bromobutane as a new measurement. Antoine-derived comparison columns are excluded.,2026-09-17,OpenAI Codex; literature-assisted review; no independent human sign-off
5,1969WAD,Ingemar Wadsö,Enthalpies of Vaporization of Organic Compounds. III. Amines,"Acta Chemica Scandinavica 23 (1969), 2061–2064","[""10.3891/acta.chem.scand.23-2061""]",https://actachemscand.ki.ku.dk/pdf/acta_vol_23_p2061-2064.pdf,full_primary_review,1969WAD.pdf,f364f01785ef29c0170aa0eca30dda4c71f4c54e0a706535fc522154d7a0687a,"Table 1, current-work column, p.2062; methods p.2061; uncertainty and proof note p.2062.","Direct calorimetry at 25.00°C; saturation-state real vapor; deviations are twice the standard error of the mean. Water was not quantified for the two diamines. Ethylenediamine is held because the proof note reports an unresolved, substantially higher calorimetric value. This decision uses source evidence, not pressure agreement.",2026-09-17,OpenAI Codex; literature-assisted review; no independent human sign-off
6,1980MAJ/WAG,V. Majer; Z. Wagner; V. Svoboda; V. Čadek,Enthalpies of vaporization and cohesive energies for a group of aliphatic ethers,"Journal of Chemical Thermodynamics 12 (1980), 387–391","[""10.1016/0021-9614(80)90152-4""]",https://doi.org/10.1016/0021-9614(80)90152-4,full_text_not_obtained,,,Bibliography resolved; original table and measurement-versus-correlation status unverified.,Full text unavailable. The multiple tabulated temperatures cannot yet be counted as independent calorimetric observations.,2026-09-17,OpenAI Codex; literature-assisted review; no independent human sign-off
7,1981GAT/STR,G. Della Gatta; L. Stradella; P. Venturello,Enthalpies of solvation in cyclohexane and in water for homologous aliphatic ketones and esters,"Journal of Solution Chemistry 10 (1981), 209–220","[""10.1007/BF00653098""]",https://doi.org/10.1007/BF00653098,abstract_only,,,Publisher abstract describes an effusion calorimetric cell for vaporization; numeric tables unavailable.,"Solvation/solution calorimetry must not be confused with the vaporization measurement. Abstract evidence alone does not establish the temperature, uncertainty or corrections of these labels.",2026-09-17,OpenAI Codex; literature-assisted review; no independent human sign-off
8,1926MAT,J. H. Mathews,The accurate measurement of heats of vaporization of liquids,"Journal of the American Chemical Society 48 (1926), 562–576","[""10.1021/ja01414a002""]",https://doi.org/10.1021/ja01414a002,full_text_not_obtained,,,Bibliography resolved; original high-temperature and reference-temperature entries unverified.,Publisher full text unavailable. Entries at 298 K require explicit correction-lineage review; method code C is insufficient.,2026-09-17,OpenAI Codex; literature-assisted review; no independent human sign-off
9,1977STRI/SUN,G. Stridh; S. Sunner; Ch. Svensson,"Enthalpies of combustion, vaporization, and formation of some alkanenitriles, and the CH2-increment in the alkanenitrile series","Journal of Chemical Thermodynamics 9 (1977), 1005–1010","[""10.1016/0021-9614(77)90223-3""]",https://doi.org/10.1016/0021-9614(77)90223-3,full_text_not_obtained,,,Bibliographic lead resolved with matching authors and nitrile subject; primary tables not obtained.,"Verify row-level assignment and distinguish combustion, vaporization and temperature-corrected quantities before promotion.",2026-09-17,OpenAI Codex; literature-assisted review; no independent human sign-off
10,1980MAJ/SVA,V. Majer; L. Šváb; V. Svoboda,Enthalpies of vaporization and cohesive energies for a group of chlorinated hydrocarbons,"Journal of Chemical Thermodynamics 12 (1980), 843–847","[""10.1016/0021-9614(80)90028-2""]",https://doi.org/10.1016/0021-9614(80)90028-2,full_text_not_obtained,,,"Bibliography resolved; original numeric tables, corrections and state unverified.",Multiple temperatures may represent processed values; no original-method conclusion is made without the paper.,2026-09-17,OpenAI Codex; literature-assisted review; no independent human sign-off
11,1985MAJ/SVO2,Candidate A: V. Majer; V. Svoboda; V. Uchytilová; M. Finke. Candidate B: V. Majer; V. Svoboda; M. Lencka.,Ambiguous code: Enthalpies of vaporization of aliphatic C5 and C6 alcohols / Enthalpies of vaporization and cohesive energies of dimethylpyridines and trimethylpyridines,"Candidate A: Fluid Phase Equilibria 20 (1985), 111–118. Candidate B: Journal of Chemical Thermodynamics 17 (1985), 365–370.","[""10.1016/0378-3812(85)90026-3"", ""10.1016/0021-9614(85)90133-8""]",,ambiguous_reference_code,,,Code covers 15 alcohol rows and 6 dimethylpyridine rows in the frozen candidates.,Two plausible papers were found. Family-based assignment is an inference only; the compendium reference list and both original tables are needed. No automatic DOI reassignment.,2026-09-17,OpenAI Codex; literature-assisted review; no independent human sign-off
12,1989VOR/KLY,M. G. Voronkov; V. A. Klyuchnikov; S. N. Kolabin; G. N. Shvets; P. I. Varushin; E. N. Deryagina; N. A. Korchevin; S. I. Tsvetnitskaya,"Thermochemical properties of dialkyl chalcogenides and dichalcogenides RMnR (M=S, Se, Te; n=1,2)","Doklady Akademii Nauk SSSR 307(5) (1989), starting p.1139; English translation reported as Doklady Physical Chemistry 307, 650–653.",[],https://webbook.nist.gov/cgi/cbook.cgi?ID=C75183&Type=HVAP,full_text_not_obtained,,,Bibliographic lead in NIST WebBook; original paper not obtained.,"DOI not established. Verify original experimental method, table, state and uncertainty; no certification from the NIST method code.",2026-09-17,OpenAI Codex; literature-assisted review; no independent human sign-off
13,1968PLA/WIL,Bibliographic lead: Robert D. Place; Stanley M. Williamson,The preparation and characterization of some new pentafluorosulfuroxyalkanes and alkenes,"Journal of the American Chemical Society 90 (1968), 2550–2556","[""10.1021/ja01012a019""]",https://doi.org/10.1021/ja01012a019,reference_assignment_unresolved,,,NIST-linked bibliography appears unrelated to the four cyclic alcohol/ketone candidates.,Possible secondary quotation or misassignment; not a confirmed source error. Obtain the original table and compendium reference mapping. Do not replace its lineage merely because numbers resemble other papers.,2026-09-17,OpenAI Codex; literature-assisted review; no independent human sign-off
